doc_idx,category
909,3
3462,1
3227,0
640,0
1847,0
3682,1
3459,12
2496,4
2151,8
443,1
369,17
2607,6
2971,1
1399,1
508,17
1754,17
308,0
1446,2
4200,0
1588,1
4189,6
2583,17
2676,28
992,5
3762,14
4075,17
798,0
3551,5
2725,0
3734,3
511,3
3789,23
291,0
1974,6
1609,17
2279,17
4091,18
2784,28
1677,4
3133,2
3013,2
4076,1
3626,0
4045,14
2411,28
264,5
205,12
1210,6
1469,14
3712,17
3822,6
2925,1
1412,8
4339,0
3153,0
1402,1
3517,2
1260,0
1733,5
1277,5
3305,14
51,17
1042,24
1944,10
941,21
583,2
594,0
2597,0
1037,5
2243,28
1015,8
2139,2
712,3
3776,7
2590,3
2316,6
108,7
2238,2
1689,1
3759,0
90,5
859,0
4049,5
1302,1
2351,3
4149,1
3090,14
3152,7
2475,1
2811,6
1887,14
854,5
1391,7
608,17
3928,14
3506,10
2495,5
1271,26
1327,13
3662,1
2325,6
3959,2
1924,13
3821,5
373,28
4261,6
1202,17
3457,2
3715,14
4104,17
1165,5
2435,8
3924,17
3139,8
3222,2
740,0
790,8
2288,17
4082,7
1039,6
3199,16
3234,24
3783,7
3012,5
4263,17
3793,2
598,2
2366,28
1784,0
3859,2
1928,1
507,6
3200,0
2885,17
1323,2
2010,17
404,12
836,2
2962,14
1967,10
2821,1
642,7
239,0
864,5
2791,8
362,10
19,0
487,11
1563,11
4002,3
1151,5
2541,2
2459,2
3451,16
1250,2
3500,2
2073,6
1829,2
1795,6
683,8
2670,13
2278,0
4178,24
1905,0
334,11
4273,5
1676,16
3750,2
2860,3
3141,18
2984,21
2371,17
1584,2
1214,1
1031,0
2457,3
618,0
1914,0
191,23
2094,5
1488,11
3540,8
950,17
2043,8
991,21
2598,17
3973,17
3075,7
2356,2
1858,8
4182,10
2865,5
3757,1
1480,6
2170,6
3374,6
1161,3
842,2
2615,17
3470,14
996,28
1834,0
2627,0
3055,2
2418,10
3235,17
2570,10
2546,4
1577,8
42,2
4351,17
3244,0
4210,26
2610,5
1544,8
3078,1
3176,17
488,10
3442,17
3038,17
2055,6
2141,8
4295,0
4170,2
208,8
146,3
1497,7
1359,15
793,2
2440,17
1209,6
1283,22
2975,5
1713,2
157,0
2813,4
3777,3
3277,0
3613,2
353,14
1659,28
735,3
1960,5
27,8
1675,16
4167,0
1096,8
935,2
4297,17
3632,2
2143,3
2809,13
3688,7
3639,25
3401,3
2968,0
2664,5
1395,1
4259,0
2012,0
4219,7
1087,0
850,2
1930,17
4311,1
170,23
1372,6
3508,26
2437,6
1946,1
3073,28
2145,2
1383,13
4370,0
932,3
1207,22
4340,11
4171,7
1442,0
1607,-1
805,8
177,0
2691,10
2616,3
3610,1
4089,13
1175,0
2517,10
4302,0
3217,17
1491,17
838,2
1879,17
2657,13
3240,17
1541,5
2080,0
1598,6
3225,0
1895,7
3210,28
1635,6
3746,1
1869,15
398,0
3260,2
967,2
2640,0
579,1
4100,4
4207,0
3220,6
2625,0
2955,5
2988,4
1413,1
2509,11
109,23
1049,2
2997,23
338,0
1962,24
571,28
916,7
4299,0
1233,0
4209,11
588,1
2559,1
2918,21
3775,2
1985,0
2947,10
1403,3
3386,3
742,0
2852,2
3239,17
1178,26
2106,0
885,2
601,8
1354,1
3782,2
1604,14
2875,0
3839,0
3101,0
1572,8
1654,0
4264,5
3170,0
1683,0
1665,0
523,3
976,0
2393,2
1230,1
4353,0
3642,7
3806,2
913,17
2575,17
2990,28
447,3
2244,8
2439,7
1279,5
4255,6
902,12
137,2
3737,6
228,10
817,10
