doc_idx,category
3075,0
315,27
2357,0
1301,28
850,6
1632,26
1030,9
3130,6
1210,7
2440,0
3180,0
3322,12
2217,0
2502,0
672,0
1946,0
579,0
619,0
2824,0
3413,0
323,29
790,0
2794,0
2186,0
2609,26
1708,13
3606,0
2039,0
1303,0
1167,6
2709,10
438,0
3723,0
4073,0
909,20
3386,0
2818,12
443,5
2903,9
2598,0
1966,0
739,0
2894,0
3862,10
3152,9
1974,0
813,0
60,0
805,12
968,0
4079,0
2085,0
3635,0
4152,12
1816,5
2212,0
574,0
3529,0
2121,9
127,0
3061,0
1570,20
987,14
2329,6
1952,22
191,14
1445,0
1142,14
1329,0
2407,0
3894,0
342,0
507,0
412,0
2921,0
1113,0
1544,20
596,0
137,0
3178,0
1275,0
617,23
4011,0
1064,8
651,3
414,0
3316,0
3390,0
1563,25
1524,20
2657,0
2390,0
1865,0
2054,0
588,0
1371,0
1388,12
1879,0
932,4
1033,0
2544,16
3032,4
3025,5
2043,0
1079,22
3727,0
2295,28
3824,0
2730,25
205,0
1861,0
1039,3
4077,9
2650,0
1536,0
3479,6
3615,0
27,0
2000,0
3892,0
2325,0
2202,0
812,0
3743,0
42,12
948,0
3024,9
3453,0
314,12
3434,0
1283,0
3216,0
310,0
353,0
1984,13
2428,12
3405,11
989,11
2546,28
2082,0
3107,0
1832,9
2279,0
2146,26
3908,0
1049,0
881,0
4076,0
452,0
3590,0
1945,9
941,0
480,0
2002,0
3976,0
2812,9
1486,11
3967,0
3556,0
2034,0
2965,13
2131,3
835,6
3366,0
334,29
1317,0
1705,9
1417,0
3974,0
2394,4
2277,12
2356,0
1630,0
3764,17
936,0
3832,28
2571,0
2128,23
1354,0
2462,9
2528,0
601,0
2653,0
2208,0
2314,0
2915,0
4075,0
2982,0
843,0
1022,0
4032,0
3451,0
1105,0
2872,0
54,0
821,0
3670,0
1055,0
447,0
4108,9
1899,24
3653,20
2244,0
1776,9
2209,0
3858,0
4085,12
1667,29
80,0
4014,0
1207,19
1280,0
834,4
1948,5
3581,24
541,0
3811,11
2731,0
2194,22
3055,0
2930,0
1410,0
2555,9
1480,27
3876,20
3932,0
1615,0
597,0
1238,0
2706,9
3875,0
90,27
3071,0
3280,0
3909,0
864,0
3957,0
1042,0
1375,26
1673,0
2961,22
1679,28
2073,13
1296,23
2613,9
2020,16
854,22
565,5
1175,4
3066,12
974,15
845,0
715,28
991,9
742,0
615,0
656,21
740,26
2288,0
2255,8
1700,0
57,0
3417,0
166,0
449,0
2211,0
3247,0
3628,0
2649,19
368,0
2781,8
170,0
1938,0
1109,0
1566,20
3645,0
4010,0
2826,0
2686,0
3206,0
3518,26
1527,23
1779,9
369,20
1084,0
2333,29
488,0
389,9
338,0
2035,10
126,9
4095,0
1532,0
2170,9
487,6
2638,22
1454,25
1693,20
2278,5
3565,0
1372,26
2659,15
1609,0
608,0
758,0
2636,27
3179,26
1488,0
824,0
92,0
404,21
3658,20
2498,0
2291,25
1332,0
4058,4
3215,10
583,0
2118,0
2968,19
2480,0
157,0
4003,0
3070,0
2300,0
2005,0
3279,0
3402,0
3605,11
3126,7
1716,0
2907,13
3105,0
2753,0
571,0
455,0
2785,0
3495,12
1483,0
2665,0
2197,26
3298,0
654,0
793,0
2967,12
1230,0
2553,0
1568,0
3589,8
978,20
2775,0
2616,22
19,22
3336,0
2162,4
1473,0
996,0
3524,9
2408,5
2920,0
3619,18
1279,0
1675,0
116,28
2577,9
1006,0
2305,0
1433,13
2442,0
2947,0
535,0
435,0
1112,0
2860,0
618,0
3557,22
2145,0
1806,0
3933,20
2313,0
3525,0
1939,12
2885,0
3238,10
207,17
1195,0
3036,12
3083,0
3048,8
2342,0
1739,6
625,11
3400,0
1611,5
1911,0
1136,0
634,13
3951,22
3027,0
1719,0
3410,13
918,8
3808,9
2182,3
2120,20
3602,0
1408,9
1712,0
1722,0
1305,0
1465,6
731,22
3230,0
3167,21
3925,20
2541,18
3939,0
2917,29
380,20
723,9
770,0
2757,19
2183,4
3692,7
3971,9
3096,0
2,0
722,0
3482,5
1127,10
47,0
3007,0
997,29
3950,0
3947,0
3080,0
3477,22
1166,0
1944,0
4096,0
1255,19
4110,20
2388,0
2166,3
2425,14
3251,0
3492,0
2432,0
3081,0
2782,14
1050,9
2607,4
4097,0
3200,6
3898,0
2647,8
2009,0
3452,0
523,26
1359,27
1668,9
3186,27
2700,16
2599,0
2521,9
1220,9
1789,0
272,4
638,0
1884,5
2429,0
817,0
2581,0
3249,0
959,22
1858,29
1482,22
3915,0
1337,0
701,0
1096,0
844,9
683,8
3176,22
1271,26
58,22
2228,10
2466,0
1898,0
798,0
1015,0
1298,20
2474,9
1429,0
3603,0
2732,9
3911,0
2859,0
2890,0
469,0
1692,22
712,9
2520,0
2472,0
2334,0
511,0
2057,0
1057,0
3696,25
3644,25
3669,9
594,20
3800,0
1391,0
684,0
1678,4
3641,0
1379,9
429,10
2251,0
3368,22
882,29
3411,23
847,0
1573,18
2280,16
2332,0
3712,0
3983,10
3466,5
580,2
951,17
3661,6
425,3
1065,0
155,0
1047,0
1233,0
1821,8
2264,0
134,0
532,7
2473,24
3464,0
408,22
4050,22
3901,14
592,0
1342,9
2661,20
1344,22
1795,0
1534,6
2895,11
836,28
3344,0
632,26
3030,9
2601,20
2080,0
333,9
3213,0
2923,17
2570,5
1761,9
1273,11
726,9
2904,0
4074,11
784,0
3686,16
3008,6
890,9
1763,10
3766,5
1847,10
1498,12
1576,0
3305,5
2984,12
1577,6
3912,0
2430,22
3318,22
2260,0
1686,9
2763,0
1590,0
70,13
838,4
1122,0
913,11
2610,8
898,0
589,12
4114,0
2495,0
4138,25
2605,0
352,22
221,16
765,20
2643,27
827,3
3237,23
2626,2
598,10
234,13
1917,0
3369,22
3255,0
1260,0
2996,9
3734,0
2380,0
2259,0
1062,0
39,16
68,26
1553,0
2096,9
738,27
143,27
1004,20
3516,20
3897,0
65,0
879,0
2090,26
694,0
3362,0
3792,0
4059,0
1214,0
3836,26
3113,9
358,14
970,4
3324,0
3082,0
506,0
576,22
2792,5
3642,26
2232,9
2525,0
1425,0
1646,27
1415,21
1517,0
3196,0
3660,4
132,0
1356,12
317,0
3299,13
1891,0
2296,1
2294,0
3310,0
1872,0
2922,0
326,6
2708,22
4143,9
3303,0
1264,0
1689,0
4042,26
1709,0
826,9
1452,24
3714,0
428,0
1920,9
1118,0
2817,19
4012,0
3608,8
902,0
290,0
1807,25
1234,12
3772,6
1438,23
2227,0
3916,5
3414,22
1026,0
2272,21
2639,5
1165,9
196,5
1327,23
3784,0
1530,0
3841,0
2327,22
1610,0
2391,9
1845,27
2276,20
1733,5
2735,0
3637,0
1173,9
366,0
1330,0
1753,0
436,0
3562,0
2397,12
1054,0
3961,0
2813,0
3108,23
69,0
2944,0
3489,22
3283,0
743,9
2695,0
440,0
2685,0
3787,0
162,0
2841,0
1559,0
398,9
1541,5
3572,0
3407,0
2858,0
3406,0
184,13
2492,0
1754,0
1978,27
3604,9
2512,0
2514,27
291,26
1710,5
3333,9
842,8
1594,0
916,0
2912,29
667,18
1158,0
2849,16
213,26
110,12
4034,12
1565,4
109,0
2448,0
3252,12
259,26
2367,9
1676,0
1221,0
4049,8
3738,0
2969,11
556,0
1335,20
642,9
1431,6
192,0
804,12
745,23
1011,9
2321,14
3773,22
3506,23
581,9
105,11
3586,0
3568,11
3273,15
3656,0
3135,9
698,24
655,0
1822,0
2680,5
3064,0
1416,0
1387,22
1358,0
135,28
2191,8
2252,0
1249,5
2047,0
1457,0
3401,0
2608,0
1902,1
355,0
151,0
128,0
3222,0
20,9
2784,0
3789,0
3033,0
1764,0
1877,0
288,0
2856,0
3655,8
943,0
2189,0
3425,0
2530,0
3189,0
2958,10
2192,0
2874,16
1360,0
309,9
682,19
1160,26
1274,9
2729,0
810,0
2483,0
3093,14
2701,5
3519,0
1413,0
2015,22
3700,12
3098,13
2453,0
373,0
671,0
4121,0
