doc_idx,category
652,0
217,23
63,10
1749,21
47,0
345,12
1132,4
1614,19
1466,4
23,0
801,5
748,22
1406,4
1797,10
1367,27
506,0
1026,18
904,20
910,29
426,0
1678,20
1611,16
772,5
1562,19
612,0
1738,4
281,10
862,0
1536,30
1090,9
898,23
164,10
1883,1
1184,18
943,2
668,23
1654,10
1887,0
1107,3
995,0
1835,17
1407,4
1217,4
1437,7
565,4
1113,15
1768,6
414,0
315,0
1369,3
224,23
268,10
149,21
718,15
1762,2
1673,10
461,15
545,7
295,25
1601,0
101,10
1046,7
804,5
331,0
883,23
128,2
425,23
1035,13
1163,27
1454,10
1446,7
419,23
168,10
1138,4
640,0
759,22
1516,9
1774,25
901,23
434,21
608,20
300,29
1225,6
1019,0
835,12
1037,18
1651,14
365,14
382,14
1441,7
379,14
599,11
580,21
1590,0
1727,21
809,5
1603,9
1732,4
628,20
1742,21
1506,4
1260,13
1043,15
34,26
1793,10
1029,18
1890,19
1394,12
1117,3
1258,26
1893,26
1240,6
1954,5
607,20
919,9
1075,9
134,4
828,12
254,18
1,1
5,16
79,10
1948,5
1006,12
436,21
413,7
770,5
1515,31
307,26
1649,14
472,23
306,17
670,24
918,29
647,18
1943,9
1895,19
1896,19
704,0
485,23
1682,20
1690,20
1281,13
1561,19
890,20
712,15
11,1
213,23
1099,3
1813,7
1391,12
1453,10
548,7
978,25
1660,10
603,11
495,23
1062,4
864,4
1736,21
1469,10
1811,10
1779,10
766,5
48,0
1488,4
1136,18
1667,10
1157,3
666,23
1397,12
329,0
258,2
1534,0
1650,0
969,9
1327,0
1610,7
811,0
1368,3
400,7
1426,4
702,0
857,23
1847,16
155,18
735,9
124,27
1057,5
1970,0
1474,0
1148,18
1555,7
957,13
488,23
1278,13
370,30
833,12
1951,5
294,17
27,0
1435,4
577,4
313,0
3,1
383,14
185,0
293,17
1501,4
416,0
1558,19
616,20
953,13
330,0
418,21
1929,0
1872,7
1533,30
570,4
949,13
175,10
468,3
1556,19
1411,4
333,12
1977,0
1304,15
1570,19
625,20
1261,13
1956,0
284,17
1758,15
1023,18
391,4
1084,9
1448,7
1535,5
61,10
7,1
1463,4
1183,18
1359,27
1011,0
1420,4
471,23
1913,0
94,10
1192,18
933,13
