doc_idx,category
2864,8
4876,4
935,6
2788,1
320,1
4652,10
2358,0
2437,2
2843,0
1402,4
3489,0
2814,8
3891,4
994,5
2812,8
1251,0
3420,9
2716,0
1320,0
5355,1
5114,0
1395,4
866,0
4221,10
1219,4
2670,1
4765,1
2137,0
4858,0
1217,7
4572,4
1800,0
887,0
5272,0
2124,0
2266,4
4289,0
329,8
5217,8
3963,0
4333,5
1412,4
4752,0
1971,0
4570,3
1788,0
3517,5
914,4
5097,0
3088,0
2077,0
3224,0
3069,0
4868,4
1306,4
3827,0
2004,4
5321,0
1035,0
2355,8
5313,4
4438,4
2064,0
1450,8
3675,8
691,1
5154,6
823,6
2554,0
3235,5
2869,0
2308,0
5084,0
4052,0
4384,0
1249,5
1141,4
4444,8
1353,4
3387,0
3907,8
718,0
101,0
560,1
4547,10
1025,0
4648,0
1854,1
1613,4
2191,0
5468,8
3372,0
3203,5
4064,8
196,10
4719,2
2854,4
1978,0
4348,0
2539,7
2387,8
4240,6
74,6
5241,4
1189,0
1374,0
3457,0
3864,0
4835,0
2086,1
927,10
836,0
2235,6
3188,8
613,0
834,0
368,8
2709,4
4640,5
965,6
399,8
1738,0
3766,6
4088,0
2219,4
4459,9
2418,4
2154,0
4282,8
450,0
4258,8
4692,0
24,0
4708,4
5203,7
2615,0
3728,8
5401,5
216,0
4224,0
1564,5
2828,6
2510,8
4169,1
604,4
2056,4
2503,0
2008,0
271,0
4717,1
2721,10
1547,0
2937,0
5459,0
2226,0
700,4
3559,0
4533,0
1247,1
3095,1
2584,4
1768,4
4182,1
5160,1
3954,4
5290,0
2929,8
3922,0
4762,0
345,0
3111,4
658,7
1740,0
3016,0
1488,0
4469,0
2433,0
2540,4
77,8
3154,5
5244,8
1483,6
2841,8
3762,1
4653,3
1159,1
1154,4
45,4
3950,10
2323,0
141,0
3325,8
1359,4
499,4
4651,10
5315,4
3057,6
1041,0
2762,4
638,5
347,6
1458,1
3465,8
5422,10
3533,9
1049,0
3330,4
1569,10
1061,0
476,0
4663,8
4826,0
4797,0
2512,0
3700,0
316,0
1666,0
2074,4
2029,0
3802,0
982,1
4397,1
3032,4
1053,0
21,8
2524,0
3240,8
1721,0
2514,2
2155,5
2295,4
817,0
2730,0
4530,0
4501,2
2498,8
5006,7
5238,2
1693,6
3588,5
245,1
102,4
3952,1
1139,0
5196,1
771,0
2838,0
96,0
2771,0
