doc_idx,category
2890,26
503,0
75,4
376,19
1988,0
2594,0
2102,18
1523,23
492,0
23,0
36,0
2161,1
777,0
560,0
242,0
1974,0
2083,0
2337,0
1226,0
1929,0
632,0
1595,0
3114,0
1156,0
414,0
2735,0
459,0
1926,0
1132,0
2507,0
1081,0
2323,0
997,0
922,0
1903,0
272,0
2245,0
595,0
3476,0
3561,0
999,0
3217,0
303,24
3053,0
2933,0
1303,0
2539,0
936,0
2513,0
2464,0
3213,0
1940,0
2297,0
1910,0
1981,0
666,0
1564,0
1164,0
1285,0
276,0
2137,19
3076,24
702,23
1497,0
1671,0
2206,9
15,0
1142,7
575,19
1621,0
1612,8
861,8
2127,19
880,19
2459,26
1630,0
2424,24
636,0
17,4
322,0
1968,0
1576,0
2318,0
187,0
1842,11
1110,13
3654,0
1439,4
2839,0
1009,23
3441,0
2610,0
601,0
1651,20
1502,0
811,0
2280,0
927,0
771,0
1865,21
1646,0
521,0
484,0
2112,19
1192,26
356,0
2553,0
2942,0
374,0
2821,8
3036,8
418,0
3010,0
3289,24
2916,0
1912,0
1852,0
278,24
1021,24
2451,0
626,13
2303,23
681,-1
605,0
2495,0
3125,0
1457,0
606,0
3066,24
3318,0
3456,0
1239,0
2270,20
867,0
2219,0
3169,0
3663,0
1331,0
3521,0
3024,0
2335,29
1906,0
299,24
651,0
2279,0
3156,0
2269,0
877,0
1361,19
2223,0
381,11
2020,0
1075,0
424,0
2036,0
1080,2
144,0
928,0
1401,0
1321,5
155,0
784,0
2730,30
311,9
478,0
1895,0
248,19
1918,0
2273,0
2706,24
1518,0
2947,0
293,0
1757,0
769,0
211,0
218,0
3583,0
1087,0
1708,0
2662,21
3513,19
2545,0
423,26
1373,0
202,0
834,0
718,23
2632,0
800,0
2093,7
1876,0
1883,0
1828,24
2847,25
703,0
170,0
886,0
1246,0
2654,0
2627,21
474,19
3223,23
2845,26
482,8
1311,1
2658,11
2392,24
639,14
1082,0
2374,20
525,0
554,0
1986,0
2894,13
2619,0
1702,0
3493,0
3574,0
2116,19
2035,0
1252,0
3277,0
3500,0
1668,0
1788,0
803,0
435,0
2893,0
1893,19
1090,0
1732,0
415,0
2623,0
1467,0
906,0
593,0
3022,0
2668,0
918,0
2919,0
3580,0
770,24
70,26
137,0
267,19
2139,0
2419,24
2910,0
2158,23
3279,0
