doc_idx,category
1886,4
2534,7
4375,6
2340,0
2161,3
4732,0
4461,0
4620,0
1680,0
1622,0
1817,0
311,8
3445,3
4284,6
1272,1
4716,7
2263,0
1987,0
128,0
2026,8
1621,1
1747,0
2002,6
2064,1
3191,0
2439,3
3648,3
3153,0
1813,0
478,3
1762,3
2177,0
3506,4
1945,2
11,7
4049,3
472,0
3746,0
768,6
52,3
3607,5
2442,1
3427,9
4023,8
115,7
4222,3
882,1
4105,0
3552,4
647,10
2425,10
1357,3
1600,4
2645,6
3685,3
4182,1
2714,5
18,7
1843,0
2637,0
4472,2
889,0
2215,7
3119,0
2905,0
1102,0
475,4
4712,0
989,4
2748,0
1489,10
1889,0
943,0
4551,0
3999,0
4391,0
1568,0
857,2
2268,2
4315,0
3609,0
3675,1
1313,1
3519,2
3494,4
3670,1
2547,4
4486,0
1789,0
3809,2
4513,0
4252,3
4089,0
2484,0
1897,3
2793,0
3750,1
3145,1
2713,8
3531,0
4080,4
2865,3
230,8
3536,0
3706,8
2170,2
2780,0
791,3
1654,0
2616,0
2105,3
2194,8
3729,2
2794,4
180,0
2800,0
4206,3
3612,4
4165,0
1111,0
1150,6
3810,8
3086,4
3517,0
3520,2
153,0
368,0
2070,0
3885,3
1005,10
2426,0
3926,0
2206,7
4027,0
1397,8
854,0
1276,0
3287,3
926,5
3773,0
514,10
3687,3
3546,0
3137,1
4042,7
657,0
2895,0
2775,10
2879,10
795,0
1894,0
2100,0
977,-1
3401,0
4147,0
3376,0
4360,-1
653,0
2829,0
1495,0
1678,3
3031,2
1779,5
26,0
2101,0
1223,0
43,10
2483,7
3488,0
3716,2
3638,0
2687,4
4421,7
2286,7
2081,6
1582,0
670,0
1232,6
4438,0
3329,7
2904,6
20,2
3169,4
2141,10
1472,2
650,0
2280,0
3179,6
1975,0
1770,0
39,6
4567,0
1674,0
2953,0
1062,3
719,2
3684,0
2008,4
3565,3
1642,0
738,0
2619,0
4675,0
144,0
3986,0
4723,0
2852,0
1342,6
2059,6
2416,0
3003,0
1332,0
3603,6
1758,0
3689,0
2254,2
3644,0
2585,0
4584,0
2765,7
2331,1
903,0
402,6
4559,0
1926,0
2386,0
2690,7
4637,0
3655,0
2296,0
3205,0
194,3
730,0
1226,0
3433,4
2523,4
4128,2
3797,0
2560,0
4121,4
1253,4
214,3
1317,1
4162,0
2317,0
2960,3
1993,0
1705,0
1951,1
2925,4
3822,0
3342,1
4705,0
902,3
3126,5
4706,7
3393,4
3379,1
1855,0
1100,7
3621,3
3243,2
4099,0
3164,0
1454,0
2158,3
4610,0
1631,0
2082,4
4490,6
3794,2
3735,8
4527,4
58,0
564,0
2669,0
3795,0
2238,0
72,8
758,4
4048,0
3306,0
2114,0
4003,0
155,7
2882,0
551,0
1597,6
1424,1
370,0
853,0
3859,0
4072,0
1536,2
4485,0
224,0
3156,0
2778,3
3260,8
1013,0
2095,6
1755,0
2343,2
3798,2
963,7
2157,3
2814,0
2281,0
3362,0
1726,0
2309,0
1571,0
4310,0
1939,0
645,7
4280,0
3704,5
3206,8
3912,3
145,4
519,3
19,5
4221,2
672,4
1114,0
838,4
351,0
4576,2
4419,0
556,0
701,9
980,0
2555,0
1159,6
1709,8
3758,0
281,5
1909,0
2183,1
325,0
893,0
3136,3
354,0
1235,3
1456,0
433,0
1763,6
1012,0
1587,0
3351,0
1348,7
2303,4
3423,0
4100,0
2498,0
2512,0
1816,3
1625,0
3105,0
2578,2
1030,1
1879,4
1149,7
654,2
2511,2
3430,0
946,4
2169,0
3239,4
1922,0
1278,0
3709,0
2881,1
2665,0
3383,7
995,7
1727,3
288,0
2888,8
3672,0
1929,10
3905,0
4062,4
4570,0
2428,0
3436,0
1011,1
1339,0
446,0
1260,0
628,0
4400,0
139,7
1856,0
1498,0
916,3
2313,0
3422,7
836,0
3541,0
2176,0
2692,8
4057,4
521,8
1127,0
1684,6
3268,8
378,0
3518,0
1533,3
4626,0
2166,0
3014,0
4143,0
4190,0
2797,5
1978,7
1787,0
4020,0
3514,8
2812,10
277,1
710,0
2959,1
358,4
1383,0
2514,0
4608,4
712,0
1137,2
1938,0
3553,4
2580,3
300,0
2324,0
3971,0
1750,5
3022,7
470,0
4699,0
4592,0
3678,0
3994,0
328,2
367,0
1673,3
4359,6
1859,0
5,1
100,0
1041,0
1416,0
4717,1
1869,0
499,0
3600,0
3802,3
1271,6
1691,4
4493,0
3144,0
1851,0
2601,0
732,0
2606,0
2152,6
3012,0
2849,0
917,0
1920,0
3806,0
2758,7
3817,0
4169,3
3683,3
1900,0
3148,0
114,0
4409,0
1124,4
321,2
3674,0
4059,0
898,0
1655,7
3452,0
2041,2
2894,0
2067,5
3131,0
3334,0
4679,0
515,3
681,0
3951,0
3679,4
1059,6
3009,0
1044,0
2591,10
1675,2
4571,6
2885,8
4120,0
2133,0
116,0
3923,4
94,3
2703,0
195,0
1385,0
2984,0
1847,0
3770,0
1019,0
63,4
1262,0
4254,0
3127,5
4211,3
597,8
4338,0
3478,10
133,7
3837,0
3011,0
3527,0
2811,8
2862,0
483,6
4406,2
4670,0
3138,3
2856,0
1598,3
4718,5
150,6
1565,8
2289,0
4325,7
494,4
1538,0
1521,7
2678,0
2930,1
787,0
577,0
726,0
1329,0
1624,1
1373,0
3425,0
1325,1
4137,0
1250,0
540,0
2624,0
4393,0
2859,1
1427,2
4197,0
1556,0
861,0
3371,0
501,0
2853,0
4198,0
2116,0
3658,0
570,0
2489,0
1666,0
3182,0
820,0
1453,0
4378,0
2497,5
2019,0
3194,0
938,0
2020,3
4536,7
4336,2
2519,0
66,0
1182,0
1256,0
2674,0
4140,0
3653,2
2372,0
2834,0
1759,4
3459,2
3858,0
2535,0
4727,0
3367,0
1140,0
4050,3
2759,0
2244,0
1399,5
1620,3
3539,2
4281,8
218,2
4595,1
2112,10
4474,4
435,0
3019,7
3276,0
2978,8
1581,0
987,0
3676,0
2361,1
3967,0
2376,0
1193,4
1733,0
3104,0
1406,0
4117,8
299,0
339,2
668,0
527,3
3891,0
805,0
3120,7
621,0
4658,0
1829,4
542,0
3122,0
1708,0
2330,4
1584,0
1031,1
3537,10
2441,0
3313,0
2363,3
79,2
1845,0
862,7
2766,3
1470,0
3339,10
3726,3
476,2
1419,0
2974,6
193,4
1441,0
1780,4
2225,0
1051,1
3785,3
3646,7
4698,1
1801,7
2605,1
4446,7
2487,3
1163,6
1969,3
512,4
1912,0
4158,3
129,6
2468,3
1438,0
3082,3
480,3
612,4
1682,7
4149,0
3733,1
1827,0
4092,6
1883,1
2456,0
347,0
2543,0
4066,0
641,0
463,0
1118,7
2457,0
2435,0
1729,1
944,0
1216,4
1544,3
4297,1
3309,0
3578,0
