doc_idx,category
18,8
1044,4
859,1
1013,3
4469,1
2973,3
650,9
3490,4
3456,13
2919,7
1816,2
2045,0
1314,9
3391,3
2995,1
144,2
2212,1
3770,4
3400,1
3332,0
4260,20
1289,0
1699,14
4179,1
966,0
3274,0
527,3
1538,8
4110,0
916,3
4335,0
1721,3
2455,0
1472,0
4255,0
570,0
3183,5
4002,0
1995,4
3711,0
3725,2
3915,3
1062,0
128,0
3921,1
2078,0
1424,0
853,1
20,5
4186,2
2463,3
4342,0
941,0
2488,0
402,0
3190,0
861,0
347,1
645,0
3037,1
1859,6
1128,2
2081,1
3043,3
2997,3
2988,0
1441,0
4360,17
2935,0
52,20
2896,0
3949,0
995,1
1011,0
551,8
2050,0
4064,0
4013,0
3555,0
470,2
2769,0
3019,1
3254,0
2992,0
39,3
3484,0
2729,0
1495,4
1383,1
749,0
2064,0
2891,0
4382,0
4060,0
2035,20
2842,7
3948,0
2284,0
4077,8
2577,0
2513,0
1521,1
194,0
777,0
1965,0
4020,3
311,0
2412,1
1925,0
2519,0
768,0
1587,1
1405,1
2599,0
4340,0
3644,0
3385,0
1339,9
3285,0
2239,0
3381,1
1399,1
2665,7
1033,2
3671,1
3978,1
1596,3
472,1
4150,20
3887,15
66,9
4414,6
887,18
3707,11
3976,0
1131,7
3951,6
3841,8
1454,1
4455,3
922,3
4225,5
150,1
3709,1
2645,1
2534,1
789,1
476,2
2595,1
3099,11
540,3
3783,3
3068,1
4041,2
2133,8
133,1
2233,6
1266,0
2605,0
1961,2
3818,3
2659,15
2429,2
4396,0
2024,0
1817,9
1533,20
627,0
288,0
3868,0
2025,9
3081,1
1107,0
2946,1
1727,0
1935,11
3467,3
1568,0
2984,0
3789,6
1629,1
328,0
1601,0
4417,0
828,1
2483,0
1014,0
515,0
2822,0
494,7
1810,3
730,0
3757,0
3078,0
43,0
2402,0
463,0
3556,0
339,0
1815,1
2950,20
974,1
2845,3
2596,20
641,1
1356,6
4247,4
2436,4
3979,11
1012,2
3352,4
3999,3
2282,1
2317,0
281,1
1666,15
63,3
805,0
1922,8
710,1
754,8
1211,8
2367,5
3392,0
1979,3
1276,7
2482,20
3093,1
79,15
1911,0
4427,3
1695,0
3541,0
3060,6
139,0
299,1
1235,0
3719,20
3152,0
975,0
3202,2
577,13
3502,0
1947,3
514,0
1354,2
1539,0
2253,0
2331,0
195,19
758,0
2141,0
4287,0
2895,0
4341,7
483,0
3282,0
3158,0
4157,6
712,15
1279,3
3844,6
1502,0
2977,0
1584,0
3705,0
1565,0
3773,0
3856,0
58,0
1230,0
300,0
3567,0
4422,0
898,0
2855,0
882,0
2511,0
2692,0
740,0
1975,3
963,6
2093,0
3814,14
2324,0
2162,0
114,0
1118,0
761,0
439,0
4214,0
2643,0
1968,0
3581,15
1681,6
501,6
2602,0
1992,0
100,0
2952,0
3398,4
2380,3
222,9
542,1
1737,0
3772,11
3781,15
2139,1
3624,3
3613,7
672,1
2395,1
147,0
3832,1
3889,5
1120,0
2325,7
977,6
1070,0
4359,8
1621,0
3166,0
897,1
2710,1
2839,0
3939,0
3542,0
795,9
1386,0
4350,7
917,1
3280,6
1008,0
3741,17
2673,0
1734,0
1488,15
564,0
2161,0
4242,0
3512,7
3412,11
3464,3
3720,1
238,7
2529,1
1298,3
2052,3
4456,0
951,2
1614,4
1198,16
3499,15
97,0
727,0
4399,0
4265,1
3126,0
1673,19
719,1
2077,9
2638,2
224,1
2226,1
1250,3
2794,0
1520,15
1262,1
3173,3
902,7
2335,0
2546,0
3291,6
2459,3
2560,1
3667,3
2188,5
4066,3
2067,1
3863,20
1707,15
3942,1
3651,3
2171,0
82,5
2502,0
1978,0
4143,0
1561,0
2801,0
2898,0
3992,0
2425,0
2761,0
115,0
3586,1
2907,8
166,0
1282,13
1782,4
433,11
1705,2
4224,1
621,6
3236,1
1912,2
3447,1
2298,7
4202,8
1726,3
4404,8
881,3
1818,1
1226,3
446,1
2585,1
3321,3
3975,2
2358,12
1684,3
732,20
3872,6
1892,17
3817,11
1750,3
3129,8
3561,5
3905,0
2715,1
1388,7
2369,16
1489,15
3255,7
1232,15
701,0
1650,3
3852,0
860,4
3397,18
3299,0
4446,5
2927,1
846,1
3353,3
1111,1
1431,4
3848,11
3432,0
1581,4
356,1
1677,9
3665,2
2127,7
1074,6
94,15
3384,0
2752,13
2999,1
4095,2
4019,7
3289,6
1712,3
1751,7
1845,0
3313,15
4371,0
1175,0
3155,1
1571,0
1318,3
3790,1
3630,0
893,0
4444,1
1375,11
2567,0
1150,0
3238,3
2985,5
277,20
1025,1
4156,1
4349,1
2213,0
1711,2
2669,7
670,0
370,2
2987,0
3414,9
3728,4
1740,1
989,7
3142,0
1553,6
2030,0
3434,0
3317,1
3075,0
3108,11
3034,3
4158,1
1950,2
3654,11
386,13
980,6
3410,0
3114,9
4248,0
1547,1
2192,7
4089,4
3634,0
3779,0
2381,17
2698,4
2244,8
3880,0
3423,7
105,0
3135,7
2834,3
1802,4
2926,13
3911,1
2815,1
3938,4
2238,3
1620,20
3520,1
75,1
3997,1
3527,6
3717,3
124,19
3347,1
2054,3
3207,6
2020,2
3248,4
2057,11
134,3
2268,1
4271,3
3566,0
1170,7
2551,1
171,1
1265,8
2303,1
2250,2
802,7
520,1
1625,0
2541,0
2410,1
2514,1
1733,16
2555,1
1573,0
1350,3
2521,3
1421,9
2281,3
3017,6
726,15
2225,13
3529,6
2082,11
4008,6
499,0
3727,7
3426,3
2134,8
368,9
221,7
826,8
1460,13
4162,9
4270,0
3405,3
3533,3
912,3
4401,3
2348,1
4282,20
1397,3
5,3
214,1
2910,4
2106,3
1787,1
3165,0
1536,3
1005,3
2174,9
668,3
580,8
1827,3
2953,0
1986,2
2291,7
335,8
1366,9
2480,3
4376,8
503,3
1624,2
4478,7
3418,7
2608,3
3736,1
2563,1
854,15
1174,0
178,7
1638,11
3077,9
1880,1
1569,15
653,4
1417,20
3344,7
2105,3
938,9
3807,18
11,16
2713,1
1709,6
3686,20
2302,6
1410,8
707,3
2360,11
2185,3
3087,15
3247,1
2058,2
3576,3
2326,4
186,1
903,4
2044,0
217,9
3854,1
3363,1
2820,2
292,20
2661,0
2789,1
1059,0
3526,0
2320,1
3221,0
170,0
1583,20
294,0
2674,0
3679,5
2470,0
2457,1
1137,3
3771,7
434,3
2621,1
3003,2
2616,1
1361,0
1757,8
1336,8
3961,11
4147,0
1731,3
4434,0
3940,3
1508,1
654,0
72,3
2619,4
1273,0
4190,1
791,2
1619,11
4267,16
1414,8
890,7
1564,8
4050,3
2951,15
3325,3
25,8
1160,2
738,3
642,3
2255,20
914,3
1697,3
1453,2
4420,2
3172,1
3712,1
1551,7
3689,6
502,3
2166,1
563,1
4189,8
3326,2
2547,18
3982,9
1544,8
153,4
180,3
705,9
1274,3
3816,4
3925,1
2059,3
2445,18
3048,20
2963,1
2796,3
647,2
3210,1
193,1
674,1
3120,1
3762,11
2376,9
1738,8
1527,1
326,6
2409,6
4194,0
1394,1
1776,2
2240,20
2158,3
1766,4
2720,1
3462,3
3549,1
4239,1
3227,9
3424,3
2215,3
3234,3
3253,1
862,16
1679,1
3994,4
3371,0
2639,16
3465,1
491,7
943,1
1139,20
2532,2
1915,3
2550,20
467,1
4472,3
987,7
1114,7
2959,9
3652,2
1672,2
1469,11
820,4
3776,1
2960,0
1483,0
2427,0
2168,1
272,0
556,0
6,1
1755,1
1855,1
3417,0
1019,3
1847,1
3936,2
1875,7
1379,3
1851,11
3338,11
4211,9
2046,4
2701,1
4232,7
246,13
215,20
1427,16
1725,6
4319,1
4390,2
4027,0
2681,0
3657,8
2553,6
612,15
1283,3
4324,1
4322,3
3690,15
197,4
3136,18
2204,20
1207,2
3159,19
2115,16
3745,6
3181,0
1846,8
657,7
3833,12
1768,4
3632,0
3589,17
257,1
3990,0
4061,0
78,4
992,0
1256,0
529,0
230,0
1598,0
4005,0
3148,0
19,0
1856,0
2581,0
4477,0
4084,0
1402,0
513,1
424,0
2493,0
559,6
3865,0
4219,11
4346,9
149,15
1140,3
704,5
3012,3
3153,9
3194,9
1278,1
3327,3
4284,15
4297,9
838,1
2340,0
3840,0
489,0
2148,7
378,3
2768,1
3682,8
1729,3
3806,1
1320,2
3826,0
669,8
4432,1
1149,17
2366,0
3662,0
1325,16
2008,0
26,2
1517,2
3376,0
2004,1
1447,0
1871,2
289,1
801,1
1785,17
113,2
3828,1
2928,4
1041,4
842,2
4445,9
388,0
1182,6
3513,7
2383,11
235,0
1597,3
3593,3
2797,2
67,5
3072,1
245,20
3305,15
3287,1
2655,2
2144,1
3952,1
629,2
1225,3
287,5
2271,3
2699,3
3730,4
2658,1
2813,6
993,2
960,3
4052,2
1398,1
1867,1
438,2
3284,5
4291,2
3631,0
2507,0
184,0
1306,0
4279,0
850,0
2913,0
3266,0
3859,0
3216,0
262,0
2428,0
4293,0
1530,0
162,0
4375,0
1127,0
1761,0
2894,0
2176,0
636,1
1607,6
4461,0
1050,1
4332,0
3379,0
4177,0
4040,0
2434,0
3659,0
946,0
3987,4
431,0
1954,3
2498,0
1163,0
2856,1
2657,0
2128,6
2357,0
249,1
2116,0
3360,0
1617,0
2506,0
3874,0
478,0
594,0
616,0
3601,0
2263,0
415,0
794,0
4314,0
4090,0
3674,0
4025,0
1963,0
1129,0
3540,0
2041,1
1993,0
2852,0
884,3
2537,0
2343,0
787,8
660,0
4086,0
2508,0
904,0
1297,0
4161,0
1342,1
1255,0
321,3
2129,3
3161,0
1477,0
694,9
