doc_idx,category
1618,1
2638,9
3492,1
2045,1
4198,1
885,4
2233,7
3385,4
546,7
1997,8
2387,2
1610,6
2219,0
2958,0
3181,0
2425,7
4254,0
3127,0
120,0
691,2
1770,4
3537,1
2253,1
2003,8
3633,0
4266,1
181,4
2739,2
2121,1
1599,1
1353,1
1776,0
2888,1
4328,2
126,9
3038,6
2006,1
860,8
3147,7
1873,5
2290,1
1475,1
2459,4
163,8
2139,0
3773,0
180,1
926,7
328,0
3206,1
1572,1
50,4
2923,10
711,1
1909,9
3835,8
2992,5
4077,0
2444,10
1609,1
4109,7
2227,1
1029,1
2619,1
375,9
4385,9
2116,8
2496,2
3346,0
4262,1
3874,3
2924,5
541,10
3439,9
1309,4
4093,1
2141,1
1267,10
240,2
3364,0
867,5
710,0
4044,0
1060,4
3374,0
4383,8
1294,0
4193,0
4425,6
2256,1
2301,8
3422,5
848,1
2957,1
4200,0
3654,1
2324,4
3512,5
572,0
2649,0
3616,7
3524,1
959,0
1827,0
4424,0
3657,6
4496,1
2701,8
4391,4
3106,0
4490,1
4436,1
4330,1
1925,4
1678,1
4147,1
2088,9
1299,4
4366,0
720,8
1074,0
2787,0
1945,4
585,0
2304,1
655,6
3456,7
1559,0
356,8
785,1
1940,1
3185,0
1102,0
4025,2
2556,9
3979,2
1501,9
4279,2
3655,2
836,0
598,1
2315,0
3302,1
3950,2
347,5
4230,5
1562,1
2282,0
3018,0
2651,1
2274,6
702,1
2902,1
404,1
4397,4
4132,0
2514,5
212,7
2989,5
1906,0
3505,0
2576,6
1453,0
3518,0
2292,0
261,8
3680,4
150,5
3316,6
2776,6
2930,7
179,4
3008,0
874,2
2136,6
1399,5
2988,7
2493,2
332,4
4099,1
3392,4
4189,2
392,0
1356,7
3569,9
495,0
1750,1
1201,5
538,1
3694,7
1401,0
2849,0
1150,1
1612,1
1594,6
4181,4
2692,0
3882,10
955,9
3011,0
3886,1
1382,2
74,9
276,0
2536,0
1480,5
2785,1
3396,0
660,5
2690,5
2995,0
4327,0
483,1
434,0
2396,4
4195,8
63,0
1825,8
3310,8
3205,0
2375,5
4135,4
2551,0
2907,1
2182,8
402,4
4228,0
2197,4
891,0
1331,0
2186,0
3276,7
2422,0
4028,9
3243,2
4237,1
666,0
956,0
1987,7
3870,1
2702,1
612,1
190,1
2881,0
2176,0
87,4
1248,2
298,4
3157,0
1234,4
2830,5
3542,0
3937,8
3301,6
124,2
3214,0
1549,9
2150,4
4288,2
4084,1
2072,8
1452,5
1929,4
514,1
478,9
1615,0
2756,0
2063,1
2578,1
1476,0
2384,0
2204,0
551,0
1180,1
4440,8
1404,0
1542,1
3080,0
3775,1
644,7
200,0
2760,0
1484,8
2394,0
2180,0
1879,4
1123,4
1758,4
4348,7
3176,0
4039,4
3799,0
1137,0
17,9
2616,1
3454,0
3069,1
3319,0
3432,8
3490,0
3384,2
1028,2
1005,5
719,0
1081,2
2904,6
1434,7
1774,1
3857,4
526,1
437,6
1216,1
3479,4
2252,4
3186,1
3698,10
3097,5
1824,1
2866,9
201,0
4298,1
1420,6
4233,4
4347,1
626,2
1208,9
4304,7
1200,0
2719,4
3659,1
741,1
597,1
4310,1
801,0
2390,0
3843,1
879,5
3534,0
2280,4
3166,6
2715,9
3820,1
2161,0
966,0
359,1
2668,0
1400,6
64,0
3920,0
1049,1
2713,0
1707,0
1156,5
3845,0
2004,1
2427,8
2015,9
892,5
2643,0
3203,0
2549,1
304,1
239,2
4302,1
1394,1
1241,1
1798,1
2497,6
4313,0
664,1
2206,0
1080,0
1272,5
2747,2
1238,4
2258,1
145,1
1955,1
2285,0
1779,0
