doc_idx,category
1236,11
154,18
679,0
1277,12
1697,0
1663,7
1414,3
720,10
1394,15
1234,0
1118,16
458,9
649,7
928,11
661,1
654,6
797,15
59,7
1114,2
80,0
1545,9
180,0
1365,2
1434,13
365,11
1361,10
755,15
1694,19
1421,0
513,14
1503,0
1540,9
644,6
1243,0
2,0
1429,9
985,0
26,11
1298,15
1592,12
1627,9
1073,10
1411,2
127,8
1406,0
1609,0
962,15
1597,1
245,11
747,14
1161,16
792,0
14,0
361,0
1449,16
86,15
1228,0
1425,18
282,0
1293,0
598,11
360,2
1092,1
860,7
777,12
591,3
1741,9
1622,2
780,10
650,12
1373,14
1131,19
975,16
1594,0
29,0
1660,1
1257,1
1376,6
1738,14
1251,7
736,0
468,13
133,14
1612,9
303,9
642,0
1623,7
1174,6
1331,1
308,11
105,8
1375,8
871,7
655,2
1378,6
729,14
394,0
329,9
711,11
1607,0
1151,7
1290,0
1387,11
1145,4
123,11
713,19
803,4
336,0
1304,1
1355,9
958,12
1247,12
683,12
490,1
230,16
483,10
1419,1
1521,15
1595,1
641,10
35,9
1701,1
994,0
1337,1
839,4
1232,1
1593,7
1555,1
656,6
1723,3
305,11
1340,6
1102,13
508,12
100,11
495,14
684,9
961,9
659,0
1584,1
632,1
1542,4
692,8
1729,14
1610,12
1412,19
980,10
896,4
1253,12
1182,7
491,21
353,12
242,9
333,12
71,4
1310,11
338,6
359,14
1617,16
1319,11
290,0
341,13
390,2
119,1
23,12
297,21
518,7
203,0
1300,0
1532,0
592,11
1399,18
1034,19
1100,0
1011,0
1624,19
225,0
1194,9
573,13
1525,0
1342,12
1075,19
506,9
172,2
1175,11
1585,14
31,6
174,0
1513,0
1143,1
1442,0
1322,14
1447,2
1019,15
1679,12
1157,8
706,2
1245,6
334,0
1495,8
85,0
1046,4
289,9
807,19
752,18
1313,10
47,11
259,12
1126,20
943,7
696,10
723,14
823,0
347,19
1048,11
212,0
763,1
731,19
340,0
1630,-1
1408,12
103,8
1296,6
246,13
221,0
1270,0
1140,1
1032,0
1418,1
1484,11
769,1
840,12
850,0
320,1
460,12
1720,0
372,17
130,10
194,10
1424,7
732,0
1626,7
1349,0
40,10
1558,3
1010,6
302,10
1091,11
1654,9
709,9
256,0
1006,9
64,2
1530,2
1323,14
597,11
294,2
1490,11
1431,15
271,0
1167,4
457,11
1613,10
561,7
520,0
82,15
1428,2
28,0
1539,14
362,0
1455,19
1728,6
1576,8
1274,6
1132,7
953,8
579,0
1214,3
703,0
402,6
1085,7
1616,9
67,11
990,13
1393,9
834,10
1124,10
397,15
549,4
762,19
833,8
1082,9
496,10
918,11
741,3
1483,11
664,14
1315,2
169,6
112,14
586,7
1101,0
1633,1
41,11
439,11
634,9
640,0
957,11
541,0
1103,0
1381,9
273,14
222,13
726,2
1699,6
1379,2
484,0
521,12
1415,0
1292,0
1492,0
1489,10
393,9
695,15
735,3
568,4
4,0
937,17
1057,0
349,0
88,2
1294,3
1684,11
1392,9
236,7
1309,11
486,7
1671,19
551,4
1065,0
767,14
1534,1
1099,1
68,10
802,2
899,18
1509,6
1203,0
472,0
1405,9
927,1
1369,11
288,15
1637,19
469,19
1437,0
332,0
1665,13
113,7
978,0
1146,10
220,4
276,11
1013,0
1543,9
1529,0
1691,7
415,3
594,10
941,14
926,8
70,9
584,20
1130,0
693,14
38,0
261,1
1358,2
1731,2
1056,0
826,11
335,1
624,16
599,0
343,10
1196,15
625,10
1650,9
749,11
1439,16
577,2
1641,7
783,3
176,9
1715,9
17,2
984,2
548,14
1726,16
517,0
775,0
605,6
25,9
1485,1
285,4
898,11
1579,11
463,8
909,0
853,9
374,15
607,15
1669,12
1120,2
350,0
621,15
821,13
1478,14
389,14
877,-1
448,9
132,10
1535,1
891,3
818,1
1272,10
1109,13
1328,1
188,1
379,0
492,4
1155,4
50,6
1035,2
1256,15
109,0
1152,3
373,0
376,12
1192,11
1652,10
939,10
1283,4
211,9
1544,1
410,1
13,0
91,6
800,6
619,0
128,1
480,12
502,6
1642,7
1087,0
1094,4
1362,10
733,0
73,20
1116,7
1422,12
1524,0
1181,15
616,12
773,8
675,18
1089,12
1465,12
238,3
5,13
588,7
1486,7
1106,19
758,14
1589,8
903,14
1334,1
964,11
1636,7
319,0
9,6
1557,2
1016,0
1703,4
882,13
956,10
1742,9
636,0
1367,9
698,0
1566,1
929,4
633,6
1501,2
842,16
772,6
1049,6
1071,15
209,0
652,0
1708,0
1721,0
1587,9
1403,0
966,1
479,4
226,6
380,0
947,0
1170,8
451,3
444,0
606,8
1507,0
60,4
724,0
764,11
1335,0
101,12
1656,12
437,11
1580,1
122,19
199,6
1207,6
988,12
580,0
1718,10
915,8
902,15
1474,16
161,0
280,1
587,8
243,11
454,17
150,0
1327,11
186,0
942,0
798,8
1446,18
996,10
1459,0
562,14
244,4
1639,8
1222,14
959,1
327,19
738,12
1372,1
442,6
274,0
795,12
1113,18
121,0
1391,11
239,9
1254,0
1423,10
328,11
452,15
1538,2
813,6
858,2
618,14
254,6
427,10
1260,18
1559,1
757,2
1318,7
816,6
1448,13
1357,1
124,7
187,6
1606,19
425,0
1054,9
312,10
34,18
1332,1
1160,1
1045,19
422,1
987,3
18,11
182,0
888,6
1382,15
595,14
409,7
1314,9
205,11
141,6
163,1
1563,7
913,0
923,9
804,0
1712,1
1711,0
702,1
1171,2
417,1
728,0
1467,15
1159,11
248,15
1352,1
500,0
1330,13
240,13
1570,4
286,3
1144,6
570,10
260,1
