doc_idx,category
598,0
3277,8
2273,8
3350,8
3590,21
937,12
546,27
3517,9
3287,7
353,0
2172,19
485,7
747,7
2955,12
1533,7
2758,8
696,32
2644,2
504,21
636,2
3527,0
2790,8
684,32
2635,2
1782,23
1990,7
2047,12
247,12
3357,21
3161,51
2048,21
2434,17
2038,1
3555,25
2398,30
1384,0
2907,0
52,1
2254,7
2698,13
1409,21
2764,38
1970,23
2342,21
405,18
1671,30
3372,0
12,33
3467,12
529,27
793,10
1218,12
2720,7
2569,0
1065,12
2844,5
1330,14
868,7
2382,12
1605,12
2230,6
2213,32
3265,0
3270,21
1540,22
951,12
316,8
1346,3
1837,13
1310,10
2838,16
2045,7
2601,7
3320,7
2857,12
3449,0
518,22
644,28
987,21
2849,5
1555,0
2124,12
1793,7
1751,21
642,28
816,12
3388,0
993,46
1111,16
2933,0
1515,21
3012,29
3333,0
2509,0
2541,0
245,12
28,7
537,27
3334,0
677,21
1835,1
1299,10
3447,0
3311,12
2729,7
2363,12
3032,0
2728,8
2875,18
40,4
1575,12
1171,5
3080,0
1577,0
1119,14
204,22
2916,0
431,5
1816,30
2061,6
3506,7
254,12
2560,23
669,28
3023,0
618,2
1296,10
221,21
961,21
325,0
1326,3
1309,11
2578,6
1981,24
970,46
1566,0
1182,5
2289,8
1066,12
1298,10
543,51
1547,29
527,1
1227,0
2481,7
3260,0
2780,29
698,6
200,9
2498,0
770,7
766,7
2677,35
446,0
859,7
3576,22
2456,17
679,28
2056,12
2962,40
339,0
437,18
2859,18
1124,14
3127,51
3469,21
1170,16
1956,24
1971,23
1240,47
2300,7
3623,0
3502,7
3581,30
1184,4
2705,13
3061,7
2805,21
2421,7
330,32
2987,29
2564,0
1139,14
620,2
1815,51
1073,0
941,0
702,32
301,8
2441,17
3290,0
2474,0
910,0
3579,0
1907,0
1788,23
1753,23
2506,0
1407,0
2344,0
2369,0
1440,7
3040,0
3335,0
3402,0
3070,9
643,21
3254,0
1994,21
3478,7
344,0
731,7
2120,0
3603,21
2419,7
2850,4
1819,0
612,2
2263,6
1521,21
1366,0
3660,0
70,5
788,7
39,18
921,0
924,0
920,0
2031,12
1571,0
1341,3
1688,30
926,0
1306,10
2792,8
2100,19
2116,0
2741,8
3231,12
751,0
105,5
2634,4
786,12
1443,6
2518,42
1230,0
1544,27
2193,11
2543,0
2613,0
3107,51
3599,7
1556,39
3005,23
1760,34
2410,0
291,8
1429,55
1622,0
2627,1
1319,14
1917,25
1492,12
2852,12
2528,0
954,12
2860,16
3054,0
369,27
3279,32
366,0
1872,7
662,28
1106,14
1158,18
3545,7
299,8
2294,8
2912,6
109,4
1456,7
1931,25
1212,0
1411,0
341,0
2953,0
3629,0
2715,8
3510,21
2412,7
1313,10
2118,12
2781,38
2897,18
523,27
2886,18
3168,0
3283,9
2748,38
737,0
3240,0
1115,0
2544,0
724,0
792,6
1925,25
906,12
3292,0
2716,8
3241,9
885,0
3114,0
2553,0
2614,0
1829,13
784,7
2442,17
3610,0
1225,0
742,0
3190,32
2388,12
3272,21
3169,7
1714,0
3246,0
2249,0
1077,2
832,12
1271,24
3204,9
1517,22
1030,9
3501,8
2881,3
2197,15
3300,7
1966,21
274,12
3200,15
894,12
3458,0
604,2
1826,30
2508,0
1954,21
2331,0
3050,0
1984,0
2107,14
3022,0
3228,21
3326,0
1385,12
672,26
3409,28
2293,8
2629,2
1794,30
3038,0
940,12
294,8
2010,21
2709,7
2060,0
1778,23
373,12
890,12
3481,8
1282,10
1755,23
1248,36
1674,0
2567,12
2099,0
769,7
2527,0
500,0
1035,12
2145,12
2322,0
1210,0
2775,0
2447,11
3491,7
1987,24
2885,18
2416,8
2981,29
354,9
112,4
1433,0
919,12
2077,19
2094,10
1831,13
891,12
2134,12
726,21
1322,14
3160,0
645,0
3323,21
2825,5
2865,4
1414,0
359,0
2922,0
438,18
556,27
2626,0
1156,5
1380,0
1144,2
1796,7
2013,6
3658,12
2430,17
1675,0
1050,0
188,0
2185,9
2228,17
174,0
3645,0
3342,0
3337,13
356,0
2735,8
1844,3
3628,21
465,0
2425,7
499,7
3131,0
2188,9
3058,10
2253,6
3234,0
2167,9
3647,12
3174,6
1689,7
1654,23
638,2
1136,3
1417,38
111,4
3280,9
240,12
585,0
2084,15
3282,0
2659,15
2349,12
3165,11
1209,0
218,21
2139,12
736,39
3271,0
2753,30
2435,17
3121,51
900,12
2054,12
53,1
1150,4
2233,19
448,6
1127,14
503,0
3230,10
169,9
315,8
2595,12
14,28
2210,11
1128,6
2261,14
1660,23
3397,28
1220,0
1085,14
23,0
630,2
114,1
3364,30
3585,21
569,0
3656,0
928,0
3009,21
2624,0
2529,42
154,1
3172,32
2219,11
797,13
2341,0
1047,0
1038,0
2403,7
32,8
2989,32
1471,30
1569,0
3185,32
3550,9
1283,10
964,24
3420,28
450,0
3065,10
1746,0
1543,21
1334,3
1167,5
3353,0
2096,19
946,0
1972,24
962,21
87,4
2855,5
1763,23
3641,0
2901,18
157,15
186,0
2223,11
281,7
3317,0
3401,28
1823,30
3643,7
1031,0
1420,0
2327,50
2539,0
1745,0
3008,29
3511,7
932,0
2464,17
3540,9
161,12
3102,51
1634,23
1016,0
583,0
1821,29
3192,26
650,25
807,12
2017,21
3564,57
1613,12
975,21
1275,10
721,25
2026,8
2142,0
2199,11
86,4
460,0
2687,13
3302,7
1564,0
3306,0
415,18
1442,0
692,21
587,0
3145,0
1199,0
3264,0
3220,9
428,18
647,40
3247,0
3530,6
2558,0
3043,0
2968,0
392,27
1813,0
2738,7
1360,0
2936,0
115,4
3534,10
1589,0
3348,0
230,21
3239,9
1646,23
480,0
3336,0
1195,0
2670,16
916,12
63,2
102,4
2591,12
540,1
2663,6
626,2
1049,12
2242,6
365,26
1003,8
734,0
182,12
3048,0
716,8
2988,29
1686,30
1293,10
158,15
259,12
3559,99
432,18
1155,5
511,0
974,60
3304,0
808,12
1609,0
1001,0
2282,7
2020,9
1403,0
1208,12
1601,12
763,7
2835,16
1335,3
2287,8
1354,12
3091,0
800,12
1244,18
2240,6
1052,12
3419,0
3208,21
1082,14
1371,12
279,12
464,0
1120,14
2950,0
3485,9
2654,14
45,1
2272,8
2896,13
393,21
1944,25
65,1
2763,56
3456,0
2335,0
2111,12
1481,0
2505,9
2956,0
815,12
3509,21
3031,12
420,18
298,8
3207,9
3575,8
2176,1
1951,24
1305,10
1509,0
2152,10
2317,0
1968,24
2914,6
1185,1
1044,12
107,14
213,21
2582,6
3226,9
2942,0
1532,22
3518,12
1357,0
1747,0
3303,0
1432,26
324,0
3232,9
839,12
673,28
2531,7
2944,12
121,7
1043,12
2680,36
89,4
1374,12
1421,8
516,12
1189,7
3403,30
1594,12
3141,0
263,12
100,4
3196,6
2426,0
1982,21
1069,12
1764,23
3601,8
3484,8
1911,25
297,6
3516,0
1091,14
1918,25
3523,12
2109,12
313,8
106,4
3498,8
209,23
1350,3
1340,3
160,12
979,23
2808,8
145,15
3659,2
2449,17
2887,18
2381,12
1623,12
1618,12
2202,5
2675,0
2012,9
3615,0
3144,51
3661,12
1703,30
1479,12
292,7
2394,8
1173,5
1961,24
1914,25
1331,3
1013,31
338,0
3437,0
3423,0
1503,0
2888,18
3088,9
1615,0
95,3
1399,0
1920,25
2603,0
470,0
2664,1
1822,30
1974,24
495,21
3462,0
3034,0
1367,0
2415,7
3244,0
1940,25
591,0
651,28
1480,0
1906,0
1100,1
3471,0
463,0
2103,6
1712,0
1500,0
2128,0
2302,7
1978,24
1924,0
2572,0
3212,0
2222,17
3201,0
2909,0
2690,36
631,18
2169,8
2204,11
3062,9
575,0
2137,12
2106,19
1002,7
1670,30
2036,0
2931,6
777,7
1631,23
1446,0
1219,0
2101,19
3308,6
1685,30
1921,0
75,1
2423,8
1548,13
3605,42
880,12
3295,21
2208,15
1967,24
3041,12
1664,9
132,15
69,12
819,12
791,7
2540,21
2370,12
2752,38
995,46
2785,12
759,8
2476,10
787,7
1009,30
151,15
965,46
711,32
260,12
3622,8
1142,14
2828,16
419,18
3215,32
2773,38
2374,8
327,0
3278,21
2088,14
1339,3
173,12
3132,0
2125,0
2759,38
2121,12
1393,0
2769,0
2304,8
1756,23
3363,8
811,12
1318,3
2298,0
2978,29
572,0
2390,21
117,4
321,0
1099,14
1169,5
1800,0
648,0
1715,0
899,12
1123,14
3138,0
874,0
3331,0
2465,17
3075,0
3362,0
858,12
3076,10
748,0
2191,3
193,0
2269,8
2286,8
287,8
614,2
461,0
2138,12
239,21
1993,26
1011,7
2081,19
938,0
1542,22
252,12
93,4
195,12
1088,5
1531,0
390,39
2514,0
99,4
627,2
123,15
1774,21
3613,0
2264,14
563,0
1942,25
2546,0
2918,0
2068,0
3552,0
976,21
513,0
1692,30
3202,0
809,0
137,0
2615,0
73,0
772,7
2076,0
3011,0
3030,21
2536,0
2321,0
3557,22
205,21
1999,8
2030,6
2395,7
701,32
2727,8
2450,17
2977,40
3259,0
1251,47
2313,0
220,24
128,14
2162,9
285,8
1026,6
2969,0
1734,12
474,0
895,12
1381,0
984,60
1758,23
1501,0
1137,14
3149,6
241,12
226,21
2274,8
1562,0
119,4
3479,8
1190,4
725,21
2037,22
535,9
3387,37
1453,0
600,2
1454,0
3073,21
1498,0
3269,0
2373,0
2973,0
478,21
2477,7
967,60
2466,17
467,0
2136,12
7,13
613,2
1181,5
2685,13
3365,51
1040,0
289,8
3654,0
