doc_idx,category
1429,11
2294,0
589,17
486,0
1588,10
2715,0
1711,0
940,0
2171,13
3013,9
2993,7
4017,0
3352,4
4169,10
1828,2
1041,2
2179,12
3048,1
3698,9
1188,5
3465,12
3189,10
2661,7
3581,4
3513,0
3558,8
3382,2
10,13
2194,0
4003,0
111,0
2713,3
3991,2
630,4
2870,17
3438,6
40,1
3085,0
608,11
4213,17
3830,4
3004,10
3818,4
1010,0
1342,0
3001,7
2071,0
2621,8
4295,10
2592,0
2180,7
4235,5
448,2
1140,17
3602,9
2885,0
2860,1
1540,7
344,2
3452,2
832,0
2743,4
3516,17
1027,10
2054,0
569,2
402,1
2182,4
2937,12
988,7
2417,15
1115,0
2816,7
73,17
2517,13
1746,1
2857,2
390,0
3373,0
2214,0
2120,2
1914,0
2699,2
1484,8
3066,2
1160,2
1158,0
2165,1
2383,9
4138,6
4117,0
2008,17
4313,10
2091,2
3056,6
1643,2
1100,2
3863,2
2984,6
537,0
1770,1
1857,0
254,10
1993,7
2711,9
23,7
4412,10
2656,17
1886,11
585,3
421,0
1370,13
1525,0
1480,17
1712,4
2045,2
2552,4
354,7
4399,10
1562,2
3912,2
2858,2
1757,2
4011,2
3484,0
995,0
511,3
1308,14
1498,1
3084,0
4437,2
3764,16
278,2
4189,4
465,2
1052,1
2462,10
2230,0
4188,17
3681,15
315,0
4224,17
1714,11
2507,7
1572,2
2285,7
3303,4
3151,0
2031,2
308,4
1917,11
2679,2
3289,2
470,6
2206,10
2751,13
3504,16
2003,4
662,2
4385,6
1815,0
684,13
4430,10
1021,10
3948,2
1305,2
4241,1
2456,10
2550,0
3160,12
702,2
276,0
1598,0
3902,7
808,4
546,16
790,3
2205,8
2747,4
351,16
2670,0
3793,4
898,0
1139,2
2411,6
2888,2
1542,2
1385,2
4378,2
4351,2
1750,2
2033,5
245,2
4074,13
3050,2
2373,5
1956,6
786,2
476,0
613,2
724,2
1916,0
640,17
4024,7
742,17
2947,16
1955,0
1892,7
54,0
3552,0
3578,8
2452,11
1016,9
239,4
2812,1
636,4
602,2
69,4
1330,5
2546,2
809,5
3956,0
1831,2
1796,2
857,7
408,2
1817,17
1042,7
1689,16
3130,0
2980,15
1694,2
1651,10
2125,4
341,4
932,0
1686,9
3676,12
2968,0
1244,6
1013,7
2766,2
500,10
3849,8
4472,17
1040,11
3043,17
581,0
2633,17
518,7
3637,13
844,2
1832,7
716,0
972,4
180,2
1841,4
1392,0
310,9
3479,1
3748,2
2497,10
2580,7
3843,2
2556,6
2599,16
4457,13
1335,10
3167,16
289,17
2062,1
2128,10
291,3
298,1
3894,2
1938,7
2197,1
1088,11
575,17
3170,17
2480,3
3889,14
4219,7
2514,17
3248,2
3577,11
1592,0
3566,0
4068,4
3474,16
2758,0
4175,1
3567,0
1940,2
3860,14
167,12
1825,0
3144,8
2969,4
3503,10
1813,2
2903,12
3221,0
1774,2
1488,0
2807,0
2076,0
2829,10
2576,0
3797,12
4427,16
1118,7
3230,4
3700,7
1302,2
2162,10
1761,7
3336,5
1212,0
3975,17
3042,4
4283,0
2137,13
1971,15
334,2
3665,7
2029,0
4424,7
721,17
2002,16
639,17
3900,14
3329,17
3857,15
701,10
747,4
1558,8
4310,2
262,0
587,3
755,2
1128,7
431,10
1634,2
2322,10
4275,0
123,2
2653,5
3431,2
3380,17
356,4
2890,10
294,7
1166,0
688,7
3229,10
225,0
2312,9
1767,17
1310,14
2574,16
2444,9
4435,14
2110,2
14,0
2994,2
3025,0
2009,12
485,10
2710,0
2818,10
3883,16
2477,0
4073,8
3429,3
2211,0
1609,2
3120,17
3275,10
443,11
3861,17
783,2
192,9
2795,0
3736,0
3241,17
2611,2
2127,10
221,2
1044,10
2321,2
583,1
1791,0
797,2
466,15
4247,0
603,0
462,7
777,15
2053,17
673,0
851,0
99,0
3728,0
218,15
1890,2
731,4
3325,2
339,10
633,2
2232,7
1513,17
1362,10
2973,4
1,4
2357,0
3802,1
4151,2
4490,2
3596,2
3928,8
2728,2
392,8
437,10
1844,0
228,13
2081,2
3478,17
2282,0
3779,0
1456,1
3572,0
3110,10
3533,1
3023,5
109,1
4471,12
299,16
366,9
1291,1
3559,4
2687,0
3399,2
4141,2
601,4
1482,8
3409,12
209,1
1745,1
2623,2
2474,7
4089,0
970,15
930,2
4381,7
3300,0
3242,2
257,0
1350,1
1259,0
985,0
3918,0
677,0
4451,2
487,0
1529,2
311,15
93,6
3277,7
370,2
1399,17
3211,8
1327,0
1446,2
432,0
2036,0
2277,0
3119,10
799,17
885,1
4484,2
4408,0
1755,10
3538,1
107,0
3770,4
3880,1
3379,1
3417,0
170,14
157,11
1849,9
2370,6
2063,5
1009,17
2142,7
279,13
3284,10
3327,13
2050,12
2780,0
1340,0
1512,0
3190,10
292,0
3642,10
3365,0
2253,2
1961,0
1453,17
434,0
871,0
121,17
3807,12
1507,8
2931,10
4396,0
2752,6
1069,2
4087,7
2543,9
3236,0
2115,10
2564,0
911,17
3520,0
4281,0
1227,0
3808,17
2292,0
3983,0
1706,6
3796,2
4093,5
3526,4
1734,7
2960,1
1898,7
4477,0
3137,0
1229,12
1700,17
4300,0
2287,0
4296,2
4432,2
751,16
3604,16
281,10
3741,2
105,7
3903,0
353,0
2985,0
816,0
987,16
3223,4
4197,0
52,17
1835,13
420,1
1781,15
3767,6
1944,11
3105,2
2369,10
3576,0
2814,12
75,1
698,4
2753,2
2401,16
863,4
3916,4
815,11
3495,2
4336,10
480,2
2212,2
798,2
1823,16
3213,17
405,12
2826,14
2289,2
1515,10
4008,7
3706,2
1471,0
2199,7
2390,0
657,16
692,1
1847,0
1984,16
1234,1
1524,0
3586,2
598,0
997,11
3075,4
3848,15
330,7
174,0
3321,13
3633,0
4154,0
3256,2
19,12
3037,2
446,13
1156,17
679,3
2965,0
1688,6
3522,0
2099,2
2744,2
2441,6
1778,12
2030,0
1458,2
3817,2
1655,7
3927,0
1047,0
2164,11
685,2
