doc_idx,category
3218,13
1598,0
5074,0
4762,10
1825,3
973,0
2698,0
2502,10
4919,10
5203,15
4557,13
5142,19
1533,0
3408,1
3234,13
2666,13
1619,19
402,10
2359,13
370,14
4185,10
2093,1
4664,20
821,1
160,2
3681,2
5408,9
1718,0
809,16
4162,10
3378,13
1334,8
1302,17
4217,6
830,5
3010,11
2655,15
5115,17
170,10
2719,19
2576,0
4616,16
2384,12
421,20
4588,3
1728,8
763,19
1792,17
4027,4
3610,6
2399,0
786,17
5343,19
3113,0
716,11
4446,7
5463,13
4439,10
1708,2
2549,5
480,4
2639,13
1179,8
3067,1
798,8
2373,14
2247,2
3143,10
1856,14
1800,13
245,0
3366,3
2631,3
4859,13
4983,9
2564,17
953,10
180,7
732,0
646,0
4630,0
4296,10
93,14
5428,0
279,2
2346,0
209,0
2233,1
3058,10
4118,10
656,4
1613,13
298,10
2516,13
4405,3
906,15
1100,10
5355,10
3735,4
2242,18
3910,12
289,0
2630,10
1210,11
4338,1
5410,14
2186,8
518,17
3828,18
2479,17
965,3
1246,13
4789,7
2417,17
3856,1
2546,2
3525,1
3121,13
5024,17
1778,10
2735,0
3869,0
4014,16
2767,20
3018,2
2478,10
4877,3
1013,5
2827,10
3924,10
3192,8
4829,17
4798,1
4746,10
3491,4
873,10
382,8
1167,17
2677,3
1465,3
5347,14
3500,10
4609,10
4107,19
1961,8
1714,15
1082,14
556,3
546,9
2960,6
4136,2
2820,6
299,3
3777,3
3804,14
4400,3
1042,17
241,10
4600,19
1023,13
2643,12
2757,17
3233,7
474,13
148,10
2834,3
1181,10
4393,5
3004,7
3567,17
5419,10
1293,7
4380,12
1664,6
5345,1
3345,2
4353,5
3481,19
1049,0
4757,18
3428,6
1570,0
4627,7
5481,10
3661,5
2354,2
2775,1
2724,4
3717,2
3625,17
4271,10
1282,17
2217,13
535,10
1279,18
3327,2
932,11
4560,18
1568,1
5005,0
5327,10
226,0
2160,13
3674,11
2489,2
4089,18
3694,16
2585,10
4591,16
4970,4
3302,7
1354,12
4663,10
128,8
133,7
2507,2
987,17
3030,10
5483,5
4330,10
3399,17
3640,7
4115,13
4582,3
3796,2
561,20
3998,10
4832,10
839,3
2137,10
2178,19
1335,8
1506,17
1365,3
1909,14
1743,5
4930,3
3028,0
1156,11
751,2
797,0
4850,17
4080,10
803,1
5176,8
3487,16
4043,13
926,0
3436,18
19,12
2356,13
596,4
639,1
2531,17
4654,10
1938,13
2807,10
898,4
1138,11
961,7
2463,13
4007,17
1793,0
2952,19
4480,11
3778,7
3112,14
1626,0
572,0
3507,7
394,19
432,11
440,0
4302,3
4547,12
2272,10
4090,1
3062,13
1857,5
4458,17
5264,10
3102,2
2141,10
5212,12
5369,10
2717,13
5118,10
3261,6
964,0
1155,0
4088,10
4199,11
2301,13
3954,8
3679,1
23,10
5368,3
1142,13
3641,0
4151,3
3387,10
486,17
4285,0
1423,19
5404,11
1703,4
4977,15
1562,10
3894,19
4553,14
2335,13
3229,0
3068,13
4462,0
3071,10
2290,7
2521,0
5394,1
2315,13
2117,0
1342,0
1531,7
5091,19
2188,6
954,0
3703,8
4354,2
1880,1
2236,12
3517,10
5315,2
597,3
354,17
2374,13
2169,3
2705,13
3563,2
3280,11
589,13
3422,17
2974,0
2240,10
4409,17
405,19
1118,19
3211,17
5015,19
2342,13
3708,2
467,13
679,4
5002,17
4092,3
1466,17
694,17
3431,9
1330,13
1937,12
5105,19
2480,11
1050,0
3855,18
1378,8
2797,1
4876,13
2887,1
2379,3
2000,15
4744,8
4255,6
2444,8
1710,8
3310,18
2859,19
1649,6
2009,13
3883,10
2555,18
3852,9
2826,1
5082,17
3424,0
4223,0
5027,0
5226,13
3091,0
3078,5
2023,17
4488,1
1746,2
5009,0
499,13
257,4
424,0
5289,0
608,0
2347,10
3465,18
3095,16
2958,7
1298,11
1873,17
1031,3
431,12
4763,0
4197,10
2219,8
3999,0
800,2
539,7
3806,10
3460,13
2973,0
1881,13
1209,19
2993,8
1460,13
1913,2
4811,8
1754,13
989,1
2652,0
3206,12
3202,8
4096,10
1007,16
4281,13
1952,14
4986,0
1712,10
3493,1
2795,18
4023,0
2306,13
3503,10
4959,10
3944,17
2014,13
1432,19
1252,13
3076,1
462,4
17,0
3838,13
2754,16
411,12
1955,8
3209,1
2588,0
4390,13
1915,13
899,9
1835,3
2729,16
2976,0
3765,0
728,0
2199,4
2781,1
5210,4
2816,17
4778,0
5400,11
1727,10
3194,13
1740,0
1585,10
1762,7
967,19
292,17
2988,7
2228,14
988,1
4487,12
4841,0
73,3
568,7
3616,2
2251,10
2872,7
715,13
3260,2
446,0
4411,0
1962,7
3739,0
2798,4
2475,3
3290,13
218,11
4169,1
2496,9
1305,8
3601,0
1750,4
3171,13
633,1
4810,15
4870,18
1890,5
3966,2
54,19
4692,0
3586,2
4472,16
4555,15
4839,0
551,0
3144,13
4698,14
1794,17
308,10
4749,7
585,7
3220,13
2128,11
3353,17
3945,13
3406,10
544,16
1449,0
4915,8
310,7
2876,10
3472,7
583,17
1104,1
2432,8
3105,3
1333,5
4840,1
4898,8
4594,12
2163,13
5181,10
125,19
3860,17
3440,3
1877,0
4950,2
2164,1
2474,7
3352,3
603,0
4559,17
1983,6
1258,10
4486,2
3052,6
1853,5
4039,9
14,17
100,3
2401,0
2412,11
4875,4
2036,5
3248,10
504,0
2556,13
2748,10
3245,13
4827,13
3953,0
4684,11
5297,17
5274,13
4198,8
1669,17
1234,19
192,7
4175,0
4661,0
3571,6
334,19
1275,0
1702,0
3908,17
1667,15
2484,12
2575,14
844,15
1578,11
5193,1
1904,5
3538,17
4055,0
2712,4
711,19
316,13
5281,0
2056,2
1032,10
4097,14
12,10
657,14
18,7
4152,10
2340,4
5365,17
4459,7
2653,1
5053,10
4303,15
5108,14
3060,10
587,17
643,11
1047,19
2912,10
5270,17
3723,8
4895,19
602,9
920,10
2010,19
2580,3
2914,2
1011,13
3501,1
5216,0
3138,0
1992,4
3651,0
3648,0
5443,9
4578,4
3714,13
139,17
3734,17
3880,12
5147,13
2985,2
4507,12
3649,13
4964,14
747,1
2594,2
1371,17
2528,18
5126,0
5390,12
1888,3
4620,18
2455,2
2076,4
3200,13
3231,3
5321,11
930,19
3099,17
3321,14
4518,7
1306,2
1564,9
1164,15
3222,2
4312,2
141,0
1609,17
1057,19
2645,10
1309,10
10,19
1446,10
1445,1
3744,10
885,0
3553,2
702,19
985,13
4137,14
2855,10
2989,17
4672,19
5313,13
3441,13
3741,9
2339,10
5013,5
221,13
2118,5
2964,10
549,1
1817,10
423,19
2854,13
2283,0
2746,0
1409,0
4867,13
1244,2
1370,17
1,1
1926,17
3027,1
276,19
3354,2
1224,10
2817,0
5341,0
476,10
567,18
1575,17
2,8
990,2
4869,10
4293,2
3812,10
1360,5
4824,0
631,10
3959,1
1734,10
4987,2
4984,10
4795,0
1764,19
341,2
1017,0
403,10
3241,1
818,8
4963,0
4044,15
2683,1
3056,2
4127,19
470,14
145,19
4704,2
117,3
4465,0
3328,17
684,8
4740,13
3827,13
2545,13
325,2
2926,17
858,5
5339,13
1266,19
1399,0
2606,19
4926,18
1250,3
5201,5
3726,4
1133,7
1771,1
2403,0
4979,1
1719,13
1184,14
2275,10
2931,0
4440,1
2268,10
1618,0
2658,8
911,12
1844,0
99,13
2045,0
4158,13
315,10
5495,10
2121,19
372,7
3363,19
4466,19
1833,3
4074,3
2897,18
231,0
2864,0
4605,13
301,19
2071,2
655,17
3385,0
2088,1
3147,0
4552,0
3666,5
4164,0
4149,13
1886,13
2464,10
4316,10
3618,14
4720,13
3014,13
5286,17
3566,15
1723,1
3689,2
2044,9
601,2
205,0
724,11
4413,10
4093,13
3893,3
3549,10
3240,18
2029,17
755,14
1000,11
1158,10
792,0
4211,2
2928,11
5471,7
863,19
5319,1
2329,8
4653,3
575,13
1385,9
3350,3
2567,1
2205,13
225,12
1529,2
677,5
2618,10
1481,17
2366,13
1885,11
4702,13
2774,19
2171,13
343,3
2852,19
4793,2
1165,17
647,16
3604,1
2148,13
1195,5
3057,19
3948,10
1137,2
3023,14
4477,17
1087,17
4450,5
581,7
5354,4
871,12
1854,10
4790,10
753,13
5207,7
2980,18
4028,15
5387,1
2276,16
1774,6
4714,13
4355,2
4053,7
1442,0
4514,0
3535,2
5066,13
3267,2
494,3
111,13
1507,8
2591,0
69,8
2623,5
5227,11
1755,1
4434,13
2523,17
3554,14
4679,0
5243,0
3420,10
3764,8
1220,14
3179,0
4644,3
637,7
3931,1
4523,2
2037,10
1812,4
1291,10
2849,8
1615,19
4537,1
200,19
390,2
443,10
5124,12
721,16
1614,8
2671,1
3400,0
2020,17
4542,13
254,10
3189,8
5488,2
642,17
2438,18
2669,11
783,10
4980,0
3494,14
4003,11
4975,1
3412,17
