doc_idx,category
100,8
1274,10
1720,0
194,4
408,12
543,1
461,1
776,9
226,10
182,0
1667,4
742,10
1363,6
692,7
790,4
809,9
854,7
1150,8
1569,9
244,1
802,0
567,4
1413,12
608,4
86,4
63,2
169,10
771,0
906,0
205,8
287,2
1204,1
1422,6
928,8
553,7
680,6
116,8
61,2
20,6
1670,1
1004,5
586,1
1395,3
909,3
1416,6
28,0
766,7
990,9
530,1
815,0
678,6
1328,11
1178,6
1302,1
45,4
1493,2
1487,2
358,4
1606,5
52,10
73,7
330,11
519,0
260,11
1318,1
1600,6
1675,1
938,1
1551,4
476,0
1610,6
259,6
687,0
378,9
929,1
1341,10
458,4
480,6
1662,0
19,0
807,5
1710,6
166,1
356,0
1248,12
585,3
1437,1
294,0
112,6
53,7
143,1
1190,0
121,0
1550,12
1562,3
827,8
1173,1
618,7
1220,1
1025,11
283,1
1723,1
667,10
915,7
1273,7
422,1
1502,8
908,4
167,3
460,6
688,1
941,1
905,6
1179,4
1377,0
966,1
532,9
1180,10
431,10
1731,0
920,0
274,4
1062,0
820,1
285,1
1682,0
729,1
1390,7
1588,4
769,1
403,10
1237,2
694,10
714,6
1703,1
971,5
1381,2
1421,0
1089,6
614,12
1599,9
1547,3
1068,1
1079,6
1320,6
29,0
718,9
525,7
1546,11
1182,1
893,11
1527,6
470,6
91,10
495,6
334,3
1296,10
1687,4
1514,9
381,0
1069,11
1715,2
573,9
996,4
910,1
1601,9
303,2
991,7
216,0
89,4
796,4
656,10
392,3
734,11
716,6
105,7
993,7
1728,10
594,4
471,3
114,3
1380,1
459,4
1100,12
1632,8
829,9
1726,0
158,1
1585,1
630,8
36,11
1188,1
164,1
402,10
160,0
464,7
879,12
1350,9
1392,2
1396,1
1028,12
156,1
650,6
250,3
301,11
1678,5
477,1
1419,11
1740,9
1500,7
505,4
596,2
572,7
88,0
76,8
647,10
1383,0
940,9
1378,10
1444,5
1249,3
1706,0
700,10
218,4
1520,7
74,0
1093,10
1597,11
1580,11
1123,2
441,3
1291,3
1744,10
651,0
199,10
962,3
787,3
1521,4
1583,3
566,9
539,2
1372,11
587,7
1506,7
1639,7
395,11
1041,0
1072,4
967,0
984,0
85,0
215,5
417,0
912,3
857,4
1387,8
1030,4
578,4
1375,1
1567,8
701,2
221,0
1581,11
280,11
1279,10
1417,6
440,4
781,1
533,3
795,6
494,1
502,10
522,4
12,6
777,6
150,7
974,12
247,3
859,7
1126,7
1110,10
1572,11
775,1
213,0
296,8
1083,0
1686,1
56,6
922,1
1218,11
892,0
157,12
725,11
658,9
954,5
1398,0
601,5
154,10
684,2
778,3
1479,9
1570,1
1271,10
1653,9
736,11
930,4
896,7
911,0
1148,2
1643,7
1468,6
1181,3
1258,8
1586,8
535,1
1529,8
1689,6
1124,4
289,3
1038,0
696,4
1584,1
1327,8
871,7
318,7
449,8
1357,11
478,7
1144,10
654,10
1116,1
1287,5
860,1
1641,1
1257,1
393,2
1021,1
1043,8
598,8
1564,5
1509,10
1568,0
1592,6
839,3
926,7
1247,4
887,1
672,9
961,12
1244,9
1354,2
1143,11
1298,4
1510,3
1349,0
1594,0
622,3
159,9
485,0
1691,1
1185,1
1364,3
1215,0
50,10
1526,5
1339,0
145,3
7,9
1164,0
1545,2
627,1
1403,9
767,6
430,0
1618,5
407,7
1285,8
865,4
1212,2
5,9
317,8
273,7
369,6
1450,4
510,11
43,11
875,4
1165,4
1155,1
724,9
891,3
1469,7
1660,1
83,6
1605,0
968,5
504,0
1189,8
711,3
872,1
1103,0
1198,6
521,6
1685,9
799,3
1701,11
1097,9
230,12
761,1
1231,1
68,4
735,3
1107,6
797,4
914,8
1276,5
1391,8
1630,4
58,8
1465,6
524,11
1289,11
1604,8
548,12
589,9
1309,9
1195,7
1032,3
51,4
1230,4
556,9
1735,8
1246,10
959,1
1408,6
488,11
1369,8
140,9
1367,2
1449,3
1657,5
15,9
1005,0
1692,0
1697,0
1081,4
1268,3
368,3
382,10
850,0
1423,4
299,1
1461,0
151,1
1019,4
347,5
1642,0
681,8
1221,12
1047,12
200,3
1229,10
1024,5
133,0
960,6
171,1
70,2
516,7
1729,6
770,1
254,10
897,12
1647,3
173,5
181,11
284,1
963,4
293,10
418,11
1162,10
1207,10
877,0
1596,9
1177,4
783,3
227,4
1044,5
1064,3
831,11
1673,1
1169,7
16,3
746,12
257,0
1085,1
1006,12
759,5
122,5
1503,3
885,8
1614,6
1358,0
888,10
784,0
721,10
1160,11
1304,0
591,3
803,1
252,2
624,9
1534,11
451,4
1070,10
1638,4
1261,7
239,12
328,8
438,4
365,3
1414,3
1308,9
1281,11
1197,8
1666,1
119,0
292,11
394,12
947,0
202,7
1476,9
554,0
362,0
1511,3
1086,5
297,5
450,4
731,5
1329,9
1158,1
492,1
1540,2
763,1
272,3
1681,7
565,4
183,3
1020,3
1471,8
582,11
325,0
1262,1
66,10
741,9
800,10
1374,5
396,8
1223,1
779,7
538,6
1613,4
33,4
262,2
726,0
674,8
597,8
1631,0
1560,7
1602,5
1405,2
40,4
609,8
1532,0
1184,11
163,1
785,4
822,0
894,9
390,0
1240,0
436,2
115,9
853,12
137,5
148,1
1456,3
423,6
491,6
1135,4
1409,4
1120,0
1543,3
946,1
558,3
581,4
1738,4
357,9
101,6
55,10
545,8
1609,0
1370,3
81,5
604,0
755,3
1344,2
1226,8
1488,6
1325,0
1477,1
551,1
316,8
1635,9
174,4
67,8
869,6
936,3
861,11
501,7
669,10
1335,0
59,1
713,5
307,4
592,8
1138,3
1235,7
1156,3
1441,0
1200,4
1466,1
1305,9
1331,11
342,3
387,1
1191,6
633,10
1017,11
997,0
550,12
1026,6
503,2
1265,1
240,4
468,9
964,8
1214,3
427,4
1633,1
207,1
1333,6
261,1
1134,10
1073,4
1094,1
1507,1
1522,3
327,5
988,6
643,3
1314,2
1404,1
305,9
138,9
1504,5
493,3
899,5
1142,9
818,11
840,6
375,4
637,7
437,8
584,7
828,9
1326,3
109,3
220,1
517,3
757,0
1516,3
410,11
665,8
880,0
1075,5
184,10
1412,5
435,8
1712,11
1101,0
529,7
1106,5
607,4
645,3
916,10
321,5
269,8
555,6
1099,11
679,0
1186,4
970,4
957,8
975,9
1454,4
878,0
1284,7
1091,8
315,1
341,9
1478,6
1255,5
811,0
1002,11
1447,0
659,3
235,2
1595,1
836,0
373,0
612,4
702,11
1225,1
547,6
542,7
439,8
432,10
511,8
95,4
921,4
1088,0
513,7
1077,12
1122,5
1439,9
306,3
1524,5
229,5
1227,4
1608,7
855,0
1576,7
245,9
1722,7
1553,10
277,0
21,5
366,6
1119,6
209,4
1216,4
1730,8
810,0
210,0
744,3
1109,4
1436,1
758,6
1136,11
546,1
1346,6
536,4
804,0
913,0
421,0
1426,8
1111,7
1607,4
1210,3
706,0
499,1
1082,12
644,10
801,6
1128,11
1267,7
664,4
900,0
1508,7
49,9
332,0
774,6
1455,5
707,2
135,11
1695,8
433,7
1219,10
793,12
1343,3
1013,1
1275,1
951,5
1319,8
1243,9
1452,10
728,1
1161,9
44,8
1208,2
1340,10
862,5
1693,0
1159,8
520,1
816,10
904,9
768,7
870,3
75,9
639,11
225,1
1254,12
1518,8
965,0
1523,5
717,1
424,7
324,11
481,1
172,0
1724,1
22,11
281,11
685,8
1330,9
693,6
976,5
1040,6
992,4
346,1
265,1
434,11
1445,0
1213,11
653,9
178,0
467,4
1434,9
1573,6
1519,4
1676,9
737,4
1402,7
576,10
236,7
1224,7
1425,9
605,10
203,0
1066,8
1650,2
291,1
11,7
792,0
118,5
355,2
699,0
1640,0
1001,1
1000,1
1424,1
1645,2
404,0
498,7
791,11
1338,7
1211,8
593,1
1727,0
571,2
241,6
764,8
1151,1
189,9
335,11
1061,9
599,4
995,9
1636,1
1554,4
377,5
340,0
723,3
1432,12
1166,3
832,2
515,6
1620,0
344,7
1649,1
364,3
634,3
482,11
279,10
1293,0
1658,11
123,8
808,0
1283,1
1102,9
969,7
826,8
1698,0
1694,5
715,11
518,1
844,4
945,4
428,5
1407,7
462,9
1652,4
17,0
354,4
1113,5
642,0
1352,11
233,1
1010,10
444,0
320,11
1598,4
1739,7
978,1
391,0
1187,9
106,1
353,6
1397,11
1571,6
1552,10
18,8
845,9
611,4
798,7
838,10
698,11
82,4
1360,1
92,6
932,0
514,0
1121,6
349,0
1654,2
120,0
1236,8
322,0
1301,1
319,1
1575,0
895,4
648,1
1590,7
673,1
1282,7
1,9
103,7
1022,0
110,7
343,4
1039,6
1154,1
1234,0
465,11
994,0
1131,5
155,10
