doc_idx,category
2341,12
3454,3
1047,7
841,4
834,7
1821,3
1123,2
3658,0
914,5
1684,7
1564,9
1911,8
2249,7
384,13
1914,15
1269,5
2339,7
4681,4
4349,7
2416,13
1787,6
326,17
3858,4
2429,9
4564,13
659,4
2926,5
413,11
836,6
4330,11
2849,5
1985,1
700,1
994,5
365,7
2042,10
1087,9
3621,3
2413,12
935,1
3299,7
3740,7
2138,20
329,1
1792,1
2444,15
691,11
3390,7
404,2
4563,5
887,17
3068,4
4601,12
4339,13
4117,8
1105,12
1307,3
2296,5
1154,7
3891,10
2546,5
664,3
2008,1
4637,15
265,4
4638,5
1503,12
2744,1
23,4
207,11
1761,5
2056,4
1191,17
431,11
1035,9
3412,12
2283,2
1249,10
206,5
1322,9
4386,4
1356,15
3372,7
2107,5
848,13
399,8
2514,16
3203,3
2030,7
1990,17
1692,13
418,3
3893,12
3147,15
3976,9
281,14
4001,3
1826,7
1609,16
4463,13
2929,4
1516,5
2122,10
552,12
3908,2
2719,11
3565,3
1785,13
1016,4
4229,1
1644,4
229,14
2029,7
121,9
2810,2
3238,2
2460,1
837,15
1245,6
2946,3
3211,10
1569,5
2994,2
3251,3
4648,7
3132,12
3262,1
2134,1
4500,7
3830,5
1379,4
1844,5
3382,13
2819,3
1603,19
1067,12
2153,12
2409,2
2504,7
222,1
3681,13
3006,0
1393,9
1419,11
2009,15
469,12
2634,1
4315,0
4007,7
2681,5
4249,12
1030,2
3318,13
3799,5
3429,1
2709,4
3040,3
2894,11
4299,12
1699,7
345,11
812,0
3073,5
445,12
3972,0
4493,17
1088,17
3878,9
2942,15
2359,4
1938,4
4490,7
2456,15
3042,4
888,11
620,0
718,12
4689,5
2871,3
1422,5
174,1
4609,4
3752,0
1216,1
3718,12
1325,7
3278,3
287,3
163,3
3767,0
2742,15
2198,12
1577,5
434,12
3499,7
227,0
2347,4
2368,0
379,15
3696,4
3427,8
4049,4
1271,7
1169,12
4448,4
2796,12
3155,9
2686,12
3977,7
2563,11
857,7
3684,5
1020,11
4326,7
1585,16
1788,3
1530,9
4452,15
3911,5
2557,1
2571,5
2756,14
1908,8
3150,1
347,4
1353,15
4632,2
791,3
3570,11
1306,7
2069,6
2119,7
4310,1
1188,1
4611,10
3665,11
35,4
3363,0
90,13
2727,2
108,5
2251,5
1021,0
316,3
2592,7
550,7
4602,1
2977,12
1664,1
3370,5
2679,9
3907,1
2594,13
3709,5
21,12
3300,1
4036,10
96,3
3660,1
2352,1
4728,8
2952,12
3057,3
670,1
1177,17
4538,3
2991,2
3594,11
854,18
498,5
3076,1
3085,9
3691,5
3421,8
3810,8
1551,1
3817,17
2988,12
3552,1
2055,4
11,4
3339,0
3016,8
3725,5
833,12
1936,3
2707,1
1251,2
866,4
4137,2
4710,0
1807,9
292,3
638,8
2228,5
1547,1
62,4
1053,4
1395,14
629,3
3241,7
3273,0
701,17
3951,2
191,15
4018,8
995,4
3530,12
2127,12
930,12
435,4
1711,12
1582,10
2976,2
2555,4
4376,13
1073,13
1467,13
1317,9
3773,4
3668,4
4164,12
1574,13
3578,17
2950,17
1278,12
3074,7
1126,5
3703,0
1576,5
717,1
2817,7
2863,5
3924,3
328,7
943,1
1141,4
2091,17
2061,13
3287,4
3153,0
2526,5
653,0
3330,2
3303,12
3868,11
2965,4
3543,8
1598,3
1893,4
458,0
4119,7
927,10
1165,3
1506,0
3279,3
4419,4
3840,4
2792,2
454,7
504,7
1436,4
2299,3
4647,3
4175,5
4038,2
2322,5
934,5
4201,12
1120,9
171,1
3994,11
3065,14
3096,13
535,3
1599,10
1557,2
1683,12
3984,5
4483,12
3266,16
4579,8
483,7
2826,17
783,6
3467,5
113,11
2052,12
4561,4
3955,8
2350,15
2236,1
4350,17
1217,1
1408,4
3407,12
2781,3
1705,5
125,10
1963,19
1052,7
2802,14
2912,12
534,4
1579,15
4072,6
851,1
3659,7
4067,9
815,9
2497,17
3829,17
1421,13
1824,12
3118,17
176,3
3797,12
101,12
2421,11
2263,2
4529,9
3414,14
3269,1
1305,12
3607,17
3004,9
4173,15
3794,7
1958,3
2480,9
4306,8
4472,7
2309,1
4109,3
540,14
3253,7
4323,15
4126,3
145,1
1835,4
2150,3
3140,0
4168,2
2662,3
1857,12
3628,12
4555,4
3847,1
2425,15
502,7
2439,4
219,12
2537,9
2013,12
3176,12
2360,9
3442,8
2265,0
3025,17
44,19
4017,19
1457,12
2789,2
264,12
1314,5
2542,5
3039,0
315,4
4355,7
301,17
898,11
3411,12
2125,1
4695,17
1611,7
951,1
4590,9
1907,9
3192,17
448,8
355,4
1604,4
2235,6
3927,1
3023,4
4560,10
3263,10
4314,1
4368,5
65,9
3340,8
1247,3
3282,7
4475,12
560,12
4210,3
2961,2
523,4
2405,5
3051,14
2895,5
3117,0
4503,12
1676,4
3728,5
3761,7
3954,3
2505,0
2202,7
2753,7
1535,20
4142,12
161,5
2859,7
4377,7
1707,9
208,19
2712,9
1443,4
924,4
1560,1
4582,4
4741,5
1879,1
3375,7
1441,5
4196,5
2378,16
734,7
694,8
4000,12
1161,1
1814,3
4486,4
3560,7
4460,8
3909,2
1872,7
4191,4
4309,3
4554,2
3764,1
1773,2
3049,9
450,2
3914,4
4592,17
1945,7
2788,7
3154,4
760,2
4506,17
879,13
799,11
1597,7
4466,1
3811,9
1652,12
2169,5
1567,7
3964,6
607,1
3257,1
1320,8
4487,1
3561,7
3108,11
358,1
3106,0
1215,7
2233,6
3529,2
1721,9
4274,7
3393,1
1667,0
3193,5
1758,9
827,11
2036,0
3297,0
4624,2
1313,7
2266,12
1690,10
3952,7
800,5
1476,5
4238,3
403,13
2084,12
769,3
3766,18
2269,3
1483,1
3902,11
4364,11
2676,4
3613,12
2210,4
862,4
74,1
1029,5
4006,12
2308,6
1430,10
2062,9
3985,1
3713,4
3145,12
3717,4
45,5
3667,14
3070,3
4199,5
999,9
1820,2
2668,11
2317,0
3083,4
1764,4
2620,13
2382,10
3156,17
2566,9
963,4
1884,17
2404,19
17,18
3792,12
3050,9
3475,7
433,9
1693,7
3729,7
4696,7
4425,8
2290,11
3066,17
2732,4
4319,12
2149,5
1025,17
2060,5
2293,10
337,3
577,12
479,4
213,1
1399,14
1458,11
2392,19
521,8
1845,3
3151,7
1061,4
3009,8
2642,11
2868,18
579,9
1412,4
336,17
1349,6
2151,3
1004,14
1999,7
48,4
3295,5
1110,7
4738,2
142,0
3518,4
3843,1
4269,1
1434,7
2907,12
2222,4
2041,7
4139,3
2967,11
1956,5
1478,11
1957,9
1085,4
374,7
3034,12
4042,10
1502,1
3284,3
3423,8
4398,4
4512,3
4719,6
0,9
52,3
3608,5
3601,5
3164,17
1527,9
193,1
1494,7
3521,3
547,4
2303,1
324,11
601,14
3571,15
2543,2
2408,4
55,4
2388,7
2533,4
1301,2
2724,14
3314,4
2892,1
310,1
1450,2
2972,3
3612,1
4149,5
1411,6
1817,15
1198,7
1776,4
4519,6
3879,10
3031,7
3942,1
1365,5
3356,1
2304,11
4723,0
673,6
3043,1
2599,4
1717,15
141,7
79,7
1935,4
4687,5
1632,4
4517,2
1244,17
51,3
798,1
47,5
1681,4
3302,13
1798,7
1116,3
319,3
2332,3
2234,3
4578,8
2888,8
3905,5
149,4
3917,3
2539,4
3778,3
4489,7
3587,15
2355,0
938,0
2902,1
1737,3
2348,7
3656,0
3015,1
989,1
1927,5
1510,12
2562,3
3867,3
4040,8
2073,12
1961,1
1698,15
2443,12
255,5
3485,0
959,9
2276,9
1355,4
1250,9
731,15
2457,13
417,11
2146,3
528,5
194,13
2474,9
4409,11
804,12
3289,9
876,1
3419,2
2114,5
1786,4
3509,7
3308,1
1002,12
2838,6
1554,4
4422,10
3099,9
3416,4
1192,10
4670,2
3746,2
3223,6
2089,11
1739,13
4610,5
4148,4
3125,4
4031,6
146,1
1488,1
307,1
2270,1
3598,2
505,7
1440,4
3493,3
3857,9
461,5
4680,2
1426,4
3583,1
2128,0
1520,4
1433,7
2625,7
3376,6
2475,16
3588,3
926,14
452,4
3683,3
1208,5
2726,4
3491,4
1031,6
