doc_idx,category
3639,3
859,0
1625,10
3691,2
322,2
2057,8
3000,1
3493,8
1807,8
4202,6
1516,4
2870,5
4035,1
2250,10
4257,2
3920,8
639,0
625,0
3744,7
3787,0
3122,5
3688,4
2141,5
2387,7
507,6
1275,1
2637,4
1623,3
3266,2
3222,2
3124,3
1878,1
963,7
3373,4
2500,8
17,5
3225,0
1783,8
3207,8
2132,5
3910,8
1918,2
1355,3
73,1
877,8
61,5
4254,0
2297,5
4040,1
1348,10
2168,6
217,8
872,6
564,2
3337,7
3763,1
3977,1
3568,8
3591,2
2421,5
43,0
578,3
2279,7
1165,1
606,2
4111,2
3510,10
2035,5
725,1
4118,0
2231,1
3056,8
3958,4
1642,6
2471,0
2877,1
3747,2
4096,2
1778,3
4079,8
3720,9
934,2
3146,4
2904,10
1996,7
3656,1
3598,1
2820,4
1142,8
2133,1
1751,4
1609,7
624,2
1891,4
1784,7
1372,6
2344,8
2340,4
3488,1
3044,10
304,8
4200,6
3823,7
2528,4
2225,2
1157,8
2156,2
4316,4
3643,8
3173,2
4348,7
3873,8
1177,4
1959,4
1915,5
2851,7
1096,5
2228,1
2675,4
2704,5
1115,3
4344,8
1052,1
2046,8
1303,4
2912,1
2850,6
2355,0
2502,10
245,2
1349,1
840,0
3611,10
12,2
1406,5
1249,4
945,4
1272,3
4116,10
39,7
1154,0
3434,6
3857,8
1467,2
4184,10
1215,2
62,3
2575,7
4302,10
3243,6
4102,2
2189,4
555,4
628,1
2955,1
3043,4
1645,7
1574,5
233,9
3882,7
124,1
4192,5
1663,7
389,10
478,3
2429,7
118,5
511,8
3921,9
1541,1
1082,8
1092,1
799,7
3626,0
70,9
4329,10
1876,10
1888,6
3354,3
1922,10
2318,1
1773,8
4273,1
1825,0
2412,10
4000,1
741,10
483,3
908,0
976,8
735,8
2376,3
3941,6
1619,8
2137,9
3178,2
2995,8
2994,8
3378,5
3014,2
3417,0
2298,9
2815,10
2475,3
1010,10
2490,3
867,1
1201,0
681,8
1925,1
3486,3
1936,0
1974,1
2323,9
4105,10
2764,2
3541,6
1285,1
2508,8
1772,8
3438,8
2997,3
1826,9
2728,7
1464,3
1892,3
878,2
3085,10
1214,3
3726,0
453,3
2024,8
1099,8
3087,4
1947,8
2596,2
1298,2
1611,3
3727,8
1706,4
492,1
2275,2
3853,8
2974,6
2084,0
1599,9
28,1
1108,10
3150,8
1283,8
346,6
1534,10
3241,1
650,8
936,10
702,8
782,8
2150,5
4146,8
3784,8
2903,2
688,8
1730,10
1860,0
2881,0
1743,2
803,0
1018,10
2656,4
2594,6
529,0
1981,2
1491,7
3750,2
3318,4
1312,8
3704,9
356,0
3237,8
4016,3
3116,4
1526,4
1230,3
2522,10
374,2
3219,1
3296,5
3927,7
1269,2
2674,2
1813,8
3981,6
2406,3
2568,8
2494,1
2610,1
2433,8
3586,3
3327,1
3806,2
1988,2
1648,5
1963,1
3023,2
2305,6
1246,1
155,1
746,7
3114,6
2197,3
1155,8
1573,1
2166,4
1186,7
3749,0
4310,3
1368,4
1258,9
1776,0
1850,6
1433,0
1132,0
3696,1
617,8
2369,8
2810,0
1612,0
484,2
3066,2
1683,0
120,6
1564,1
2766,0
3013,2
3201,1
2581,9
2603,4
2630,2
242,2
2287,3
587,2
3531,4
3914,7
15,8
2936,5
651,0
2510,8
1319,5
570,8
1239,1
3316,2
3113,6
3607,10
4139,2
311,8
4203,5
3024,6
2662,5
692,1
3679,1
1630,4
1581,6
1415,6
2901,10
703,1
2373,6
2715,9
1029,10
2423,6
2359,2
440,9
3592,3
2585,8
2996,9
2595,8
770,8
4373,8
3228,2
2401,8
921,0
3838,4
4217,8
4073,7
3063,3
2938,1
1109,5
299,1
2991,3
933,4
1469,1
1646,8
4166,6
3281,8
4093,6
928,2
23,2
3045,0
1644,2
1131,3
4108,5
2534,0
4020,7
2583,7
1852,8
3029,4
2527,3
2712,6
2092,7
293,2
157,8
3738,1
2090,7
1715,1
1830,6
906,5
2827,10
3708,6
1292,0
3322,9
1327,10
2958,10
808,8
2918,1
3686,2
4336,2
2152,8
4159,10
1062,8
1472,2
1732,8
3336,3
607,0
717,3
2593,6
2613,5
1962,8
3828,8
3368,8
2416,1
1323,2
1708,0
