doc_idx,category
2835,19
1186,6
1663,10
3358,12
492,29
893,230
1234,78
155,42
1700,235
3866,16
1285,6
2178,9
299,29
2598,15
1804,56
994,13
3374,7
3410,4
2910,9
1648,29
2847,14
1062,0
3805,26
453,6
593,13
2146,15
3956,29
374,1
2306,35
1523,10
2605,4
2516,5
1157,29
17,29
4055,66
4074,10
525,21
118,12
1749,18
1883,24
1683,5
2482,29
39,22
1087,5
1338,13
2964,0
2006,24
3650,9
800,12
2550,28
1211,73
749,3
3150,10
2111,57
2429,73
1959,1
3378,0
4105,21
1686,1
685,4
124,6
732,128
3706,15
3777,16
322,4
3923,19
2057,49
1982,58
3935,25
510,74
2413,50
1825,6
1878,29
3412,27
1475,32
3340,5
28,29
1884,29
356,16
2254,91
3636,15
2035,0
3133,29
1995,0
1257,54
2484,11
1512,217
717,225
1922,13
1323,29
2031,214
2612,27
2570,18
3487,27
875,13
2530,225
1201,29
2600,53
2255,4
2019,1
70,0
3122,13
1000,58
2888,27
512,6
15,29
1156,13
381,13
1806,39
2780,11
702,29
983,28
2127,79
2128,31
2677,7
715,32
2180,15
555,54
1747,7
2215,13
3328,71
682,247
1902,42
3158,48
2084,43
242,15
1123,256
3937,239
1003,29
2739,79
1786,0
1454,50
2401,2
765,247
988,75
1264,24
105,10
376,47
1299,7
1778,50
1788,2
1431,29
3635,3
605,46
3218,0
1880,0
1023,26
3203,31
3957,29
132,22
561,29
2202,12
3889,0
1438,37
3982,18
3505,29
1467,0
977,91
1010,25
1405,16
2689,16
212,29
624,39
3408,7
3324,26
1613,16
1250,12
200,29
2737,16
2030,16
3317,29
3419,18
2857,121
3622,7
3478,7
859,29
4032,25
415,72
3519,19
3719,4
1239,46
981,39
2508,13
799,18
1667,2
2525,27
1577,29
2527,46
36,44
2294,0
2583,48
3325,13
831,78
2819,29
3023,9
2542,29
1155,1
4143,9
1119,22
233,11
4010,28
1659,28
3225,72
3305,49
2870,27
3045,46
1642,15
1021,84
2842,6
882,14
3290,10
3362,39
667,28
3018,53
644,56
881,4
1132,35
1200,22
2862,46
1968,2
346,32
1464,22
3477,3
1855,4
245,50
360,53
2811,37
906,9
1055,61
1365,29
3602,0
3302,50
3820,10
1609,66
474,3
1792,29
2642,18
3237,121
3260,6
1957,29
2024,16
3250,1
2228,54
3509,89
2750,27
3320,26
1369,0
3599,28
2576,54
2545,31
304,33
2645,83
3067,5
2204,20
293,29
1777,24
1184,29
2353,29
3522,244
3847,11
565,15
3691,2
4058,25
3506,1
1735,29
770,19
1684,37
838,25
3787,19
2723,0
2680,0
623,56
3483,0
1920,0
2016,19
180,1
2013,15
4111,22
877,22
3103,38
4014,4
2541,4
211,2
1774,18
1018,4
2907,9
1687,15
2524,18
230,3
808,14
2235,51
595,50
3459,7
2627,9
1142,56
1127,7
3531,29
3623,29
1909,0
3890,15
1904,51
1514,247
187,32
833,16
3375,70
2535,6
157,50
4053,128
3870,4
3272,72
3386,15
3936,71
2904,22
1292,0
23,2
2601,11
3687,13
3171,47
1600,49
1646,40
2266,22
1740,24
2730,29
3009,9
933,29
1668,1
3951,39
3915,29
365,90
2020,24
2715,6
707,29
3718,29
311,121
1767,128
3389,27
4030,11
2490,27
1120,50
690,33
3479,29
1761,14
3392,58
962,13
3585,16
1567,0
784,26
1653,4
2702,33
3990,19
1839,53
4139,49
1283,58
1415,34
272,16
631,12
634,21
4039,14
2906,38
2504,25
3973,0
973,0
3699,21
4040,29
3085,14
2369,40
1131,0
651,27
1624,21
1033,24
2094,0
278,15
1162,72
1099,0
1112,24
1408,14
2420,29
3615,0
3564,11
2438,3
1418,0
1409,0
2088,15
2533,12
2662,4
1451,0
664,28
1789,4
1462,28
718,5
606,51
1574,44
3447,34
65,0
3084,0
1798,2
1215,0
3850,79
3521,29
303,53
3033,61
1403,25
4103,22
908,4
120,253
3473,58
1986,29
2534,51
2246,48
2398,31
3482,13
2771,29
2726,33
3192,22
2817,244
1390,4
4136,5
1949,13
4016,29
4045,50
414,38
3947,0
2777,3
2522,29
1078,49
2340,37
1396,0
1706,5
2786,7
3326,22
2717,29
1691,29
1915,1
1530,0
1850,27
1406,4
2467,15
1398,33
945,15
2881,20
144,0
530,0
4046,0
1496,3
2873,0
1638,0
1928,0
2065,0
1471,50
3929,15
1908,6
747,241
2275,0
3070,0
3845,11
3770,0
2176,0
1245,0
1741,37
4031,0
424,50
1153,16
2221,11
2922,29
3921,67
1630,29
1480,78
3591,72
1035,46
662,39
12,79
3357,24
681,11
2720,28
1106,14
1421,28
750,247
1961,21
2440,71
2168,11
2092,7
3532,5
2300,2
1255,247
503,4
2629,13
2298,22
963,17
679,11
3395,18
1463,1
3756,14
3625,58
3675,0
1009,1
1476,36
968,0
1552,9
1510,15
2041,5
248,121
75,16
777,29
1081,27
722,29
1258,0
266,19
352,26
3219,29
2733,35
3538,29
2263,72
2372,29
2154,24
509,255
267,16
4,6
1901,14
3012,19
3269,14
3673,32
1128,10
4047,5
2610,4
2488,29
2681,6
1827,3
459,12
2238,4
1327,0
1729,51
835,29
798,27
2992,16
3003,28
4094,2
1029,5
1936,12
2943,54
996,29
719,35
1743,13
3129,10
1246,5
3140,0
3989,47
3104,27
3010,1
4088,9
2426,6
3304,4
2253,29
202,10
434,3
4018,26
2405,25
1297,66
1233,47
1626,51
3893,10
3200,29
853,24
31,51
1598,9
2418,32
1477,27
3234,10
2825,33
435,27
3301,51
438,29
692,22
2986,29
218,25
1755,22
3776,15
3592,1
3281,6
3652,9
3824,51
2071,4
3331,15
3784,0
1541,0
4067,2
433,0
1926,29
348,35
2568,0
3567,0
1329,0
1298,11
3491,29
1619,54
3813,0
4033,72
2635,49
589,7
276,25
1618,0
246,29
138,25
2674,2
2666,25
566,247
428,35
1990,51
3771,35
482,43
3864,89
928,29
2060,35
1929,10
2515,4
1274,1
2313,13
3351,20
3092,29
3019,4
418,10
14,29
2076,10
3729,71
1702,33
2890,24
3550,15
3402,24
2250,25
1935,24
1058,102
2080,16
3761,109
754,48
3364,15
579,0
2105,29
2274,10
2918,32
3760,14
3029,29
347,4
2106,4
3705,22
3273,79
2929,9
1672,29
1604,29
2917,52
2766,27
3263,7
2718,10
976,136
170,130
2998,28
1457,10
1875,14
771,9
2225,268
2069,11
2393,49
2538,26
241,37
803,9
3608,4
2329,29
1958,37
1195,4
2706,14
934,14
2560,5
1105,29
158,5
1534,90
575,29
2432,16
809,0
1708,46
3972,6
1910,13
564,17
2435,37
2751,2
2199,10
840,1
1355,16
3172,38
1165,0
2911,17
468,18
2892,29
1108,247
478,29
3076,49
1680,33
1916,23
1540,0
554,29
1674,54
3712,9
2973,2
3079,16
2580,25
1154,6
3797,29
137,6
4037,7
1853,29
2184,29
578,15
2463,33
551,29
590,4
910,29
598,54
3323,50
3289,14
636,9
3811,10
1801,1
2376,37
741,13
2975,9
24,247
2486,57
2701,29
2223,22
991,0
2594,29
2783,24
3434,15
1402,38
3139,3
2295,32
4044,29
628,205
3965,24
1367,24
1331,16
2288,19
107,74
570,0
942,0
2775,4
2744,51
3744,0
263,0
2608,241
3802,14
4137,0
1111,0
703,20
484,15
2395,14
625,0
1802,43
3626,11
946,5
867,41
3016,0
2821,32
2643,40
3312,23
2983,67
756,56
947,6
740,15
3094,41
3578,1
967,22
1918,52
1757,16
260,0
626,19
2957,20
423,56
3892,29
1,51
2028,37
2012,26
3190,49
3963,0
1214,0
3742,0
3208,241
221,0
3883,239
3006,0
3987,4
2554,0
1699,0
3454,254
1546,14
848,0
2756,9
1253,18
3858,0
769,268
632,0
1905,24
3874,27
1313,4
1252,13
1940,14
1136,35
1631,9
255,29
1315,29
2417,53
3618,29
3353,15
3821,2
886,72
4073,29
1269,4
1118,29
13,33
617,31
1067,1
464,15
1975,15
2732,1
3450,0
3518,15
2389,13
3964,37
639,25
936,58
1135,13
198,0
1963,0
309,14
507,0
637,30
4102,13
3796,18
560,28
43,27
1852,22
2523,29
3065,7
1978,98
2749,3
389,0
601,207
536,34
1347,12
33,0
2169,247
755,49
1593,0
165,49
1972,9
3703,4
393,67
2091,4
269,241
412,50
782,240
1836,15
3922,29
3882,0
3879,7
2850,56
316,25
3360,27
2058,29
465,34
3352,0
189,78
1275,12
3842,22
521,22
1583,22
2364,10
2112,14
2595,27
2153,33
2025,79
3823,14
3529,206
220,29
1544,11
2884,28
3058,48
62,4
3679,37
1650,13
135,32
3236,4
538,39
3537,18
3792,9
2446,17
4041,27
851,43
68,49
666,40
2352,41
1775,21
240,40
1518,31
1596,27
1758,5
3520,1
2747,29
380,6
4029,29
3905,7
1930,24
215,16
94,6
1784,58
1895,78
3121,16
1599,151
3343,146
2375,0
3998,24
4101,50
330,29
1721,10
2880,29
927,5
3354,1
2214,13
2256,16
3670,10
2412,59
2075,0
3213,23
3728,24
379,9
3649,9
2759,29
3869,6
2005,22
583,59
1180,53
2623,59
3762,16
735,25
3444,4
2872,31
3044,9
50,29
587,2
1351,10
1980,23
3497,21
3916,29
417,15
3222,7
57,27
1520,3
1900,17
926,8
872,79
253,0
114,2
3186,74
1897,10
2139,29
746,22
3063,54
1416,2
2930,16
3126,29
3587,33
3368,3
1130,34
388,9
439,16
1364,16
3872,10
1189,5
1303,29
1542,3
2632,3
865,10
1616,9
1988,29
2815,35
1339,72
2303,29
3924,0
778,19
1576,130
3836,49
2719,27
3245,78
3446,9
4068,22
2893,25
2566,54
2916,24
1095,1
547,11
1891,72
2567,1
3928,38
