doc_idx,category
1189,1
502,7
1364,4
1034,7
1863,8
942,12
596,6
145,4
1695,1
577,4
421,6
449,4
1546,6
49,1
1781,9
1025,7
1660,9
1519,4
1196,1
1290,5
1421,4
742,10
870,6
199,1
1480,0
1140,4
885,1
1577,1
1760,2
1786,8
1668,9
796,3
277,9
60,9
246,1
1816,6
1134,4
698,6
1795,9
1731,4
1076,0
549,8
1236,10
129,7
930,2
1960,12
1441,8
951,7
1493,4
1588,6
1800,9
61,9
446,4
561,4
1026,7
461,5
1594,6
1745,4
350,11
846,0
15,1
1396,11
1968,12
1616,12
226,4
1283,7
1629,1
981,2
1276,7
679,6
354,11
1835,1
1866,8
1072,0
1232,10
448,4
1598,6
680,6
251,1
1498,4
1912,6
886,1
727,2
778,3
1700,1
1742,4
524,7
1978,12
302,2
955,12
1962,1
1737,4
1002,11
1267,7
1606,6
1936,3
1230,10
59,9
590,12
526,7
1559,1
1590,6
1342,4
351,11
799,3
643,0
1372,4
221,6
674,6
480,6
858,4
31,1
1717,6
1530,6
1079,0
192,0
2,1
1132,4
1222,4
677,6
715,2
1144,0
496,7
1289,5
583,4
1311,0
1154,5
1568,1
1506,6
814,11
1592,6
276,9
1769,2
627,1
239,1
300,2
464,4
1541,6
35,1
1796,9
136,4
475,6
1697,1
1139,4
1578,0
817,11
330,0
1783,9
1344,4
783,3
1387,11
525,7
326,0
506,7
186,1
1210,4
1400,11
1004,11
1063,4
217,6
427,4
676,6
1268,7
934,12
1460,9
1367,5
1784,9
782,3
339,11
1752,2
442,4
1438,8
1300,8
331,0
519,7
1128,4
1297,5
1641,1
338,11
1448,8
153,8
882,1
383,1
714,2
1635,1
264,9
130,7
1836,1
1625,12
580,4
29,1
355,11
128,7
82,9
750,10
878,6
46,1
797,3
1509,6
1935,3
1620,1
210,6
1346,4
684,6
754,10
57,9
1746,4
859,6
1161,5
1149,4
63,9
228,6
801,3
602,9
842,0
481,6
591,0
1947,3
1123,5
1124,5
773,3
1042,7
1019,7
631,1
914,2
789,3
259,1
1650,1
134,7
597,6
1548,6
1604,6
1118,5
1444,8
1352,4
1378,11
1618,1
1112,5
547,8
441,5
865,6
1839,1
1575,1
1877,8
748,10
438,6
1684,1
1511,4
1049,4
250,1
1078,0
402,8
1234,10
1445,8
1597,6
224,6
1814,8
407,8
767,3
1465,4
1679,1
1169,5
1085,0
1331,4
514,7
751,10
1347,4
950,12
762,3
99,9
1927,6
893,1
1223,4
539,8
1523,6
862,4
1434,8
759,10
102,8
1524,6
1302,5
1008,0
537,5
1012,11
392,6
1937,3
640,0
1171,5
1150,5
1791,9
967,5
1052,4
1194,1
1066,4
733,2
1187,4
688,6
1776,2
1414,4
642,0
795,0
765,3
533,8
318,0
1689,1
731,2
190,0
1322,0
576,4
81,9
552,8
1211,4
385,1
1922,6
103,8
1718,6
567,4
594,12
1889,1
220,6
1655,7
406,4
1699,1
1809,6
1899,1
1507,4
1529,3
1428,4
1537,6
1280,7
1380,11
21,1
1147,4
1716,6
1557,1
