doc_idx,category
2175,4
505,3
503,5
221,3
2774,4
2538,7
1991,2
1083,2
62,2
1871,4
1020,4
1749,6
854,5
2717,7
1710,7
2466,1
2172,6
2617,4
1578,0
778,5
846,4
1462,4
1638,1
845,2
2852,7
362,6
1049,6
637,4
1097,6
324,6
2738,6
2066,5
2047,1
27,3
1549,3
1422,2
2320,5
2636,2
874,6
1909,7
2282,2
1264,3
264,5
793,0
427,4
388,1
2996,1
2122,7
1928,4
2327,7
2318,0
1510,2
755,0
1736,3
994,6
336,0
1718,7
1140,4
549,6
1741,7
2779,1
1800,2
23,1
161,7
1770,7
2522,3
1504,5
2276,1
7,0
1025,3
2386,3
1210,0
1570,6
1766,5
1602,1
2176,2
975,5
1107,5
1980,4
394,6
1496,2
1466,7
1917,5
2606,3
1374,2
872,1
1920,5
1925,5
1888,3
2924,2
366,4
1305,4
1730,1
1573,6
2482,6
2601,4
1216,2
2503,2
1557,5
1723,1
1382,2
869,5
2334,2
2105,3
900,3
768,1
1819,6
556,1
2958,3
1735,6
2417,1
2058,3
1585,6
1474,7
196,7
330,0
1852,6
21,7
2057,1
1355,4
855,2
1390,6
2650,0
787,1
2770,1
211,7
1907,0
2887,4
1893,5
1727,1
898,0
974,0
1251,1
2728,5
1214,5
1702,5
2035,4
2715,2
2313,6
406,2
1785,3
627,6
2594,6
2933,3
230,4
2099,7
2832,6
1008,4
1765,3
2106,4
1962,3
1797,6
688,2
533,7
2485,6
1018,0
226,2
36,2
1489,3
1774,7
207,2
2675,2
656,1
50,1
24,3
1335,6
1377,4
1778,1
921,4
1951,2
2537,5
1969,4
2389,6
2959,1
537,5
2979,4
1533,6
850,7
1445,6
2701,6
1244,0
2153,3
2705,4
1889,4
370,1
117,2
2125,1
2834,5
1357,4
842,1
1330,3
2655,2
2191,5
2608,4
2416,1
1515,7
1492,2
2438,4
44,5
3001,0
1809,5
31,0
449,6
351,6
15,1
237,1
2541,2
69,0
2689,4
2854,6
2664,4
1959,1
2307,4
2366,6
2683,3
642,5
1746,4
2354,3
2014,4
2718,5
2300,3
1906,7
2490,4
421,2
224,4
2568,0
1131,4
1116,2
681,2
546,4
1005,1
194,2
804,4
2015,5
766,7
2908,5
135,4
617,4
1806,2
1467,3
1981,4
2074,7
1832,4
2729,6
2876,4
1409,4
136,1
2013,6
1698,5
418,2
675,4
2766,6
2558,6
2097,2
1791,6
1392,6
369,3
218,4
840,1
2990,1
2350,5
304,4
129,2
2229,3
594,3
57,2
2805,4
1175,7
1387,3
2273,7
1454,2
839,4
2232,2
323,5
228,4
165,1
2752,5
924,2
1728,2
2304,3
3000,7
310,4
527,5
1151,6
1804,7
2584,2
2029,4
83,2
1859,2
2352,1
1237,4
2803,6
2810,3
1625,6
875,5
1434,2
1696,0
815,2
1731,3
252,5
2118,7
1152,4
506,2
2217,3
1586,3
1255,3
2932,6
2748,7
37,3
192,3
295,3
287,1
1856,0
2018,2
1604,6
2495,6
2199,4
882,3
2872,4
2069,3
905,4
4,3
1194,7
2878,4
2786,5
1470,6
691,6
2224,5
1838,2
431,0
2104,7
2845,6
1659,4
811,4
2196,0
2533,1
2258,1
2743,3
283,6
127,5
630,2
2972,6
1273,5
2949,5
1071,4
515,2
481,2
2923,7
2662,2
67,2
2572,2
1927,1
2067,4
475,7
2220,4
572,5
1949,5
175,1
1380,0
954,3
890,3
1364,6
1275,1
619,4
536,0
1976,7
2252,7
1429,4
1527,6
1420,6
1601,1
1593,0
2991,5
2742,3
823,3
964,6
2305,6
2192,4
730,6
1484,6
217,0
491,2
659,7
2751,3
1561,7
1882,1
2249,3
2692,0
1345,7
2424,5
1613,5
1617,6
2440,2
2806,2
3007,5
1238,5
1361,4
639,0
2391,2
1990,2
1979,1
2746,5
2396,6
2920,4
1848,6
222,6
1624,6
1310,5
2633,7
1679,3
1782,7
1034,5
1608,7
1402,3
1170,0
1156,5
2681,3
483,2
1666,2
687,2
318,5
2447,3
2575,5
1669,5
1366,3
535,1
599,2
2321,6
1569,7
1954,1
547,4
1358,2
2585,3
1263,5
498,4
398,2
2034,1
887,7
1896,2
2963,3
2111,1
2586,6
1494,1
987,6
2929,4
2578,3
940,7
780,2
2773,1
595,7
172,4
877,4
1808,7
989,4
2698,7
1646,1
465,6
2357,5
2,2
1811,2
1987,3
868,7
2171,4
353,3
2804,7
858,7
1157,4
1544,3
464,6
2025,2
167,6
2453,1
672,4
1588,7
2822,5
1362,5
1201,7
2383,5
2960,7
2358,4
2359,6
1559,7
2868,2
1319,2
1685,7
698,1
788,2
1341,7
1085,6
2079,0
1967,7
517,2
773,3
43,1
1442,6
1921,2
1160,6
1863,5
2291,6
810,6
1945,6
14,6
814,7
2225,4
2187,2
2059,4
1472,6
977,6
1523,4
2257,1
1495,5
2651,5
152,3
1342,4
929,4
529,2
1989,4
971,6
263,3
2559,3
282,1
739,1
1974,2
277,0
1964,5
1135,1
666,3
750,5
482,1
2926,2
828,6
2337,2
1924,0
1189,7
794,2
685,4
2759,2
525,5
377,6
1517,4
1221,7
279,2
180,2
2420,2
1068,6
1197,6
2473,2
1405,2
186,7
1431,2
220,2
1536,5
2368,4
2487,1
46,0
1250,5
1916,7
98,0
1331,2
259,5
2326,3
134,3
821,3
