doc_idx,category
1736,0
1657,9
778,11
2149,18
1020,13
427,29
2685,25
517,0
2060,13
974,20
2903,18
1369,6
2409,34
639,18
1585,25
1364,5
1893,9
845,5
1862,0
1373,5
406,18
2452,25
2094,5
465,10
2922,15
967,25
2413,17
1721,0
2069,10
2210,4
2592,10
535,18
211,1
1686,18
21,7
2299,14
2279,0
839,21
230,13
975,19
221,29
2569,29
627,29
2482,20
2004,28
7,25
630,0
1523,14
946,19
836,20
324,9
1033,2
2168,27
370,15
2681,30
1791,28
2514,6
2812,27
688,15
2453,7
1408,19
625,13
766,6
2695,0
893,6
62,10
1819,13
1785,14
2646,7
1551,3
1991,6
310,47
1999,3
2641,15
2608,10
2223,50
1263,14
1176,27
1053,27
23,7
2575,5
1140,0
1341,4
1507,0
1906,19
226,30
1653,19
2116,9
1905,5
224,29
1137,2
1448,29
2534,5
1691,10
1374,6
36,19
1480,29
2730,9
890,5
537,19
2416,5
1097,18
794,13
1042,3
2097,3
1270,27
2552,19
842,6
2612,0
525,21
2457,25
27,15
1539,4
388,40
780,13
503,3
1683,4
2146,4
1757,10
2978,28
2655,13
207,14
1717,17
2560,4
2996,21
1806,14
657,26
1712,21
841,13
2381,19
237,0
672,0
850,9
2216,15
1946,5
2991,18
1971,0
1466,17
1875,50
366,2
763,9
2378,28
1219,3
330,29
2693,3
483,0
852,17
2806,6
2305,29
196,25
2204,15
2274,10
1495,10
2393,17
2068,41
1057,10
1420,29
369,43
161,17
1168,4
362,20
117,20
875,17
628,17
464,4
1907,6
2728,6
1613,28
2238,18
1980,29
264,19
1016,29
1958,0
1698,11
44,2
2067,18
1160,0
31,18
1863,4
2241,10
15,29
2153,7
1666,14
69,6
2680,0
2734,0
2118,0
1945,2
304,0
2014,28
2926,20
2691,13
1735,27
1288,4
2180,0
2115,6
2607,0
1257,6
828,4
50,0
24,10
2845,19
533,15
698,2
1002,10
1796,3
2666,7
1410,19
1437,4
394,7
2914,3
1685,14
2031,4
840,11
2117,27
1594,14
546,29
1892,18
351,28
1297,13
2652,7
681,28
1151,0
2191,13
481,20
1445,7
194,5
2487,20
2113,20
1264,18
1949,14
135,14
2175,0
739,0
536,17
872,3
1974,4
2071,11
874,5
1782,18
136,28
2263,28
2756,0
1332,3
2969,13
859,27
418,21
323,17
2594,21
2240,28
2108,0
2733,29
218,34
2706,7
761,10
1583,0
1397,0
129,29
1730,3
1251,5
83,4
1702,13
515,29
2086,5
1786,15
2531,3
2321,14
2761,25
2001,3
527,26
1382,27
1310,7
252,20
1667,2
549,24
1172,19
2700,21
2276,0
1859,27
2739,3
1903,6
1937,18
67,19
1816,0
2511,19
1914,18
2385,27
1220,0
2755,9
1784,6
175,7
449,18
2083,13
498,13
421,2
1244,0
336,7
855,21
1544,20
764,7
1780,28
788,19
2886,0
2885,7
2647,6
547,7
2224,29
1766,19
228,7
165,27
1954,20
1119,5
617,29
1527,4
989,10
846,20
1222,6
2639,20
2064,4
2418,28
37,9
192,19
295,15
287,21
687,14
1431,18
1967,2
2585,19
1407,17
1776,0
2324,13
2619,18
976,19
4,13
2109,10
2868,27
2777,18
2063,34
2181,28
2035,15
1825,20
1221,0
2953,26
2465,21
1648,28
1963,0
1624,15
2402,5
1546,29
2948,34
283,3
127,0
2111,29
2836,14
1055,27
619,28
2312,9
2631,18
1509,41
572,8
1506,4
2810,9
2432,17
594,21
2857,13
1131,0
813,9
1510,17
2473,19
1964,18
505,6
1475,19
217,5
2167,5
1638,39
475,10
2114,25
1354,2
2190,2
1753,3
1801,14
1434,0
675,28
1200,4
2368,13
2915,5
2374,2
1250,29
2339,14
2542,13
2383,17
1976,29
1596,20
2797,17
2388,15
2673,2
2692,15
222,27
1953,5
2127,10
2495,9
2842,29
2778,23
1027,20
595,7
2002,0
2987,29
2439,10
1770,13
2696,0
431,12
1543,50
318,19
2099,13
2566,18
2319,28
1358,18
2949,21
2179,18
1049,28
1535,2
2466,4
685,3
1462,18
2945,38
2989,10
2683,30
398,17
1330,6
656,3
902,5
1763,3
2787,14
1981,18
677,15
977,18
2919,13
556,15
2066,5
773,0
2862,15
167,2
2604,18
1639,9
1578,3
1068,6
491,6
1194,14
742,25
2147,0
2350,27
2908,6
789,24
2709,5
2595,28
1674,27
691,2
748,5
1542,0
1206,0
972,13
1559,3
172,28
2358,19
1992,6
2763,22
1911,14
2986,25
2962,15
814,3
2,20
2469,14
2764,21
858,9
2163,21
353,19
1474,13
1298,15
599,29
2999,27
2205,27
2295,20
666,25
2551,0
1938,0
823,2
2091,15
887,10
787,7
1778,25
1884,17
1034,4
2342,9
377,17
2883,18
1869,0
14,18
804,29
586,13
2207,5
2935,5
1679,3
506,9
954,29
43,15
2865,21
1632,6
1153,6
815,14
1090,0
2130,4
282,0
994,25
1746,14
277,25
1950,13
1128,13
659,2
1025,14
482,6
2818,9
2788,0
1916,13
924,1
2249,3
1818,27
2642,0
152,29
1335,13
700,3
529,10
1345,0
2750,17
263,21
768,15
2403,10
300,21
8,20
1652,3
1342,9
2448,21
458,18
251,28
921,0
2053,10
1273,27
1300,29
2613,4
1515,0
2361,9
2076,3
2072,19
1390,29
2265,2
1959,0
1882,13
134,0
971,10
68,4
38,28
1388,3
955,14
186,20
1225,7
220,15
1754,28
730,4
2597,10
46,13
2971,6
1902,32
98,21
1426,9
259,4
2524,32
2267,23
2359,25
1477,29
1787,4
900,39
2039,2
484,18
102,7
153,3
2936,14
2927,10
520,28
2759,18
2786,18
2029,13
2459,25
877,14
1793,6
1810,29
1463,14
2892,3
807,27
2854,20
854,13
642,13
1765,27
407,27
2062,29
1797,9
1965,13
2506,5
2645,32
2902,9
1561,15
2245,6
502,3
964,7
1419,29
1650,0
341,14
1214,6
279,17
180,15
793,19
2856,14
2398,0
2268,30
2891,14
1286,17
2635,0
2040,14
2394,15
1217,3
298,14
1783,21
331,27
755,10
637,15
2711,11
2911,0
2335,13
1742,17
2410,6
2307,15
2517,6
1258,20
2957,25
480,28
1994,3
2672,4
810,0
1142,18
1165,29
2530,3
567,21
2454,39
1839,27
2430,13
1614,14
60,29
2085,15
821,0
565,4
834,0
1481,6
2220,4
2308,0
1924,13
61,27
1504,11
542,28
750,2
1237,27
1977,0
1105,10
1898,14
1617,15
2901,14
367,28
334,2
2107,7
199,4
2213,26
2813,20
2251,2
876,9
438,46
1611,0
2262,25
1496,20
1457,18
1189,19
2291,19
1764,18
943,21
869,3
929,13
1005,6
299,6
1202,14
496,6
1319,4
1421,14
2723,0
1454,20
669,27
2643,21
2282,19
564,11
2866,19
1004,28
1035,10
1236,0
1870,2
2559,21
587,0
2015,15
1468,27
1377,27
253,3
1245,5
2186,18
1261,15
576,21
2650,15
557,7
868,18
705,0
2873,0
1703,9
1895,2
49,0
2363,4
147,28
561,19
2974,7
633,18
142,3
1557,15
1526,0
714,3
1795,15
733,10
2218,10
2028,21
2795,6
138,13
2132,0
2408,15
2983,28
1823,0
2233,29
1275,1
1646,3
261,14
99,19
2141,6
2543,10
751,9
1018,19
950,25
514,15
150,0
2516,15
1664,4
889,0
1396,17
97,2
898,19
2246,28
1318,34
2133,15
811,15
329,15
1116,15
2194,20
948,5
1696,3
1921,15
2744,18
559,15
1739,29
2508,15
1072,27
1744,2
2984,28
609,3
1545,9
1727,19
1026,20
103,17
1531,22
436,9
2577,19
416,43
1255,27
1731,14
246,4
2489,28
797,0
942,6
2775,25
2843,6
459,0
1920,42
292,2
1807,14
2325,25
100,13
1925,14
1076,13
2701,0
433,13
940,19
1387,20
2188,3
1355,19
1706,29
2657,2
2297,11
1228,21
2380,0
1852,13
1537,2
2794,14
59,4
2106,13
1028,0
1085,5
653,4
2048,5
1588,20
2038,9
1636,21
1769,20
1459,10
2023,7
128,27
2745,3
2155,9
1900,21
631,4
1083,29
2887,4
1932,21
2389,46
1170,4
1321,28
2921,21
2545,7
1267,6
2582,14
1201,13
1357,4
1709,14
2859,17
1669,18
2606,29
1641,5
882,6
775,9
2825,28
2490,3
354,7
2910,27
1465,6
2475,25
145,29
1533,21
1173,2
1380,6
1152,14
1157,0
2214,9
2765,10
2283,4
2653,0
1940,0
2165,19
676,11
453,32
2798,28
402,0
1210,4
1489,19
2272,0
2791,32
191,21
2152,25
2019,2
1750,21
2875,10
1659,9
2313,9
1017,39
2550,29
1574,13
667,0
781,15
26,17
219,27
1197,2
1891,20
2529,3
1966,2
2586,5
640,0
174,3
1549,27
1874,26
1443,0
509,18
2037,3
697,40
1156,7
1472,17
1728,21
1409,10
1566,0
1449,27
1926,10
987,16
531,25
1107,4
2674,28
1304,14
1312,14
1913,0
905,29
1562,27
203,7
2973,21
2697,9
1177,29
2679,7
187,10
1442,18
2632,40
1804,5
42,0
2243,15
2237,4
2134,10
2699,22
2742,29
1979,19
1917,19
1604,27
1320,18
1405,9
1619,13
1095,28
719,27
1099,10
1366,19
1759,18
2779,29
809,6
1467,0
1573,2
28,7
1456,19
1600,0
2803,2
2624,6
1723,9
1395,10
2221,5
73,27
1595,21
1313,23
1008,9
2367,29
2731,13
446,28
392,14
798,20
1378,29
2100,20
1242,20
2587,21
1885,23
302,25
2357,23
528,11
2278,27
1671,18
1887,10
130,17
400,25
608,4
441,0
2455,3
727,0
1767,2
899,7
2773,20
944,23
2675,14
1844,21
1961,29
2752,21
1216,21
2783,27
229,0
