doc_idx,category
2381,7
1404,8
380,2
2163,11
2880,11
1026,18
1512,4
2104,2
161,12
776,6
221,2
2426,2
1731,8
2045,2
1940,1
2303,8
1037,1
631,13
1337,5
543,9
478,11
311,0
2428,10
2748,2
2214,1
1923,3
960,12
1357,7
295,8
814,2
1818,4
277,8
1856,13
133,7
620,10
1286,12
1835,3
1225,8
2940,4
2248,11
1059,1
2782,5
1112,13
809,4
1961,3
197,4
1107,5
186,12
1045,4
1666,10
1544,2
2489,2
2801,4
1423,9
2844,8
2094,9
2362,4
211,12
392,9
1863,1
898,12
1074,4
2351,7
2547,2
1051,8
2490,7
1743,10
120,8
2802,4
2674,3
2000,5
210,0
1384,9
1366,8
952,12
1619,2
93,1
2217,8
246,2
2208,8
815,9
1077,17
2230,13
379,5
520,11
1207,11
612,8
466,5
289,13
1787,3
2824,12
171,4
1909,12
529,10
2797,6
2760,7
503,1
897,5
2611,8
2449,13
701,3
454,9
2574,8
2909,12
1129,2
2079,4
2438,7
160,4
2355,7
902,10
1171,12
24,8
1861,5
2125,13
2001,2
2623,1
473,1
2976,0
470,12
1414,1
20,1
1272,3
1694,8
2521,12
2273,12
480,2
2768,12
2378,5
1328,8
2999,11
167,3
1720,2
2541,10
1745,9
249,9
2119,13
2435,12
1415,7
1617,4
1603,9
1785,8
1146,9
2404,13
1466,12
1424,5
1018,13
1709,6
950,12
439,9
2402,3
1212,2
1273,5
1915,12
727,11
966,10
1149,9
2030,9
807,12
109,1
442,12
682,9
705,9
1320,3
441,11
2257,9
1802,12
2475,8
3004,12
885,7
97,9
637,7
2176,9
184,11
122,2
992,11
2789,5
254,9
1979,9
2804,12
1997,9
2410,10
1870,8
113,8
1309,2
2040,5
540,8
833,12
1103,6
378,9
377,3
1969,11
2462,9
1976,12
80,4
2158,17
2663,8
2898,5
984,3
2417,13
11,7
1313,4
2658,0
1579,11
2067,7
1550,9
2414,13
598,13
191,2
2076,11
775,1
1094,8
1211,3
2966,2
481,9
416,2
831,8
1447,4
2458,8
72,11
1669,1
2078,9
1192,18
1616,13
1912,13
39,4
591,9
2026,4
1019,7
386,1
2822,5
1726,13
1434,9
1021,2
2166,3
2960,6
2562,1
100,17
2287,12
2718,18
1513,2
777,1
1660,3
713,2
856,13
2572,9
2126,12
418,10
1435,4
433,10
1081,9
1083,9
1841,13
1158,9
975,5
2905,8
321,2
2486,5
2702,6
867,10
1033,3
1978,17
2470,2
2778,7
1838,9
876,11
1218,8
2754,2
53,11
551,11
2993,2
647,10
2596,13
2501,12
1425,17
2061,5
1048,1
2110,4
1817,13
2757,11
2613,5
1459,9
2990,9
1803,12
193,11
641,11
791,2
2472,1
2893,2
1270,3
1306,5
2784,9
1381,12
1468,8
2992,0
431,2
2539,2
2695,4
1266,8
1947,10
1294,9
356,0
1629,5
2265,11
1265,10
61,4
1165,12
2314,3
1373,7
626,13
926,0
1490,2
802,9
681,9
937,2
2181,9
2068,2
1181,9
842,9
3009,11
732,8
2962,7
2769,6
1454,9
2117,7
2086,5
2315,9
1930,10
19,9
185,9
2498,2
1244,12
965,2
1039,2
1809,1
1332,12
538,4
944,17
2779,13
90,10
2447,2
1410,10
1362,5
834,3
563,9
78,13
804,7
2168,0
2302,5
1897,10
1665,2
1113,2
2829,12
2666,9
1043,10
2319,1
710,10
570,10
936,2
2920,7
567,12
9,4
1782,2
1255,8
2745,4
376,7
2157,3
2939,12
2038,9
52,13
1494,13
494,4
1959,13
1336,13
1695,13
2981,12
694,3
234,10
1175,2
1829,11
1359,4
1517,7
2288,2
10,11
2868,10
2346,3
2461,9
2457,9
164,9
1539,2
1257,11
1068,3
2998,11
2019,2
927,4
1605,13
850,12
445,10
2713,9
578,13
1894,7
862,1
893,5
476,9
188,8
2827,1
1612,5
863,5
332,10
1382,10
1331,10
435,11
2538,2
1587,5
734,5
1717,7
1576,13
2929,0
1317,3
1710,2
1988,4
1934,2
1973,2
987,3
2305,3
3008,11
642,1
2175,11
768,9
2988,2
2136,9
489,10
645,8
1763,11
656,13
2281,11
2587,5
123,4
2282,9
1172,13
1216,10
554,9
782,10
368,10
1674,5
1808,12
2931,9
2710,9
236,4
323,5
1161,8
2916,9
1421,5
1448,5
1120,3
402,12
1637,2
1222,2
1014,13
2535,5
854,4
1806,9
162,8
2569,8
801,1
1514,12
515,9
826,9
1224,13
698,13
2366,4
255,12
294,2
1461,5
67,10
1476,5
1868,9
58,2
846,11
977,4
560,9
672,11
836,10
128,8
1163,11
278,2
2154,12
1220,13
1836,2
794,9
805,4
209,12
1008,11
1849,9
2689,0
2638,4
2321,3
1202,3
1388,2
239,7
640,5
328,9
261,8
2174,10
283,3
2191,5
2353,12
2100,7
1826,9
437,9
1531,8
1041,9
2320,1
79,10
502,13
721,4
91,11
114,8
735,17
1592,3
2039,7
1025,8
2885,6
2850,1
2247,2
2656,12
1823,3
1993,8
2118,2
238,8
658,12
499,11
43,9
405,3
1391,7
248,5
995,12
66,13
2206,3
1572,2
62,9
644,11
519,7
2051,2
2673,9
2846,10
2588,12
1733,2
1354,3
546,7
2133,4
2997,2
1131,11
1394,11
68,3
1632,11
1651,10
178,3
1090,4
2583,9
1073,9
611,9
2339,12
1701,8
1864,7
629,7
1524,11
743,2
2451,2
3,2
2764,1
1283,3
1470,3
2954,9
2585,8
1097,4
654,5
941,0
1871,7
2956,2
2708,6
1190,9
730,3
2733,9
2691,10
2700,7
860,9
1239,12
1002,9
1770,2
667,13
263,2
660,13
838,11
949,8
2711,10
414,9
2169,12
1647,3
2294,1
2285,7
1198,2
2914,5
2744,2
388,13
2799,2
2107,5
2836,5
358,7
2871,3
1432,9
872,13
954,2
463,5
1436,8
835,11
2298,4
2225,7
147,9
280,9
195,3
769,13
1085,4
1137,3
42,9
2380,12
881,1
2171,11
1195,9
940,6
2907,2
465,3
2252,12
207,10
2102,18
233,9
516,8
2277,8
2156,12
653,9
1385,11
1071,7
2261,12
2442,2
2630,2
364,9
213,9
1032,1
989,11
2326,2
1044,12
739,13
2626,9
1142,1
1821,4
1226,3
1663,4
2002,5
1430,3
1577,9
1397,2
2405,11
2899,8
618,3
1624,4
464,4
2289,4
733,1
951,13
2242,8
44,5
2750,4
1778,9
2967,13
2280,7
2192,11
