doc_idx,category
4243,1
2518,0
4067,23
126,24
2454,6
1615,4
3859,23
881,11
1792,1
179,16
759,2
2720,9
163,10
392,3
4000,19
328,18
2320,1
3649,15
4073,1
478,20
3836,6
2955,3
3001,6
3266,1
1681,4
2889,6
1501,9
2287,2
2430,1
3410,24
1594,25
3620,6
1319,3
465,23
3152,25
3963,24
298,1
181,1
4104,18
1889,7
1569,16
1475,1
365,9
212,25
2810,16
2040,10
4415,17
1862,10
668,2
2479,1
4289,18
1309,25
1680,20
4402,14
2739,20
1208,25
389,1
4393,1
1915,13
966,25
3672,17
4211,2
1050,1
2520,8
2566,18
947,19
4209,20
4278,2
2306,17
3044,10
1169,15
2693,13
1869,18
2989,22
3734,24
615,25
2724,0
4044,2
2568,15
1388,1
612,2
3324,2
1367,24
3879,2
2042,13
1677,7
1548,16
3175,6
2421,0
332,2
150,20
2764,10
3722,2
655,4
1879,1
3475,18
3896,20
180,3
3082,6
4406,21
3033,23
4476,18
2426,2
828,1
680,8
3841,3
2025,3
495,9
1005,9
1793,2
1574,25
2622,1
2166,1
2774,12
4360,1
1418,10
551,6
2579,20
1583,10
1844,8
1080,18
2340,18
1049,8
120,23
2456,17
2124,3
1967,24
4205,2
1686,1
3269,16
1553,25
3807,3
3878,7
1995,15
2175,7
1627,11
240,5
4260,24
4438,2
1973,2
2682,5
3663,24
4066,2
261,18
1334,7
4191,18
3893,11
4039,18
2384,13
4128,12
541,17
2826,1
3512,9
4176,11
710,1
870,2
2497,10
3394,18
3903,2
3540,2
572,6
375,1
2630,17
3119,6
2181,20
1426,3
2137,2
2441,9
2381,1
63,7
3674,1
3064,3
2748,3
3262,10
691,18
2162,24
3160,0
4030,3
3014,9
907,18
3727,9
1691,3
2727,7
2598,1
4283,4
2561,3
3147,14
854,8
2378,9
3586,1
2483,9
1029,10
2435,8
2760,1
1282,2
3767,2
3306,1
3499,8
577,1
3327,3
1310,4
1831,18
1397,14
3279,10
3985,4
2983,2
3919,23
961,20
1272,10
3570,10
3945,11
2101,5
2276,3
1435,16
190,1
664,4
1758,2
4444,1
87,2
1949,14
3364,7
3391,5
1808,11
1795,11
2104,5
720,18
359,6
848,9
1358,1
2531,5
2744,11
538,24
1247,11
4470,11
2554,6
4343,11
201,2
200,1
4149,11
2204,3
2995,1
1571,3
3606,4
3109,1
2369,3
3356,13
531,3
2898,10
1598,10
1246,5
3810,1
2327,9
3505,17
2266,10
1248,19
4161,17
1167,1
1896,1
926,2
1278,1
2902,5
3073,20
2913,1
3736,1
711,19
4185,12
2154,3
4391,18
4290,20
347,23
17,18
2627,19
3077,5
4010,3
2006,21
1197,8
4141,1
1666,8
3297,13
2837,1
3832,1
4249,1
4093,4
2352,2
2107,8
4182,3
3524,13
276,11
3824,3
3678,8
2901,3
3476,1
1172,5
2425,8
2806,18
2816,7
1402,1
1180,23
3083,11
1200,10
2310,10
2732,1
4214,12
3525,4
3132,12
4071,11
2882,17
50,1
3018,14
3497,1
706,13
925,11
2651,18
2273,8
124,3
955,1
2924,11
2649,17
3597,1
4344,2
2268,1
1377,3
64,4
2080,20
499,5
2550,13
740,6
799,14
867,1
356,1
2280,7
4017,3
2375,6
4099,12
3177,7
1687,1
2478,10
3929,11
3799,19
4404,6
4461,7
106,1
4341,1
3067,18
2288,14
4203,1
2076,2
1476,17
404,11
752,1
514,5
1075,3
437,9
