doc_idx,category
3718,13
1171,0
597,9
163,15
3939,0
1013,13
1676,14
2495,7
331,7
3580,5
1532,9
4008,8
4279,16
2617,13
2822,0
1433,0
3394,12
3221,7
615,1
1715,7
813,0
884,7
3325,4
3874,12
2739,15
124,7
4219,4
2206,15
3695,14
1459,5
1807,13
3599,8
732,12
784,16
3854,14
3829,5
1848,14
1764,12
926,16
2942,5
3640,1
850,5
570,13
3950,13
547,12
2684,8
3484,9
514,3
2516,4
3298,16
179,15
1873,1
1388,14
3587,6
1569,7
2769,12
3622,16
304,12
2315,9
1583,6
1530,13
2053,17
4271,3
4258,3
1050,3
2024,12
3526,9
594,17
3945,2
4312,8
523,12
3687,15
3108,2
2139,5
541,12
2444,17
3836,13
3282,8
2974,8
328,16
1589,12
3594,6
2993,12
3065,3
1699,1
4043,1
190,5
4382,0
1995,6
200,8
919,16
691,8
4245,14
844,9
828,2
4167,8
3645,14
150,0
2667,0
2522,15
1659,14
1429,17
1937,9
1504,3
2542,12
2009,13
2438,6
2715,0
531,8
2040,14
3436,8
3702,3
2514,8
569,8
404,2
3621,16
2726,9
3228,5
3113,8
63,12
4295,0
2352,9
2483,5
3734,13
2733,15
1261,16
2421,9
1282,15
2413,0
644,3
710,12
1994,0
332,0
854,7
1241,7
126,12
4150,6
3752,16
3124,2
3344,9
3708,8
1394,7
3971,7
955,7
4376,9
4112,8
4019,5
1154,0
3421,2
3830,14
3117,2
3563,15
402,6
1789,17
2386,13
3367,14
2182,16
50,15
1927,16
551,16
4330,1
1174,16
2965,15
2568,14
181,7
4124,5
2570,0
2280,8
4170,5
1034,12
3664,16
455,5
853,1
885,5
201,11
212,7
1045,7
2323,0
792,4
2709,1
3985,5
4083,15
2292,14
1673,2
2015,9
240,1
1418,13
4224,16
499,8
3464,15
1869,7
3909,3
2180,14
1549,12
626,12
359,14
1508,16
261,16
3730,2
2593,8
17,9
538,12
4216,0
85,7
3304,4
3481,0
907,6
2174,5
1691,7
4058,0
1572,9
2659,1
1675,15
1641,1
1401,8
2486,0
3077,9
2034,5
106,0
574,16
291,17
4182,0
3364,5
2511,14
4302,15
4320,16
3064,7
389,15
3285,1
2830,4
3176,17
2867,8
2088,3
1972,4
3293,3
1809,14
51,16
157,0
8,8
36,7
489,0
1167,6
2390,16
392,15
1792,4
3703,6
3402,0
1302,2
585,12
4243,6
2873,2
2147,16
483,1
2874,3
1662,15
3063,2
3240,16
3721,7
3055,5
3374,8
2442,7
1232,8
2221,13
3462,1
298,10
3711,13
666,5
1855,6
2237,6
3567,15
4365,5
