doc_idx,category
2906,1
3744,12
1671,1
2156,3
807,3
1358,1
2694,2
934,5
1090,3
302,2
1673,0
907,2
2442,2
273,3
803,6
1659,4
1932,1
2319,7
1411,1
1542,2
2975,2
2181,2
2934,3
597,10
947,2
245,1
214,3
319,11
2256,1
3044,1
1312,8
1290,5
3661,2
1922,3
2207,3
2628,17
1113,2
2432,2
1377,1
1606,6
2753,1
3099,2
673,3
1244,17
2961,1
35,2
1905,3
2050,2
2162,2
3456,3
2440,6
3409,8
3607,3
916,3
2076,2
1071,1
730,2
2221,14
3600,15
382,3
1412,3
755,6
3725,12
875,11
3421,17
3432,6
1802,3
2693,3
1360,1
2413,2
1648,3
443,15
3754,6
1691,2
1681,3
1632,6
2614,3
3093,5
2891,4
3743,1
365,1
1526,15
1555,1
1423,3
666,3
848,1
1475,8
2159,2
3504,2
1570,2
1936,5
3188,3
2230,3
1733,2
98,3
775,1
285,17
3199,8
1756,1
465,3
1630,2
2738,12
2521,3
383,1
1033,1
634,3
632,4
244,4
2278,3
3423,2
283,1
1022,3
3014,1
3035,3
2349,5
3407,3
104,3
2088,5
3535,3
1426,2
3648,1
3492,3
0,2
252,1
1968,6
44,2
1175,3
1295,2
81,3
2161,10
663,1
19,1
562,3
3280,2
55,3
1499,3
1156,3
1528,0
1876,4
2729,3
1598,8
2095,3
2835,3
1579,2
130,3
2219,2
3401,5
1594,2
2029,3
111,0
3166,5
1252,3
1713,3
1882,11
407,3
2917,7
2309,1
521,3
1865,8
2646,2
3026,4
1052,5
2016,12
756,3
2791,2
2086,2
1912,3
86,2
2245,2
387,3
2708,2
3259,2
1235,11
2848,2
437,1
2724,11
2070,3
1092,3
2078,11
3107,12
1502,3
3174,2
1599,3
3137,5
3514,5
2042,3
2054,2
3499,5
2340,5
2211,2
186,3
2077,1
3655,3
3685,3
2353,2
1871,4
2081,2
733,12
770,5
2915,8
1319,2
1688,1
3602,1
989,3
2367,3
3621,6
3073,3
393,2
1586,3
100,3
3286,0
3553,4
2833,3
412,10
2351,3
1965,5
67,2
1559,12
3641,3
744,10
3417,4
2777,4
750,5
2584,5
805,3
2616,2
112,3
680,10
2487,3
702,3
262,2
362,2
1938,10
462,3
347,11
1315,2
1491,3
1923,12
127,4
2085,1
3686,6
333,11
132,3
2990,2
3624,5
852,2
1473,3
773,8
532,3
1883,2
568,3
2220,2
2998,1
887,3
767,2
1087,10
1375,14
1447,5
3536,3
1953,3
2112,3
3054,2
619,2
2955,3
2003,7
2570,1
3467,2
2866,1
1350,8
2013,2
955,2
3773,12
3782,4
1581,1
291,1
1222,2
877,3
1302,1
1249,8
3416,11
496,3
2118,3
2654,3
2235,3
2981,3
2380,3
3410,12
584,11
457,1
1943,3
2386,2
1338,4
2251,3
3396,2
2025,3
1508,3
1480,2
1067,12
2916,11
3751,2
63,11
293,8
1006,1
2747,2
953,5
3134,4
1703,3
2653,7
3598,14
3360,4
3778,4
2532,2
3366,3
2270,3
512,3
3699,5
415,12
3278,3
1944,3
642,4
1325,1
2175,2
2966,2
3332,1
1503,8
3507,10
627,3
2566,16
466,3
974,3
449,3
3098,5
3232,2
1324,5
442,3
3738,11
2269,4
3786,3
184,3
918,3
1437,2
2559,3
1735,10
3291,3
1132,3
1219,3
2044,3
1806,3
1551,3
2382,1
1989,3
520,13
3435,3
917,3
3361,3
987,3
2290,1
2529,2
850,3
1608,4
3257,3
17,2
2735,2
225,1
2659,1
490,2
2874,2
2545,0
1398,11
3373,0
835,2
2850,3
2171,11
3144,2
777,3
1750,3
3304,4
2177,3
2288,8
2985,4
4,3
556,8
3640,3
2089,16
3282,3
1974,2
1427,6
1930,3
306,3
1145,2
639,6
99,2
2739,3
3477,1
1786,3
2769,8
1656,3
3251,3
2028,1
2882,2
1107,1
2039,12
1171,0
1761,2
2548,12
2855,8
2397,12
2727,6
203,13
487,13
749,8
3595,17
3484,13
1811,15
1030,3
3053,3
1143,1
3175,1
920,4
1764,2
114,2
440,3
3218,3
1373,4
379,2
144,3
1657,1
2438,1
999,5
3081,3
3490,3
1715,11
3327,1
235,1
1516,17
915,3
1726,3
2869,1
3038,4
2626,3
29,2
578,3
3297,3
3354,1
85,3
3491,3
3405,2
1801,3
961,1
812,2
1456,2
2878,3
483,2
563,3
3330,8
3517,3
1663,3
2784,2
1386,1
1741,5
2262,1
3427,8
1414,10
2852,3
727,3
2825,3
3679,1
1969,3
2408,8
3310,3
1405,3
3265,3
1589,1
3023,11
1583,5
1026,0
3160,2
2489,12
3162,3
3084,3
3303,1
1552,1
336,2
2758,3
3406,6
1642,10
1392,3
3263,10
324,1
575,7
2650,3
75,11
654,1
1279,2
2524,2
2540,3
1595,1
307,3
3669,3
277,2
1387,12
3429,8
2768,3
1254,3
3696,1
320,8
779,3
2774,2
939,3
1840,3
337,3
1115,3
1976,6
2330,2
2202,4
3781,6
2888,3
3766,2
618,2
834,2
644,1
628,11
3638,3
3627,0
140,12
2800,3
3551,1
2821,10
375,1
3276,3
2744,3
1077,11
853,3
2832,3
1776,6
2754,3
3352,2
1639,3
3587,2
103,3
2441,1
2286,16
3771,3
1873,3
1950,15
459,3
2594,3
2320,0
2294,2
3172,3
2377,2
1760,3
1738,1
215,3
2556,12
1015,2
3445,3
52,12
1103,4
3168,3
327,8
909,3
1670,3
1020,3
1431,3
2108,1
2366,3
421,3
906,3
1390,1
802,3
985,2
550,3
1834,3
774,3
1490,3
1660,2
900,0
76,10
2172,3
2508,8
3357,5
2331,3
704,6
1643,3
2130,2
826,3
224,5
1867,5
3654,3
1446,1
40,2
2830,3
2690,12
3350,3
2494,2
2613,1
3511,12
403,3
2381,1
2501,8
1634,2
1154,2
2558,7
3365,2
3672,1
2485,4
739,2
152,11
2578,1
2375,3
1301,3
2585,3
2129,2
402,8
188,8
3558,3
919,1
1894,2
2292,2
949,3
1333,2
3779,1
426,2
3422,6
1063,11
3769,12
2977,3
3697,4
3388,1
3180,3
1047,0
3691,3
2057,0
2823,3
3227,3
3028,3
1157,2
1740,11
159,12
3247,17
506,2
763,3
3191,2
2520,3
2350,3
3390,3
3588,1
141,6
1588,3
2284,11
2964,2
3185,3
3472,2
891,2
3428,8
2862,2
6,1
2032,3
389,2
1728,3
368,2
2407,2
2503,3
2092,6
411,3
3146,1
16,10
1591,5
2082,11
1827,1
1926,1
903,12
2027,2
1833,2
879,3
580,2
1472,4
62,6
693,8
3102,1
2071,8
3473,3
221,3
957,4
463,3
2698,2
128,1
461,2
2018,1
1915,2
113,2
448,4
2128,2
2234,1
1889,3
3436,2
2274,1
1868,12
769,0
698,2
709,2
2458,8
587,3
1640,3
3323,2
1493,1
908,16
2741,2
1174,3
408,4
1483,2
711,3
101,1
1272,2
594,3
1779,12
1039,3
1117,1
716,13
3528,17
980,1
820,13
3564,3
124,3
3575,2
2512,6
3150,3
2105,1
1692,11
1775,2
2639,3
1079,7
3043,2
515,3
1116,3
3645,1
2324,12
598,1
707,2
2519,1
3337,3
2080,2
2550,4
1961,2
3372,3
1269,6
102,1
674,0
1421,2
2514,3
706,3
185,2
1982,3
2281,3
2782,2
1214,1
889,2
1675,12
1768,4
2188,3
728,1
2710,8
2674,12
1506,2
1714,11
830,3
2389,3
3307,2
2305,6
2582,1
1720,12
3549,1
1870,2
1571,3
205,3
1809,12
2437,4
208,2
531,11
434,1
1353,7
643,5
1189,1
3578,2
485,2
3603,6
3400,3
808,2
281,6
266,3
2947,4
1124,1
1055,1
234,2
1546,11
1745,4
3132,3
2374,2
2937,3
863,2
828,3
795,2
2117,3
2260,3
2102,13
883,12
1676,3
27,3
911,2
2465,1
679,3
2471,3
2178,0
180,3
3506,2
242,1
1460,3
1029,1
1904,1
183,2
3611,5
2017,2
1416,11
3094,10
896,1
2877,1
3752,1
1425,6
1435,4
3644,1
1276,9
1927,1
1935,2
1450,13
1636,3
454,10
2602,16
1469,3
3340,3
2125,8
3092,1
3216,4
3368,1
213,2
1445,11
1383,2
3524,3
1951,3
3005,1
1005,16
1391,2
3267,3
1251,1
535,3
430,0
2145,2
2554,3
638,3
684,4
1106,1
3439,1
1892,2
3362,8
757,10
3787,1
1323,2
2640,1
2153,3
1918,8
1470,2
2666,2
3415,3
109,3
3122,3
284,3
2951,6
73,2
3749,3
2960,1
3569,1
2534,4
1201,6
445,2
