doc_idx,category
2906,3
112,5
245,0
1595,4
1585,4
1020,5
1154,11
959,0
2800,4
2185,4
214,2
1329,10
2302,5
2641,2
2339,9
1100,14
2343,3
16,3
1423,10
2241,13
377,11
1749,4
916,9
806,4
2735,4
2001,9
252,11
704,2
2950,3
1625,10
2259,2
1572,4
1706,9
1768,0
1171,1
2813,12
132,1
1269,13
1599,4
393,0
1033,6
242,10
334,1
1737,7
1886,0
1677,0
2527,6
1494,0
2251,8
762,13
2487,0
728,9
2117,3
2591,3
2337,0
128,2
2524,3
1174,0
805,4
1779,11
2228,11
2119,11
100,13
1276,1
1350,13
1603,7
2386,14
291,17
2797,15
775,3
2547,17
790,4
1498,0
1080,16
2714,9
2292,8
2483,10
336,3
575,17
1189,4
1234,0
2319,5
63,4
2005,0
910,3
1252,17
2500,1
2357,6
1822,12
2019,7
2603,4
763,17
2917,5
1643,5
1977,17
2128,0
2823,10
382,5
1071,8
459,7
1871,7
449,3
2634,10
387,13
1748,12
302,2
2075,2
2658,15
751,4
1039,11
1889,3
888,5
1047,15
2664,17
1014,4
2952,16
375,2
1780,0
1221,12
1193,7
1741,8
2408,13
1023,4
984,4
224,1
2372,8
271,11
1974,5
1511,4
2026,5
248,14
1790,16
1166,0
2193,12
1904,3
988,11
234,12
1618,11
947,9
2548,6
2213,4
44,4
1577,14
1420,0
2323,9
2456,16
812,4
2252,12
918,3
892,12
262,0
1177,1
1182,15
2467,7
2890,0
1567,0
1957,16
86,9
1295,4
2584,3
1735,12
1418,3
284,17
285,15
103,5
875,4
2590,1
389,4
2599,4
2350,13
335,0
379,0
1606,2
644,0
362,0
2874,0
1214,0
2689,4
1874,3
1310,2
1241,0
181,0
2628,2
2378,14
405,5
756,9
2445,5
2965,0
1898,4
1816,11
111,0
2331,11
1005,4
140,1
1373,12
932,10
2441,3
2154,1
2896,1
1663,6
1985,10
1233,9
880,6
1421,16
403,4
434,0
2098,0
900,14
2531,1
1823,5
990,6
1694,0
2156,13
1383,1
2073,8
485,14
1569,2
2495,6
1320,0
426,12
2315,16
440,5
531,9
2747,15
2498,12
1943,0
619,3
2190,4
2373,7
2769,4
2843,4
2673,7
208,1
2635,0
1696,0
283,12
1935,10
2105,0
1608,10
2077,16
203,9
2695,12
2967,4
2665,1
19,13
1375,2
621,2
1998,0
896,1
2781,4
1141,8
1319,12
1776,3
1187,14
2938,10
1452,3
2816,0
130,16
774,3
1105,14
205,11
37,3
904,0
749,15
1076,6
598,11
329,4
578,11
848,0
1000,5
707,14
1905,7
909,1
883,1
803,0
1462,4
1072,13
917,4
919,1
2220,15
860,0
448,3
442,11
2159,1
1519,7
1196,5
985,3
50,1
2153,11
85,2
1026,3
2891,12
180,1
850,8
1122,10
989,13
365,1
437,0
757,6
2226,6
1761,3
1244,5
996,0
716,0
1385,7
744,0
144,0
2927,4
2696,0
2826,6
156,15
592,9
2710,5
702,11
2025,0
2367,8
1726,1
1333,5
319,5
2249,6
1697,2
506,4
1116,0
907,7
1283,4
1558,1
1786,7
2151,4
1557,0
825,4
65,6
1426,3
1791,4
1941,4
556,1
2353,6
2348,3
213,8
2613,15
1022,0
2167,13
2068,11
80,10
2948,4
77,15
1600,1
628,0
2872,1
2374,0
1944,4
1813,13
324,7
2450,0
807,3
2014,2
2217,1
974,4
606,12
795,11
2939,16
2684,16
2395,2
2520,2
1901,0
2741,3
2609,10
1631,4
1069,0
2209,5
1475,2
2177,11
2647,1
521,0
2660,4
1738,1
2887,16
1353,11
2145,1
188,1
887,12
124,1
1562,9
2198,0
733,3
2096,0
1674,8
1354,10
1948,6
1956,5
1021,11
2692,4
1249,0
2719,6
2506,12
2900,3
1646,4
1428,9
634,4
411,3
2755,4
220,4
215,0
1962,1
1530,1
587,9
2327,1
1480,4
306,6
98,16
68,9
496,4
276,4
27,10
2422,11
110,2
1456,11
1592,5
2239,0
778,4
1436,6
123,1
580,12
643,16
684,5
955,5
2280,1
1932,0
605,1
706,16
1902,9
802,6
1157,3
2666,2
465,13
2058,15
2794,12
1642,0
2512,14
293,10
0,0
532,1
2237,15
327,3
266,4
186,0
2901,0
159,0
1309,9
1036,0
562,9
655,11
2663,4
2183,0
445,4
2788,10
2956,9
2757,4
893,2
1531,0
2972,8
2625,5
1365,5
1091,4
2615,3
2260,4
99,4
1358,12
2428,4
739,4
1220,5
2293,10
1959,1
769,3
76,4
2697,4
2383,4
1128,3
2298,14
2047,14
2140,17
1670,3
1556,6
906,5
288,10
2257,9
1638,0
879,5
2080,1
2234,11
2376,0
1311,0
2482,3
385,3
2738,3
2853,3
1079,4
1491,0
1700,9
573,0
1223,0
934,1
1398,4
1917,3
663,16
1764,3
1224,6
1059,13
2756,11
346,10
2380,0
1756,16
1884,4
2262,12
627,0
2078,0
797,14
1553,1
624,4
1042,14
866,0
2949,0
515,12
240,10
307,5
2144,0
2525,11
1227,5
2225,16
1335,0
2750,1
198,5
2821,12
673,6
842,6
2296,11
1770,0
1965,1
615,5
1066,2
840,0
923,0
1376,0
1077,14
17,10
1546,2
1482,2
2716,4
1254,4
2139,11
104,9
1175,7
685,1
2291,6
1797,15
114,0
1993,0
2606,3
1113,4
927,3
1803,4
572,4
1467,15
2808,6
1107,12
2433,6
81,0
641,3
13,5
727,4
1793,7
564,0
481,7
2727,4
265,0
2195,1
921,0
2646,0
1784,4
1533,3
1692,13
2624,5
1614,14
1968,0
402,14
2179,2
2437,9
1658,16
966,7
2537,0
1402,4
1895,12
2189,10
1051,7
666,13
2421,9
2630,3
1750,3
2269,4
2390,3
29,5
495,12
1690,5
2860,7
633,4
2013,0
1094,1
2677,1
924,4
1253,6
980,0
174,3
1492,0
1412,0
2072,15
1539,1
874,12
1470,11
320,5
1717,4
1219,1
2182,1
1247,14
2597,3
2792,13
3,15
2266,1
2285,0
1966,1
2244,5
2188,0
1718,13
2157,7
2341,4
492,6
2382,2
709,3
73,6
383,1
1380,8
1092,11
479,16
939,0
1588,5
2175,3
2690,0
2629,7
1178,1
1535,4
1825,9
1645,6
2639,3
1938,0
1390,15
1755,5
517,10
2210,0
1648,13
2674,13
1038,0
66,4
2661,0
2582,3
2587,6
1858,10
2162,4
2921,4
1672,0
800,10
14,2
1449,5
653,4
273,0
770,11
2933,7
2054,6
305,4
1446,5
454,7
2600,0
317,9
1471,5
2940,2
891,0
2364,6
417,5
2203,2
1987,9
1207,6
1982,3
1720,6
398,10
1926,1
2572,6
1315,1
642,6
1540,4
1673,1
2811,5
1722,5
2389,0
2680,15
2370,3
1632,0
2180,5
1579,0
2825,6
1340,0
1201,2
1591,16
1328,6
1143,0
314,5
1574,0
2549,0
2753,14
1212,9
2644,6
1688,4
1801,1
1277,7
272,0
483,4
1604,4
1634,0
2018,9
82,0
2759,5
1430,3
597,12
768,15
35,2
2142,6
1265,1
1516,16
40,3
2134,8
1649,0
421,16
889,10
672,11
348,13
715,4
683,2
2424,4
1981,0
2720,12
2561,11
23,0
1864,0
1586,3
1437,1
1325,4
674,14
987,13
682,3
2121,0
1662,0
344,9
312,9
735,12
2783,5
1641,13
2470,9
390,0
648,0
133,6
2116,8
2683,4
1826,4
1701,4
2831,0
1035,4
264,3
1733,12
