doc_idx,category
900,5
2742,5
2093,1
1523,9
194,3
2220,9
252,4
1147,1
1180,7
1234,2
436,6
921,8
807,4
406,2
1273,4
409,7
1838,3
2361,9
2483,2
448,9
1191,3
527,1
1188,3
1894,8
2268,4
1977,7
1644,7
1685,4
2560,3
312,2
1772,4
2542,5
1833,10
891,2
1274,7
458,1
2549,2
1206,10
331,3
516,10
444,7
2070,6
2244,10
1212,5
1131,9
2492,9
465,7
2646,3
1404,10
904,3
755,3
2139,3
1141,4
2735,4
127,5
2596,3
788,3
488,7
1622,4
1541,5
1509,3
1740,5
253,8
1793,2
2973,8
1117,10
2340,4
2054,2
550,1
2050,1
451,5
1692,8
2442,6
2237,9
1638,3
2354,5
1332,4
1203,4
2221,1
3009,9
518,5
1655,5
954,5
2105,10
2718,1
1312,3
199,9
1997,3
1686,5
405,7
1021,5
1330,5
2878,8
2551,8
1902,1
2477,3
174,3
1401,6
262,3
248,4
1414,1
2255,4
2889,6
963,12
653,3
121,3
403,2
2174,2
2569,10
1288,2
369,10
2513,7
2800,3
953,4
2073,2
1947,1
2691,2
1059,1
1450,4
1679,10
2954,3
1684,9
697,1
606,3
1350,10
2755,3
2702,6
1220,3
1996,7
2234,3
311,1
102,10
189,10
2338,4
1167,1
1661,3
955,9
2620,0
1543,3
1122,5
1473,9
389,3
970,2
1550,3
1049,7
1439,3
2856,10
1361,9
508,2
1711,12
2504,13
987,7
352,8
338,10
1219,3
2285,8
2997,5
2793,9
2083,6
1925,13
1154,4
1197,7
2760,8
2023,5
2601,9
588,10
2011,12
1670,5
2548,8
1067,2
407,4
135,7
2055,5
780,2
541,9
92,2
363,6
1138,4
1538,10
2880,11
834,7
1320,7
1637,6
61,7
2207,8
2603,3
1689,4
2655,3
351,7
2389,7
874,7
223,6
2829,4
1567,7
1982,5
1532,8
660,3
98,9
2473,2
218,9
2946,7
947,8
1210,7
120,10
806,4
673,3
1749,7
2196,5
2808,7
2921,4
734,4
1972,8
2149,1
975,4
75,1
88,3
1745,3
1883,7
1611,6
349,3
205,7
1389,5
1691,2
1296,2
2056,8
1923,7
2444,7
2280,8
2380,4
1843,7
2319,1
722,0
1776,9
1187,3
2448,8
1540,4
2087,4
1983,3
940,6
2085,6
142,4
1305,12
450,2
1962,10
2397,4
2416,3
2686,4
1629,4
700,3
1375,7
1444,2
1990,3
1975,3
2358,12
393,6
1233,3
2464,6
2538,6
1271,7
2776,2
2896,10
587,8
1531,10
2154,4
1974,2
814,6
512,6
438,4
1906,4
332,2
478,9
307,7
934,6
1822,5
2768,4
1425,3
2326,5
2870,2
2518,10
911,6
2781,2
543,3
2674,7
1761,3
580,10
1652,3
1440,5
897,4
1211,7
2689,7
2778,8
357,6
60,5
2982,6
1764,6
1665,5
671,1
2842,5
928,5
2813,2
266,9
2260,4
509,5
355,9
1755,3
836,2
1283,7
2593,6
1002,3
1367,4
2277,10
2469,7
1613,5
2995,9
2209,5
439,3
2282,3
420,3
2487,3
1812,8
686,2
2580,4
1023,3
1537,4
71,7
2335,5
314,3
2554,3
1525,7
1981,9
2045,12
795,10
564,3
632,10
2505,4
1658,0
1339,4
596,4
2531,2
733,1
2179,10
276,2
206,6
224,12
346,4
2939,4
278,5
1237,15
1270,7
2089,7
414,3
2833,2
1596,3
2293,8
284,7
838,9
631,14
1676,7
1090,7
2782,4
2525,7
2961,2
9,7
1430,7
1355,9
2431,4
1585,0
2661,3
254,3
1884,6
2447,5
809,7
1932,8
2053,10
709,3
1022,4
1112,3
365,7
2584,2
786,2
354,4
1405,2
869,4
2640,4
2650,3
116,1
1160,7
816,7
776,6
1032,13
810,7
730,1
3,5
353,10
1202,7
1314,6
3001,4
95,3
2929,7
1539,5
678,1
1434,3
209,4
581,3
915,3
597,6
371,10
560,3
265,7
2157,7
2008,7
1680,3
2288,5
2436,1
2607,3
1209,4
2185,8
774,7
1955,9
2979,8
2412,7
991,7
1987,10
536,4
63,4
2631,4
1319,3
1060,7
1105,2
916,7
222,7
1299,7
1027,6
2893,6
1736,10
474,10
2976,8
828,7
988,4
2146,3
996,2
691,7
879,3
862,1
2459,3
1393,6
2643,8
1076,4
1668,3
2347,4
1857,4
1621,4
2887,9
1780,4
472,3
1424,4
361,4
221,5
1696,7
2034,10
958,7
2872,8
923,6
1698,13
203,3
2164,1
1194,6
589,9
1889,9
2586,14
1682,10
1989,7
440,8
2257,10
486,1
1861,4
2933,5
2026,2
2481,10
2018,2
2387,4
328,3
892,2
6,10
1196,5
721,7
2243,10
2565,2
1353,4
1502,6
579,4
318,1
627,7
950,4
1164,3
1065,4
561,10
1066,3
2245,4
1895,3
1422,3
1396,4
2582,1
2246,3
1057,2
2088,9
1053,9
219,7
1562,9
418,2
1513,5
2693,9
883,4
2152,3
301,3
720,1
2457,3
681,3
2118,6
1674,4
2460,10
1971,7
1522,5
182,3
876,9
1781,0
280,3
2708,6
2190,1
1777,7
1419,7
239,0
1286,4
2609,9
130,7
1256,4
27,10
1285,4
1519,11
2737,4
471,7
1365,10
1719,7
1214,1
1995,1
1044,4
1448,4
196,4
802,3
690,3
2688,3
663,5
1912,3
1544,5
2930,3
169,4
495,7
1445,7
1520,2
1848,7
2328,7
648,7
2809,7
2744,5
305,2
2812,10
201,3
2527,9
1493,6
1052,0
2218,3
1752,4
122,6
105,3
1073,3
399,1
549,2
2064,4
1170,5
2738,7
2797,6
936,5
1701,10
2748,6
1083,3
2932,7
1331,2
1727,3
1823,7
2175,9
93,1
944,3
524,4
1407,13
1467,10
2579,4
1249,4
2081,10
1921,3
1545,3
901,7
956,4
1420,7
2576,6
377,7
852,2
2323,2
56,9
2017,6
1683,7
232,1
388,3
2178,10
2004,1
1018,3
1064,9
2894,3
1172,3
2666,8
350,3
2198,8
2669,2
143,5
2203,4
343,9
501,5
1337,4
96,4
2192,9
2948,8
126,6
2333,6
744,3
257,7
2367,3
2383,1
1855,6
1765,5
2729,7
2532,4
1979,8
626,3
267,10
2176,3
773,5
1029,7
1338,2
1108,4
1007,13
2058,5
1156,4
46,10
967,7
1056,4
1409,9
1476,4
2848,1
1626,4
2724,10
16,7
2225,8
794,3
283,7
1624,7
2283,3
1080,7
1092,8
507,10
313,6
151,5
1019,8
2099,4
1576,3
167,7
498,8
966,2
228,8
2632,10
827,2
2862,1
2001,6
2658,1
1426,8
2591,7
743,5
2533,3
2364,3
2780,9
131,7
808,8
1376,2
1656,8
1017,4
1342,9
1578,5
2445,1
1498,7
877,7
1930,2
1116,3
1222,6
2117,7
2466,3
565,4
2520,2
2684,7
1475,2
427,9
1939,8
2376,8
1707,7
2994,6
2843,3
2195,6
1329,12
1181,3
2882,9
2508,3
2694,3
210,7
1805,8
2623,1
1241,3
831,10
1386,9
865,11
1184,7
2999,9
2495,7
386,1
2407,3
2845,7
1566,2
1120,7
2235,4
10,9
938,4
1759,1
40,1
2329,7
2258,3
1382,2
306,7
482,3
2865,7
330,6
1406,9
2764,1
557,3
2821,12
1497,7
397,4
2611,10
582,3
1507,1
1457,9
2624,4
2863,4
2986,6
1142,1
2667,3
2511,1
2184,4
1356,3
21,6
2267,8
1492,2
577,3
2951,7
2142,10
74,5
2114,3
932,3
2564,3
70,6
1387,5
2038,3
2989,8
144,5
1231,4
2150,7
2700,8
735,3
715,5
2458,10
446,8
366,8
1106,5
608,5
2434,9
1606,4
1836,5
704,0
1369,4
1992,7
2144,4
2366,7
529,2
274,4
1436,10
2746,13
2985,5
701,7
179,9
2614,10
1816,2
2,2
2327,4
1207,9
2123,1
2905,10
2143,10
665,3
675,9
2649,4
2659,7
737,10
2071,5
2630,6
2499,6
676,5
1958,2
2404,3
1364,7
1725,10
2722,1
1183,6
473,1
999,7
2610,7
857,5
706,4
1435,7
989,9
1817,3
2699,9
2155,8
2500,13
381,6
1047,4
2868,2
969,2
2289,7
500,7
1001,3
2482,7
2312,5
2775,4
2455,1
1373,8
997,4
2942,8
1054,3
2170,3
1561,6
1410,2
1309,5
2275,1
824,8
718,2
2281,9
374,2
1441,3
3003,3
1102,0
110,4
1799,10
39,7
156,2
165,10
1088,3
1491,5
506,2
2502,3
1580,7
1349,1
2453,3
2336,6
1071,8
2313,7
2301,5
2498,5
123,7
2938,10
395,3
2497,3
873,3
1790,3
1614,10
2104,6
973,1
1796,6
2350,10
2839,4
2599,4
2656,4
708,6
2841,3
1557,1
2242,10
246,6
1953,2
558,1
2741,1
1646,3
1767,7
1785,10
2325,4
479,6
644,9
1452,7
2570,7
1827,1
1998,9
1854,7
184,9
2439,9
2391,3
2581,10
79,2
185,3
1647,7
731,3
908,6
2616,3
1298,6
1931,8
846,9
2837,9
2182,10
820,9
7,7
1549,10
1189,5
1828,1
2042,4
207,2
1026,13
849,1
2304,5
1301,4
334,7
1639,7
2438,8
2072,6
872,3
1324,9
2873,6
666,5
1125,7
974,4
544,3
2096,3
1217,3
511,6
1495,4
576,3
1308,5
848,3
1521,3
1474,4
1224,3
158,4
2263,4
2654,3
2904,4
2274,2
1905,1
475,6
295,10
1940,1
136,3
359,10
1577,3
705,3
1193,3
605,9
1605,3
2918,7
31,5
929,9
778,1
2772,6
1039,5
2621,1
693,7
1709,6
1251,3
1609,9
2193,4
2307,8
1875,10
483,2
1246,6
99,11
1333,5
2830,3
2937,9
1455,2
2441,9
