doc_idx,category
1576,2
1164,13
3594,0
2719,15
91,12
1209,1
2378,1
3277,12
904,3
2001,1
1296,14
2151,12
3441,4
897,2
2300,2
2772,6
549,1
1331,13
2720,1
975,7
2123,0
3713,2
405,0
2065,3
3154,11
3740,1
2590,13
3384,0
444,8
827,0
1302,3
61,0
2158,0
1977,8
3434,1
606,1
3323,0
3492,1
2887,0
307,1
1632,0
3469,3
1163,2
1860,7
851,10
850,1
219,1
318,5
1088,6
1523,0
1460,1
342,0
262,8
2096,8
2832,1
3606,1
543,0
2593,3
88,4
955,11
3559,3
2526,8
371,1
242,3
2730,11
60,1
313,3
1983,2
2340,0
1736,4
2199,1
1987,6
3112,5
795,2
3192,2
3669,1
2320,2
2888,1
3197,1
2187,2
3184,1
2928,2
823,1
1156,1
2201,3
745,1
1753,3
3673,1
3566,1
2770,1
1830,11
2957,1
436,2
123,1
1684,4
1188,2
3347,8
3726,8
1776,0
544,3
3036,1
2402,1
1777,3
1661,6
3066,0
2258,20
2500,0
1431,1
2614,11
1855,2
1653,8
755,0
3214,3
3405,13
2910,3
2668,14
1617,3
1032,3
1839,1
1545,4
1807,3
2572,5
929,4
1806,1
3053,11
2532,2
824,10
1160,2
3060,0
3283,3
690,3
3705,8
1947,1
2271,0
98,11
2573,15
920,4
1168,13
2701,3
3294,8
305,2
3330,0
2624,7
3490,1
3021,3
1822,3
2890,1
169,5
1242,1
3132,1
2685,3
2589,5
3025,8
2664,3
3478,4
2525,4
1771,1
1359,1
131,2
2104,1
1809,0
3671,1
2767,0
2508,10
3100,8
3300,3
1658,1
1196,16
788,1
1438,1
3696,3
2021,1
1539,3
3358,3
1083,1
2726,4
1112,1
439,9
2277,1
1456,11
1428,7
3500,0
1805,3
1917,1
1534,2
2412,9
560,1
2437,4
2941,3
1591,8
427,10
476,0
2032,1
2765,3
3336,7
418,4
2407,3
2749,14
2333,3
71,3
2796,3
498,3
2423,1
2352,1
3585,1
1764,2
374,1
726,3
2045,0
2152,2
1790,1
2218,12
1524,6
3698,8
622,3
2491,3
3672,3
1288,1
2043,8
625,1
1799,1
3462,1
3714,1
720,3
733,0
966,3
802,1
2453,4
1827,3
987,1
3562,8
3753,2
2264,1
194,8
1386,3
3265,19
102,3
678,1
1056,11
3493,4
786,3
486,7
1676,1
3364,1
2057,2
587,1
3461,3
2757,4
1422,1
2621,1
1214,3
2606,0
2809,8
810,1
1376,2
2780,3
72,12
782,1
63,20
2860,8
2951,0
414,3
295,1
1656,1
2094,3
591,12
2871,0
3087,2
3451,3
2924,1
46,0
1113,2
2183,0
1712,1
3745,1
1698,3
3527,1
1616,1
1197,1
167,3
3660,1
1284,8
3600,16
403,1
2265,1
1433,1
542,3
1441,7
406,0
3091,3
933,19
2257,13
590,1
2439,1
1425,0
3288,7
2119,1
2576,1
1353,7
581,3
2436,6
2671,3
1982,1
2386,2
2404,2
1525,20
1116,1
2002,8
2188,1
3337,1
1071,3
2249,4
68,8
780,1
2989,3
1439,20
1756,3
579,8
934,8
731,6
1877,12
1117,3
3763,1
363,0
1453,1
597,0
541,5
3634,2
3174,2
2755,0
3084,0
588,1
15,15
1568,1
2363,20
791,1
2177,1
2505,8
349,1
1342,1
3344,1
3731,1
2587,1
775,3
2242,3
2520,1
2784,13
1338,4
1455,1
2209,3
3335,3
1707,1
2267,2
1501,12
2504,8
1138,8
631,8
1804,3
688,12
3052,6
207,1
921,0
2739,11
1666,0
121,12
3773,0
311,8
3098,8
1924,12
1577,1
369,4
1392,0
3368,3
1994,1
501,0
2127,0
2027,13
2725,1
2788,4
2109,15
1680,1
2186,11
2705,13
1761,2
2514,1
2568,12
1752,3
395,1
3167,8
275,13
1241,1
1131,1
2899,0
1566,0
557,1
1200,14
1255,6
846,3
1831,2
2753,3
3190,10
2117,1
1665,20
2004,1
2919,3
2810,0
488,1
2554,1
2419,4
332,1
3465,9
1968,20
1274,1
314,7
1654,5
756,1
3620,1
1528,0
3328,2
2866,3
3142,1
2781,1
201,3
519,8
940,0
1330,3
223,3
472,3
2902,1
2754,1
3511,0
1691,2
2536,8
3390,1
1645,3
3422,0
1219,1
265,13
2411,8
2112,1
3776,0
2142,1
1273,1
1023,20
1391,1
482,3
2113,3
1749,16
1866,14
996,13
3326,3
3711,1
2833,1
2638,0
2255,1
1262,5
817,1
1054,0
691,7
1057,13
712,3
938,1
1349,2
2708,1
1382,1
156,1
3233,0
988,6
569,8
450,0
3198,5
1682,2
92,20
471,3
1271,1
2995,3
1389,1
2075,2
3694,1
2196,7
507,0
1495,4
2972,13
874,3
1673,20
735,3
2808,3
2487,1
2689,2
627,1
673,2
1679,1
203,9
947,0
2475,3
1426,12
3046,10
1862,3
1437,0
3524,1
872,2
901,2
1468,10
3652,2
3423,11
479,1
