doc_idx,category
3098,0
4307,4
3853,10
2626,0
2250,6
1781,0
298,0
4030,0
3204,6
3053,3
2179,0
993,4
1181,0
1501,4
2679,0
4327,0
2521,0
1634,4
1513,4
4170,0
2453,0
3910,6
1735,1
2658,4
1877,0
2806,5
2232,0
2597,0
3970,0
4733,5
486,5
390,9
747,6
291,8
2717,8
4730,0
1069,6
205,12
440,9
546,0
2923,0
1870,0
1327,0
2988,1
3680,3
402,6
1405,1
4068,9
2202,9
2916,1
1482,0
3491,10
639,0
1618,4
3924,5
688,1
3574,3
4597,0
109,9
3982,0
4687,6
3367,0
3348,1
1911,0
885,0
2784,4
3601,6
3626,0
1229,1
2593,14
3272,4
4665,0
289,2
964,19
3848,7
2285,12
3814,18
2207,5
4262,8
1625,1
3140,0
4381,0
2369,4
4048,7
3577,0
2076,0
2598,2
989,4
487,1
2068,1
4242,0
2203,9
315,0
4467,1
2845,8
341,6
2623,3
953,2
349,8
2023,0
366,5
2547,4
701,0
1987,6
1360,6
316,1
279,16
2710,6
4190,0
3017,0
757,9
3376,1
2966,6
1220,0
1600,4
2690,5
1819,0
1734,0
1815,3
4429,1
2532,5
1206,24
23,8
1572,0
3555,0
4063,3
1884,19
1740,14
2404,0
3883,1
3771,6
954,14
1091,6
1761,6
537,5
3417,5
1857,1
4427,0
3243,0
1509,0
2199,0
372,4
476,0
2870,4
2849,6
932,0
2663,1
1282,8
2145,10
3649,4
587,1
2224,8
4161,3
685,14
3268,14
1188,2
549,20
4315,0
3227,0
2080,12
3050,15
3974,10
3365,6
937,2
1575,5
753,19
1890,10
3459,19
965,27
3306,6
3357,8
494,4
4146,2
1800,27
4051,19
4319,1
3597,8
462,15
1499,19
1301,7
2611,0
926,12
684,6
1688,23
2308,1
308,8
4337,29
54,6
226,1
2345,0
2555,10
485,6
543,15
589,6
3663,5
525,5
443,0
2233,1
4163,1
1385,4
671,10
3040,10
2300,6
157,14
4132,0
2158,1
3424,20
2421,0
2970,1
339,0
4100,0
3523,0
2732,8
4563,6
4111,4
107,0
3119,1
832,10
1165,10
2536,8
3551,4
299,0
1136,1
4556,4
4232,4
2822,0
1918,9
1832,0
2180,6
93,0
4517,11
10,1
3057,5
2403,8
28,4
1754,16
4657,8
4699,0
3561,9
2965,0
2601,23
1171,0
1906,9
432,0
2482,1
4616,0
2735,0
1335,3
125,0
724,1
4028,2
4417,0
4125,0
4380,0
3829,0
2934,4
3066,0
1128,4
310,4
500,10
1788,13
1521,8
2475,0
2274,13
961,5
3094,13
4280,6
1465,22
1944,0
3378,9
301,0
786,14
2424,1
4330,0
1156,13
1254,8
3048,0
1066,8
3143,0
2346,4
4492,0
2440,15
1167,0
3354,1
1244,19
3773,10
2783,0
354,1
4521,6
539,4
809,3
1088,0
1192,0
3624,1
988,4
2953,10
2282,0
3786,6
2384,0
1354,0
3594,3
370,0
3779,5
2697,0
1812,4
692,16
2937,27
3804,6
2236,4
863,27
2718,6
3553,4
2148,0
1370,5
4621,1
585,10
4446,8
4124,2
12,0
4269,4
1831,0
4200,10
583,7
232,2
2816,1
3565,5
3213,0
4379,10
1795,14
1954,4
2211,0
2757,0
930,1
535,10
2142,9
3642,1
2842,2
640,23
1879,4
3944,12
2165,1
1516,0
4537,0
711,9
2379,0
511,4
2037,0
3562,0
4392,0
4377,9
1087,0
3557,0
3625,0
903,1
1817,18
3713,0
2017,0
4019,0
2242,5
3983,5
721,1
633,1
2960,10
2230,0
73,9
