doc_idx,category
2886,0
3439,6
3832,10
432,9
3553,1
3189,14
3394,2
698,9
4137,5
3149,11
2891,0
1166,6
370,7
1210,7
2905,8
225,1
23,1
721,1
2795,0
3948,5
3561,2
645,6
4326,6
2373,7
1562,1
885,1
1918,1
73,6
448,6
2860,2
3589,1
2733,13
245,0
1847,11
254,5
3662,3
2948,7
2827,11
1456,6
2634,2
3427,6
2842,8
2880,0
1127,8
3399,2
1600,7
4343,6
640,0
3010,6
1212,9
3109,0
3026,1
3148,11
2622,0
2470,11
3445,0
3835,7
1482,1
2415,3
1083,1
408,6
2917,5
2381,4
354,0
180,1
916,4
2224,1
3231,12
1821,1
3154,3
3024,7
2531,6
3685,6
716,0
3325,4
4048,5
2840,9
1628,9
2295,15
1139,10
1331,4
486,6
1427,3
2794,6
3689,1
802,6
3629,5
2077,8
2909,6
390,4
1202,12
1499,12
111,2
2621,3
636,0
585,2
518,6
3525,5
1135,5
1867,10
69,8
2773,6
315,6
3319,0
2179,3
662,5
1501,9
1010,0
4032,14
291,0
1970,1
797,1
3293,4
10,8
3431,6
4108,5
1730,11
2780,3
2848,7
2758,3
1120,1
2399,12
2164,9
1227,7
1021,6
995,11
3687,11
500,9
608,14
3036,5
2764,1
3616,6
3966,6
356,9
2624,12
2432,5
2711,2
1375,3
1158,4
3084,11
3728,5
257,5
685,9
3273,3
2151,5
466,3
4298,11
2282,0
3230,14
965,3
339,9
903,9
239,8
2573,1
997,6
1641,3
2797,3
344,9
2562,4
1598,7
2953,8
4295,9
2111,0
1190,5
2294,9
446,14
3531,4
1357,9
575,3
1042,2
2438,1
583,1
2759,9
546,5
4344,2
2402,16
2661,0
278,14
167,11
602,7
3709,10
487,7
2359,1
3613,1
3242,1
1310,3
4173,9
1774,7
2855,1
2289,9
3920,9
3180,8
2602,5
1702,4
2955,6
3889,2
3037,4
289,10
976,0
679,2
2363,5
1901,3
2838,3
919,8
1884,3
4042,0
3789,2
4199,4
1409,14
3450,5
298,5
123,7
1753,2
2370,8
2762,10
2382,1
3383,1
3013,1
3104,2
2409,6
2187,5
3570,7
341,4
2818,2
109,2
3867,2
3337,8
99,4
3275,9
218,12
1677,9
2627,12
2789,2
3518,14
1359,6
1823,11
1,5
511,2
3324,12
777,2
598,1
1229,10
2675,4
308,12
871,1
581,2
1987,3
603,2
2646,12
3233,0
2723,9
1565,14
4300,8
2708,3
1962,2
3538,10
4202,7
2927,1
2569,1
4073,14
3303,1
2033,0
3894,1
803,0
431,3
2477,4
392,0
1738,8
2558,9
480,1
1675,0
1069,8
3170,2
3355,3
2263,9
299,6
2496,9
228,7
4219,4
2030,2
937,2
1013,2
1133,1
1791,8
209,0
476,10
4241,1
3074,3
2148,14
4310,3
2091,14
3781,11
1140,7
276,11
3627,6
1721,7
1171,13
4299,0
2525,2
4239,15
3443,9
978,5
3752,8
192,1
3899,5
3569,1
2816,5
2404,3
2479,7
1669,12
1540,2
964,12
1817,2
465,11
3767,9
3644,1
4255,7
366,4
1244,15
4171,4
2829,4
2369,9
1788,8
157,0
2273,14
3138,12
4127,3
898,0
3697,1
1346,4
292,6
808,2
2466,1
783,2
121,6
751,9
702,9
3219,6
2206,0
1984,2
4186,6
809,5
3419,9
3903,6
4034,9
1106,5
3727,9
3602,2
281,8
3564,3
105,12
2748,6
1972,4
4077,3
353,6
1763,0
4360,2
14,7
2983,2
3080,7
2729,2
1119,6
4014,1
1342,5
4080,12
1924,11
993,9
54,12
40,1
402,1
4341,2
973,5
1840,7
330,4
174,14
770,2
3457,1
4311,15
3634,15
633,4
19,12
1925,6
3800,4
4248,7
1954,2
1057,6
2932,6
2845,3
3250,9
2710,1
2925,3
989,5
2484,2
1016,2
3095,6
1136,3
1781,9
3986,6
221,5
4205,4
3143,0
52,5
4338,11
1857,3
3087,4
4354,8
972,1
1944,10
1334,7
3596,13
2968,10
3925,2
4095,2
262,6
1269,1
75,9
2623,10
3601,0
2489,9
3557,9
1978,6
988,9
2597,12
405,11
1407,11
2904,11
2193,8
4065,6
4316,4
2055,7
915,2
926,8
3047,1
1282,13
1283,2
334,9
2881,9
3959,1
786,12
462,1
2670,12
4377,7
816,1
1866,5
311,9
93,5
3131,6
1027,7
3068,14
1327,11
673,6
1365,2
2007,2
932,2
3573,1
3267,15
537,12
107,4
437,5
2465,6
1251,4
696,9
294,3
1074,7
4283,5
613,4
2920,9
3049,10
3029,4
798,6
2732,9
731,5
3336,3
1137,3
2915,6
3836,2
1864,15
2093,6
790,5
3043,4
3906,11
4337,6
2704,5
1794,0
4187,9
279,2
2347,6
3426,3
3441,12
747,7
3855,12
756,11
4050,3
3061,2
3495,1
2823,2
470,5
1291,7
2454,1
2879,2
755,6
3779,0
2421,5
3837,7
2411,2
2240,3
3686,1
1052,6
4125,4
2389,7
2839,0
4340,0
1360,7
2360,0
746,8
1982,9
4043,3
529,9
1714,0
2907,1
28,6
1793,3
317,6
688,2
587,1
4272,4
2642,5
4209,11
2145,1
630,4
1000,6
2933,2
589,14
4260,11
4165,1
3059,3
1841,5
3860,6
1680,8
3315,11
1796,4
12,1
832,4
1529,2
3255,5
2583,14
3169,4
2808,7
2509,12
2679,6
3129,12
1572,5
2076,0
890,7
844,5
3482,2
3209,3
539,14
2336,5
1524,2
724,6
815,9
2754,5
3820,5
1708,12
1590,5
499,7
2251,11
3224,9
259,9
3434,7
2875,12
3282,7
3902,1
4037,2
1623,3
1050,4
1494,11
1446,15
4150,1
481,12
3595,10
204,1
3245,2
3435,1
4363,3
3888,7
569,12
549,1
3937,4
2862,1
3723,12
2692,8
2817,1
3828,13
195,6
684,4
1611,3
2971,3
247,15
1091,9
2430,5
39,8
2549,10
3212,6
2286,4
701,8
1007,6
3420,6
1807,0
3942,2
1370,9
2275,1
1440,12
3741,12
788,10
1419,2
1694,1
1712,12
3822,7
985,0
2384,6
1305,3
2747,1
2136,6
112,2
3945,3
1619,2
2678,12
1592,12
2858,12
4109,4
1204,9
3076,3
3823,14
4092,0
1160,7
2672,0
3522,1
57,3
2435,5
2520,4
543,2
4121,7
91,2
2327,2
3085,11
1527,1
4271,4
1429,14
1664,7
523,2
2037,1
618,0
1792,4
2517,10
3363,4
3417,8
1259,4
4138,9
3428,9
2174,1
1516,4
3460,12
1605,2
160,7
2803,2
2727,1
151,1
2433,9
4221,3
1066,0
137,1
440,0
4059,8
2964,7
2507,7
3850,2
125,5
301,7
1888,7
2028,5
799,8
2328,2
2690,2
1515,3
742,0
970,4
1898,2
2590,2
3802,8
4374,2
3145,10
1385,9
656,2
2390,14
757,7
393,10
2652,0
2029,3
2654,6
3536,0
1460,4
2892,10
644,4
4056,9
2822,11
3884,1
100,7
1308,5
3398,0
4303,2
3469,4
3567,10
1741,1
2802,7
3362,5
3012,6
3102,4
1832,1
2247,9
2639,7
2864,9
1296,2
962,1
3575,4
3157,3
2182,8
1298,1
2574,4
2054,11
1813,2
2048,7
1085,4
1634,5
3560,1
4268,6
3650,12
3467,2
3972,1
1433,13
1782,0
3578,2
3545,0
3989,7
200,7
411,11
3621,14
2611,4
3406,1
736,3
1937,5
4210,5
4110,3
2850,7
2010,8
4358,11
2047,3
4131,3
1358,2
3923,9
7,6
2761,1
3050,1
2100,12
1192,0
769,3
3511,7
3494,1
3374,7
2434,5
2615,12
2572,2
2916,11
3454,14
1026,8
3555,1
3060,6
1769,3
1343,7
1248,9
3865,1
3944,3
1542,7
1002,9
3534,2
1420,6
1144,7
1835,10
638,10
1819,0
3487,1
2203,4
4214,1
1556,3
1350,5
567,5
961,5
369,8
2267,8
2198,1
787,6
3500,1
650,9
2475,3
2568,9
2045,3
620,3
70,10
1737,3
2212,2
1103,2
1892,3
3038,12
3769,3
1435,11
421,9
2550,4
784,8
1040,9
792,0
1966,4
467,2
1451,2
1525,3
2713,6
188,4
1301,0
3064,6
3214,6
1594,5
800,7
3891,2
2462,2
1710,3
1371,4
3019,3
726,3
3114,7
4064,3
612,4
3630,12
1224,0
135,3
2868,2
3455,8
428,10
2141,5
2191,3
1614,3
1507,6
1557,5
3554,3
3397,7
3609,12
4116,2
1800,3
4005,7
1165,6
1498,2
3116,4
1090,2
2302,12
1783,2
863,9
316,7
2204,0
2162,1
4247,0
1318,2
1564,6
1905,0
2242,9
231,0
1533,1
3078,3
4250,11
3329,13
1234,7
2934,5
3857,9
4182,0
2545,0
1044,3
2478,14
3042,6
1156,1
1128,6
573,2
3729,1
3322,10
2740,5
1480,7
1919,5
3147,5
2512,1
874,5
1399,3
940,6
1100,9
3191,6
2644,1
2035,5
3647,7
373,9
2084,10
2653,6
4009,0
1509,0
2176,7
2809,0
2106,2
1362,6
2984,6
1009,1
2522,0
766,7
651,0
1913,9
419,1
3474,5
987,4
725,6
1458,12
1122,11
891,2
677,6
2592,1
2171,5
3206,11
3292,13
1890,12
2913,9
601,5
4027,2
2181,5
2185,3
464,4
737,5
3227,12
485,1
3515,5
1746,0
4233,6
2699,1
2872,0
2128,5
2643,8
1488,11
3883,7
4355,3
2491,2
1302,3
2743,1
3913,3
2118,11
2440,14
3493,2
3516,6
420,14
372,0
2050,12
2807,9
692,6
3461,1
2701,13
3577,7
2447,2
504,12
2180,9
4180,8
2342,5
4201,7
3048,11
325,1
2300,2
2287,3
2137,10
1942,5
1115,3
857,3
1138,12
3955,6
930,3
911,0
4258,4
3718,2
3190,7
3070,8
3041,11
3551,6
2606,9
2570,10
4270,4
4215,5
1088,1
3890,12
2890,9
1548,2
1167,1
