doc_idx,category
569,1
874,7
1604,1
1404,19
1781,7
1010,0
916,0
1955,0
2287,1
3606,16
650,1
4072,10
341,6
440,16
1481,2
276,2
2627,8
3067,9
2220,12
3615,12
1800,0
3225,1
209,1
1816,5
3216,28
3749,25
1902,22
3858,30
742,25
73,0
3449,25
291,1
2482,1
499,8
2370,20
354,10
1570,11
1548,15
3134,4
961,0
2843,1
1050,9
1984,8
698,18
121,28
1460,0
2401,18
2426,10
1937,26
1119,2
518,0
2179,7
1815,9
800,22
3203,2
3832,24
1082,2
3560,0
3487,0
2342,0
3810,7
2211,2
620,0
3871,1
2414,0
99,9
3750,0
52,0
3674,2
3600,0
857,12
4037,10
2110,0
3838,1
964,3
630,0
3578,8
366,25
3731,20
770,29
1367,0
3424,16
2075,1
3825,0
4139,0
803,8
1627,1
1417,25
2644,1
1919,18
3165,18
1370,20
105,14
3982,1
221,1
1156,5
995,10
1331,4
3196,0
746,1
1774,1
3002,1
1275,0
612,1
3180,0
1745,19
3587,17
462,7
3996,5
3694,9
1128,25
2469,1
3243,5
289,11
2118,4
2111,0
976,0
926,9
1354,26
2317,10
3969,8
3979,0
334,19
3190,0
294,20
1282,0
3948,1
3885,9
2828,0
3202,14
1212,0
3637,1
543,10
1199,17
3148,12
3844,9
1515,2
3383,15
2357,0
702,1
2369,12
4068,2
3250,8
546,5
972,8
1564,4
3240,1
1120,1
2802,5
1357,25
809,30
3585,4
3012,29
2355,8
2444,27
1894,7
1796,3
1575,25
2365,9
2780,10
1362,11
3680,1
2916,1
692,2
3322,14
585,1
1416,18
339,4
3907,0
1527,8
2282,6
2490,1
915,10
370,0
279,9
75,3
239,1
1605,10
3049,13
1296,24
2630,8
1854,0
218,2
3857,1
1244,5
3461,5
2558,23
3039,1
3056,5
4049,20
2567,12
2336,11
1499,2
3157,0
3073,0
228,11
40,1
1625,24
2363,1
1420,7
2839,20
4103,1
2690,5
2811,15
1224,9
2964,14
281,1
23,5
1757,2
1677,1
3783,0
109,6
1743,5
3888,12
448,20
344,12
2136,24
2532,26
3127,13
1451,0
1098,23
1761,9
716,8
1136,25
2351,0
2904,0
315,12
2903,8
937,0
195,20
481,24
157,24
885,0
3554,1
247,10
1906,0
1088,8
2331,20
1756,1
2681,10
1504,0
1488,2
2139,1
1669,25
353,0
1890,20
2045,0
3507,15
2826,6
1708,8
583,24
3227,1
2966,8
997,19
1302,0
1859,0
1525,6
2091,1
107,12
1009,0
4055,0
2571,0
1994,13
1306,0
3419,1
69,1
2048,20
2877,1
1013,1
4006,20
638,24
1478,5
2854,0
788,0
2952,8
2840,0
1498,0
4029,5
3976,0
28,1
3654,1
2602,20
3992,0
1283,7
2328,7
3213,25
2578,18
2572,0
898,3
2033,0
437,0
19,0
919,9
3267,1
39,2
880,0
2206,20
299,1
2054,0
405,9
2556,30
3591,20
2210,0
3906,2
3072,19
680,0
1962,8
4074,13
3024,9
3807,8
317,1
465,14
1680,17
254,8
204,1
688,2
3490,0
799,9
1715,12
500,1
3218,24
537,0
2753,25
12,26
1782,5
2844,1
2968,11
2531,18
3088,25
1135,5
2805,4
3503,29
3040,1
529,0
696,20
1544,29
2866,0
2905,29
3474,18
4112,1
1322,25
1366,4
3319,29
1734,0
3805,15
575,1
2584,1
2640,10
1702,17
3797,5
1359,12
1124,10
3566,2
598,14
797,1
2263,20
4057,1
679,2
1819,0
2376,15
1044,11
3981,0
3285,2
3814,1
932,0
1618,0
3709,4
1596,0
3119,6
2379,0
330,1
815,4
3589,20
2568,0
2003,1
1778,24
2435,15
1753,4
1115,26
3661,1
549,3
1442,24
200,1
2601,10
2034,0
2642,1
3363,19
2186,8
1613,3
2224,24
431,1
1026,0
245,1
2417,23
2809,16
3534,1
2247,3
747,10
1433,8
3727,3
2819,1
1993,2
1251,0
301,1
2093,6
1685,0
3110,1
2596,1
1307,8
3043,15
4115,5
3139,15
1065,2
3640,23
3993,1
2670,0
111,14
737,4
731,15
618,0
1144,7
1138,13
2574,6
1840,5
2942,8
4096,26
160,9
2053,1
4148,8
2692,25
1208,1
2766,6
151,20
3666,16
1556,0
3211,7
137,10
3767,25
1750,0
3623,1
2777,0
2853,7
2852,3
7,24
2245,8
3306,2
1721,12
970,0
3016,1
1167,1
3125,0
3007,0
2191,20
1562,11
2897,1
3236,20
2583,24
2325,25
890,8
3581,17
292,12
3333,9
1905,0
123,12
1234,0
1069,4
1602,1
684,6
613,24
3824,25
3732,20
470,22
2251,9
2332,1
2764,0
2477,1
2528,5
2346,8
2918,21
112,2
1080,29
3702,0
1755,3
2965,25
3577,20
673,10
480,8
2292,1
1706,9
1598,8
393,24
808,9
2423,5
2472,2
3453,0
3104,6
1700,0
1188,0
3513,25
2917,28
4036,16
3688,2
3882,0
523,4
2790,8
3712,8
3087,1
3485,1
1085,6
1407,17
1409,1
2752,9
2573,1
3176,0
1358,4
3335,0
2470,0
369,10
2963,0
3257,4
2598,0
3201,1
188,2
3070,1
1987,10
2653,0
1857,16
3691,21
685,1
2023,1
1202,15
3047,0
2832,23
3353,0
2471,14
3445,1
1837,1
2222,6
2823,9
645,24
3169,30
504,0
2203,17
3851,6
1223,3
3986,15
325,9
1957,5
3450,25
1533,24
2933,0
2345,2
1291,4
3901,7
3336,7
2761,26
3543,5
1746,2
3751,7
1615,20
4106,10
1510,1
419,24
