doc_idx,category
5326,10
739,3
3211,8
2738,0
1851,11
199,9
2669,12
4972,0
310,7
5195,4
2372,12
1722,14
225,0
2931,0
5304,9
4143,17
521,4
5042,5
1459,12
5233,4
5405,3
3707,17
4271,2
3564,4
1136,0
2165,1
660,2
2597,16
1977,16
5005,4
1866,12
3509,5
1504,17
51,17
3481,0
271,17
4210,8
5488,3
3168,1
2206,14
414,17
3108,10
1279,13
2652,13
2178,13
5089,0
4879,1
606,0
2169,4
3441,3
4843,9
1305,2
3883,17
4724,17
4583,12
2944,17
743,12
2368,14
2318,0
1375,3
2500,4
5470,13
4598,7
3901,13
5459,1
103,3
3090,17
1401,3
2649,2
1841,3
2608,3
710,12
3499,0
3486,1
800,3
5126,15
5266,18
3256,10
1230,4
2002,6
1374,0
2820,0
1395,3
2720,5
1214,2
4323,17
4663,13
2331,7
3891,3
4899,0
2797,1
3241,1
512,3
1589,1
1207,3
2044,0
5140,0
1345,0
4931,18
3774,4
4412,13
3114,13
4495,1
3273,18
3533,1
511,17
321,1
270,17
3426,4
745,12
1993,2
1210,3
2995,16
1291,2
2430,1
4991,2
3555,6
4003,18
4341,4
597,4
954,4
3484,4
4895,13
3345,15
4190,17
5100,3
3188,9
2765,1
4214,3
1858,12
1689,3
3621,13
4036,13
943,0
2483,3
1608,12
322,2
4525,0
2516,3
3659,17
272,4
3694,7
3,5
2142,0
3578,1
1931,0
536,2
1031,4
3305,0
389,8
740,0
5231,7
977,4
4308,17
3436,9
1987,3
4185,6
2388,2
1111,3
2015,18
123,6
654,14
109,0
1581,0
3692,16
3287,3
4024,2
4649,2
5223,0
805,9
1177,1
3210,3
3525,1
5197,5
4066,11
2918,17
3319,3
2621,0
4510,0
2390,13
3029,17
4838,7
42,9
2228,5
541,17
790,10
986,0
3937,3
4588,4
2686,18
3044,0
5045,4
4820,0
1052,0
3586,2
978,8
3201,8
668,0
3478,7
2687,10
1654,6
1380,0
2590,1
3514,0
4156,12
3457,13
1018,4
4566,4
1521,0
337,15
3552,10
1215,0
592,0
1051,1
2862,1
2524,5
4082,17
3130,0
468,14
2213,3
595,12
1255,3
3314,0
4059,3
5193,1
622,17
4576,13
4337,17
4679,0
1688,9
3826,2
1576,12
4551,14
5099,2
3318,5
3471,12
2083,2
1485,4
5340,17
3227,6
1034,17
1004,7
5262,3
3798,1
1472,18
797,1
3685,17
1588,4
522,4
3566,17
5230,1
1142,16
1934,13
4163,3
3290,2
3466,3
28,0
309,11
2075,2
2105,9
4230,9
1319,17
1011,2
2031,1
918,3
5190,17
4748,3
3016,12
4415,3
3014,0
4953,3
4582,4
1371,14
852,2
41,2
1430,9
1028,3
4536,13
369,0
4568,0
2032,3
5162,7
1480,2
3574,13
4233,7
5455,14
2150,14
314,2
2399,1
2679,3
317,3
3181,3
3928,3
3825,1
2267,2
4353,9
2894,7
172,2
1132,18
3630,6
1761,3
1457,2
5109,4
5426,7
1754,0
713,3
112,3
2772,3
730,0
2872,7
3386,3
259,3
2785,0
4084,0
1294,3
1596,13
1057,12
4554,13
1237,10
2182,7
3616,3
702,13
194,12
1902,10
115,18
3560,1
4541,2
1225,12
5271,20
4667,3
627,2
5006,17
108,6
2411,14
3427,14
4830,1
545,9
1770,17
5205,11
5239,9
4555,18
4268,3
2976,2
5287,3
3841,0
2442,5
555,12
5040,10
4103,17
2118,10
3294,8
1675,1
1188,3
2290,7
4703,19
656,10
3511,19
2640,0
2347,15
2611,14
3576,17
1668,18
5370,1
4992,5
887,3
1192,17
385,3
4229,2
2236,11
3992,3
4643,2
3758,3
2279,14
1488,4
3886,3
1327,4
4730,1
3700,2
2757,11
5379,5
3149,5
4171,1
5063,0
5117,9
868,3
1344,17
3590,1
1277,0
5284,3
4574,2
393,7
2973,0
5129,3
436,10
2725,6
3545,5
771,3
927,11
2626,3
3110,0
1064,3
2100,5
4015,6
3437,9
1784,7
4093,2
3733,1
1354,11
3022,2
4284,0
2533,0
1335,2
3138,17
579,0
4668,0
625,1
3976,17
1074,14
2566,12
3605,4
2948,3
991,0
2794,10
4806,17
3214,18
1837,1
3082,3
3902,4
1054,4
192,6
5196,0
4655,8
1920,0
4044,17
2958,7
4030,0
2542,3
2314,4
1698,3
3795,9
854,13
5357,18
373,3
1483,2
2751,7
1868,0
568,6
3662,4
567,5
2876,0
3453,7
1572,3
3469,8
1162,10
2960,8
2814,9
264,4
2717,3
2043,0
1065,3
1530,19
3703,3
1247,4
4119,17
4754,14
5358,9
4698,1
425,1
2660,3
1563,3
54,0
888,12
1577,0
2172,2
2470,4
1795,6
2645,15
47,5
1681,8
3234,2
3964,1
3043,14
3420,6
4081,0
4409,0
2471,3
5175,0
2338,17
1399,18
333,8
4933,14
1037,2
1033,1
184,1
1777,1
3392,1
5187,0
1041,0
2837,1
1523,10
5171,11
636,3
3805,1
4898,3
3557,6
3380,0
1150,6
1388,2
3080,5
935,12
3333,16
3034,1
1091,10
5268,17
3954,3
4544,14
419,3
4281,2
2090,7
3147,0
1396,4
3107,3
4019,18
1023,1
2599,0
2740,0
4243,7
562,17
4005,14
3949,0
3490,10
3489,10
5332,7
3919,3
2696,4
3157,5
1791,13
1913,2
930,12
5222,6
1861,2
1677,3
1870,1
452,17
3235,5
301,0
1442,4
4688,2
1598,3
1897,0
634,18
2138,5
3003,0
1178,4
3073,17
4498,2
2648,0
2408,3
4795,13
1232,0
3930,3
4928,1
4331,3
5238,1
283,12
1928,9
4140,0
170,17
1515,3
5432,0
3153,4
74,10
1482,3
758,16
5265,1
5214,0
318,17
45,2
1275,12
3343,0
682,17
5354,5
3777,4
850,0
3454,9
2556,1
2000,18
3896,3
607,3
4270,10
2589,1
3092,1
2437,0
4878,7
5385,3
377,1
2117,3
4818,8
3796,3
2109,4
3390,17
4951,3
1473,4
2429,17
4610,5
506,0
3278,3
1776,18
1161,0
2580,4
27,0
4262,0
5245,4
1816,6
3145,3
1015,1
2280,3
508,0
4437,0
951,13
513,13
4302,0
1678,17
308,6
4521,7
5177,1
3351,7
4425,13
2250,15
4852,3
3292,4
3921,4
4918,12
3626,0
843,0
352,0
4237,11
3072,2
2709,3
1615,12
3963,0
742,6
4664,5
857,11
2705,3
5103,4
1224,0
3200,2
4743,2
4380,12
1022,9
4470,5
3023,1
2700,14
1647,17
885,4
1469,3
4088,5
3081,1
1491,4
2317,6
4526,3
5132,13
127,3
1280,14
4603,1
1484,3
2287,5
4329,15
1143,0
4261,0
2604,0
1724,0
2319,8
4755,12
3958,0
1951,4
4745,6
3872,8
3418,1
1635,0
4834,1
275,1
859,6
3116,3
1715,9
3867,3
3446,17
3971,4
564,9
168,14
82,0
2571,0
3198,0
1832,3
5028,0
4900,2
5328,1
1939,1
4074,4
2880,1
2664,3
4350,1
4829,1
2629,6
1962,7
4311,8
338,9
672,18
5221,1
5122,3
5141,1
3723,4
1750,10
565,14
4888,4
507,17
3152,9
5390,11
1049,0
1206,6
3900,8
4794,2
4481,19
3049,5
2192,5
4376,1
4071,18
3249,10
3327,3
4841,0
2014,3
3057,0
355,2
3970,9
838,12
3098,14
3185,14
948,3
5033,1
3974,5
2961,17
2489,3
4369,12
3055,3
1093,3
4870,8
408,3
1938,0
2596,0
2215,0
4633,0
3389,3
3762,6
1382,11
4223,4
3089,3
