doc_idx,category
4381,2
265,1
2283,5
2266,8
4209,1
3748,1
2603,6
2579,4
1105,0
2971,1
3683,1
951,6
2326,8
4445,6
2479,9
3026,1
3794,1
1962,14
1631,0
2069,6
4292,6
1961,6
2143,11
145,1
994,8
2222,7
659,0
4069,9
1589,1
479,1
413,7
3858,0
1238,5
125,2
3716,4
1402,1
1863,2
1208,12
2421,1
1528,7
2009,10
657,4
3561,0
355,2
2521,5
607,0
2335,1
1032,0
1483,1
1016,0
4399,0
435,9
3011,0
1447,14
2541,0
3883,4
3795,1
1251,0
3421,6
287,0
3861,14
502,11
1218,1
3313,6
4087,4
1469,0
404,1
2983,0
2822,6
1434,4
1666,6
2860,5
623,1
4374,12
2142,2
3370,1
2285,12
113,10
1068,9
702,1
108,2
1452,14
1410,0
2772,0
3323,2
1834,14
841,1
3502,5
3328,6
2176,2
3152,0
347,14
2113,5
3009,1
642,2
2456,0
4158,11
469,6
3226,1
1822,6
2935,1
4050,5
4456,0
2966,1
3010,0
3801,8
1577,5
1759,12
2818,0
227,1
3911,6
2919,11
163,9
207,0
912,7
2544,7
3053,0
3298,6
1504,10
945,0
1429,8
3256,1
2123,7
1379,7
3977,2
4233,5
301,5
90,0
3887,1
2211,3
1164,1
1773,1
3809,1
528,4
781,0
2608,2
4141,1
1551,12
3308,5
4407,5
3854,0
1192,1
1011,5
2781,2
3405,0
4023,2
3828,5
1353,5
4270,1
1510,0
3940,6
384,3
4326,1
4112,1
3074,5
3153,7
4336,7
547,4
4352,4
1381,4
4212,5
1695,9
2777,1
229,0
2802,2
1707,0
3083,8
3190,15
963,15
11,1
2184,2
3695,11
2442,3
1713,9
999,9
3686,4
2744,1
2906,15
4252,10
4073,0
3668,5
3305,0
2337,1
434,15
3816,0
2416,9
3783,0
4230,0
1188,5
2745,5
4355,1
2593,3
121,0
3147,4
4274,6
1216,1
3043,14
4015,2
1191,0
4181,0
2016,2
1269,9
731,0
2968,2
1419,0
3684,0
2249,5
3571,0
1895,0
2869,1
2060,2
2497,15
560,7
3172,12
1540,2
2474,2
3529,10
1842,5
2440,0
4162,1
1616,0
2946,1
833,5
2128,15
3165,9
2656,0
2526,1
1761,12
2351,7
1301,0
3516,14
1217,9
328,0
3296,6
2845,15
96,9
1020,0
4256,0
4454,15
433,1
1740,5
3121,11
959,0
2111,1
3784,11
567,5
3757,0
1705,9
329,1
1324,4
2742,2
3904,2
1163,2
292,0
4449,0
365,2
2624,5
44,5
3587,14
191,1
995,0
3620,7
