doc_idx,category
1124,3
598,6
1661,2
485,10
1076,6
1160,0
756,7
1548,2
702,0
1321,8
625,3
1700,1
276,6
1006,5
1643,7
349,0
662,10
473,0
319,2
867,0
1489,3
1314,5
36,1
1199,3
689,4
1055,6
945,3
599,6
89,3
1214,6
812,5
752,8
1083,10
891,6
899,7
478,7
1696,7
634,5
508,4
438,5
1460,3
275,10
1383,10
1485,2
1497,3
1026,4
1225,7
328,6
1146,3
1179,8
464,2
1719,2
460,4
1408,4
1174,1
659,2
1695,6
716,5
317,6
270,2
790,3
1287,8
1625,5
908,3
231,8
365,6
1664,4
532,8
569,4
1226,6
1090,1
1072,3
924,7
81,2
1268,5
1050,5
848,4
1578,10
1645,5
730,10
1399,2
808,10
977,5
1699,1
1256,3
1605,10
289,3
298,6
1555,2
1608,7
364,3
1447,10
1263,7
604,1
539,5
1266,6
1315,10
838,1
171,2
240,3
474,3
612,3
1156,2
938,2
1255,7
107,10
1422,4
158,2
996,3
132,3
118,8
888,1
1352,0
896,7
247,2
1186,3
1512,6
548,5
1647,3
614,5
206,4
79,4
1710,4
1257,2
682,4
263,4
433,2
1557,10
367,5
747,2
57,10
482,0
1305,6
549,7
1165,3
585,2
381,10
189,6
1539,2
1173,2
862,8
849,10
221,10
602,7
1412,8
841,6
1564,8
1338,2
1142,2
1144,1
1028,5
113,7
650,4
1546,0
416,0
296,6
12,4
1293,10
377,8
1136,0
1237,5
777,4
1693,1
1008,0
342,8
749,6
944,6
1683,7
197,6
1500,7
1574,4
1310,6
636,3
278,7
949,0
1685,5
803,7
258,6
997,10
390,10
358,3
1169,2
1063,1
1628,2
1620,10
1162,1
666,2
38,10
1538,10
631,2
1527,4
1509,1
1128,10
976,8
699,10
1117,10
528,2
251,7
561,7
1312,10
439,6
692,2
1626,7
1544,2
615,0
198,3
483,3
18,6
916,1
1005,3
1590,2
361,8
389,4
493,2
1582,2
1414,2
581,3
4,3
1459,3
851,6
76,6
595,3
1056,0
565,3
246,0
1397,0
1519,3
1078,3
151,7
1242,0
1240,10
965,2
68,3
1125,6
262,5
1723,2
742,1
1467,8
1010,1
487,5
1348,3
1039,3
948,10
652,8
877,7
975,2
66,1
718,2
434,0
180,10
423,4
299,7
1410,0
1688,2
281,0
963,3
1387,6
969,7
1219,1
115,2
509,7
1221,5
1492,10
1715,5
187,1
1431,3
767,4
1499,3
926,7
770,7
497,5
1212,5
471,3
793,5
184,1
326,3
42,1
261,0
653,6
33,3
731,8
1380,2
453,7
370,6
384,4
1159,6
1660,2
325,10
1589,7
72,10
1469,7
1423,3
215,8
1619,5
1694,8
589,0
1363,4
646,5
955,0
1270,7
1046,7
762,8
492,7
821,6
606,7
347,8
291,2
35,5
930,3
1079,4
1252,5
1547,6
443,5
1515,10
1002,10
441,6
1130,10
881,4
547,4
1730,6
1736,3
112,4
181,7
1521,3
150,2
267,8
743,4
1744,1
376,4
356,10
1102,0
1668,3
608,6
900,10
617,9
1190,10
882,3
1475,2
724,2
315,2
1236,6
1684,6
1377,10
518,7
1171,10
733,10
853,5
1675,7
1533,4
1215,10
106,7
1153,5
842,5
1516,6
1250,5
437,6
905,4
541,10
697,5
946,2
1154,7
820,7
1018,6
815,10
807,8
1217,0
869,4
954,8
1495,2
1508,2
1623,7
558,2
988,4
852,6
934,10
1617,2
105,2
713,8
1308,6
658,3
1411,5
1444,8
502,1
1259,6
701,5
259,4
272,0
1725,9
186,0
301,9
440,3
1265,7
27,10
1471,6
801,4
1264,0
999,6
1427,2
1188,2
202,7
981,7
1108,0
1013,7
1200,3
907,7
703,6
564,10
449,6
1445,10
407,7
1480,3
579,5
1665,5
1644,3
525,7
1558,2
1581,0
723,3
1443,4
533,5
311,5
396,6
47,6
1211,5
729,5
1433,2
1345,8
136,3
468,5
1283,7
613,5
209,3
446,10
99,3
1524,8
9,1
844,3
1357,9
194,3
985,0
939,3
101,4
621,2
431,1
854,2
895,3
947,10
297,8
972,0
327,8
1523,8
781,7
858,10
681,6
1158,7
678,4
1123,5
982,3
1503,2
1209,3
1669,4
1537,3
1289,10
1044,8
1559,2
425,8
426,5
175,0
774,4
1288,3
1334,10
1275,2
970,3
1367,5
1655,7
465,10
543,2
507,10
1483,6
1407,2
227,3
917,2
1118,6
456,8
639,1
1080,4
672,6
787,2
1203,10
555,4
61,5
1743,10
512,2
385,7
141,1
1195,2
913,10
1624,8
656,1
624,2
305,2
0,10
1087,10
1705,3
1043,6
894,2
1466,2
1053,9
800,1
145,2
1470,7
952,5
671,4
1740,3
1037,5
174,3
329,5
196,2
799,3
745,1
884,2
321,8
1583,3
201,3
155,1
56,0
1047,5
552,10
1455,8
1611,2
1603,3
398,10
892,10
404,1
1360,7
591,3
288,3
348,0
1344,5
933,5
256,0
779,2
769,2
1712,0
208,5
322,10
1390,7
1300,10
220,7
1091,6
248,3
575,10
802,10
1734,10
829,6
866,3
127,7
1085,7
1269,3
1402,7
1065,7
605,1
1175,6
309,3
110,7
1016,4
332,10
876,3
287,5
19,10
346,2
794,6
780,3
391,2
489,0
417,0
1324,1
412,8
1003,2
1245,1
23,4
273,7
477,2
1147,5
626,6
584,2
1594,10
927,2
43,0
1036,4
1690,2
436,5
159,6
245,6
1074,4
230,5
1224,7
1393,6
352,0
1189,8
554,10
237,7
534,10
292,0
1228,8
546,2
1340,1
1478,4
861,0
674,6
609,6
1731,10
859,5
523,10
95,3
610,5
120,10
250,3
479,7
765,10
1297,2
1366,10
405,7
1614,4
1106,8
594,3
24,2
459,3
618,2
1464,2
333,4
491,4
760,5
182,10
30,6
454,5
369,4
1282,2
1244,6
868,5
732,0
1320,4
501,7
1192,6
1238,5
553,7
1277,4
1556,7
937,3
1507,0
1596,0
1702,3
1086,8
117,0
1649,2
989,3
410,1
60,7
878,0
1637,8
784,10
14,0
1110,1
1413,5
921,3
630,6
54,6
188,7
1218,10
293,1
1099,10
1606,8
484,10
154,1
875,3
856,8
78,8
664,3
1045,5
1095,4
255,2
260,10
