doc_idx,category
705,0
739,4
1956,3
1551,5
161,2
2469,3
1042,6
839,14
2631,8
547,3
2847,9
2388,11
506,4
36,11
1457,13
859,8
1499,3
2672,0
2927,4
2042,7
842,9
1493,4
2919,1
1776,11
1641,2
517,6
1710,12
788,2
940,9
2027,7
921,0
427,4
1717,4
1597,13
1374,4
21,7
1869,7
211,4
2466,15
1662,16
1699,2
2685,5
324,6
2319,3
1527,0
1222,1
2686,0
218,7
2289,7
1532,13
2650,10
1225,3
2213,4
1131,0
1034,4
2818,4
967,15
656,13
418,4
1515,6
207,7
2546,1
2357,9
1619,1
2457,3
2769,4
537,2
1168,5
2602,11
2252,7
2129,12
1976,6
2241,2
2284,8
117,11
196,13
742,4
2632,10
2391,13
639,12
23,0
1076,9
2683,4
2063,11
2922,7
264,11
2376,0
221,3
2031,9
815,3
224,2
766,12
2616,8
2461,6
2111,0
1728,15
2878,0
1927,4
810,2
1152,3
2166,0
1754,0
2781,3
876,0
465,2
1341,4
44,0
1085,0
2220,9
31,2
2024,12
2881,1
15,0
1362,4
69,11
2657,0
768,0
1938,0
2265,4
2256,14
2669,0
1909,4
2273,2
1544,11
586,7
2448,0
2705,2
2965,13
388,1
529,9
2474,6
2634,10
2964,11
2824,15
2821,12
62,11
1845,8
475,3
1755,3
2025,0
310,0
1142,3
1332,11
1793,6
2775,3
1698,1
2097,0
2589,4
1965,2
2485,2
1543,1
972,3
1083,15
1807,11
431,15
1809,10
2760,0
1666,14
2960,9
687,0
330,0
1431,13
2201,6
2231,4
1941,4
675,0
50,2
24,0
421,15
2908,9
515,12
2732,0
464,6
778,4
2660,4
2923,9
1345,11
2799,0
1579,0
1472,0
1848,0
1866,9
323,3
2355,8
1250,9
2721,9
194,7
882,0
1135,4
868,11
2890,6
1520,7
135,13
1535,4
366,10
2633,5
2223,4
1997,3
1966,2
1378,2
2105,0
2585,4
2348,11
1933,11
1539,2
237,6
1886,0
527,7
1936,0
1489,4
2896,13
2207,9
351,2
1836,3
228,0
165,2
814,0
841,0
27,10
950,7
1928,11
2190,4
855,0
