doc_idx,category
2575,0
1140,0
1341,10
1507,-1
1906,2
226,0
1653,2
2116,15
1905,0
224,13
1137,26
1448,13
2534,-1
1691,1
1374,9
36,2
1480,13
2730,15
890,0
537,2
1408,2
625,8
766,9
2695,0
893,9
62,1
1819,8
1785,14
2646,12
1551,21
1991,9
310,0
1999,0
2641,3
2608,1
2223,6
1263,0
1176,20
1053,20
23,12
763,15
2378,5
1219,21
330,13
2693,0
483,0
852,16
2806,9
2305,13
196,6
2204,3
2274,1
1495,1
2393,0
2068,0
1057,1
1420,13
369,0
161,16
1168,10
2416,0
1097,4
794,8
1042,21
2097,0
1270,20
2552,2
842,9
2612,0
525,11
2457,0
27,3
1539,10
388,27
780,8
503,21
1683,0
2146,10
1757,1
2978,5
406,4
2452,6
2094,0
465,1
2922,3
967,0
2413,16
1721,0
2069,1
2210,10
2592,1
535,4
211,12
1686,14
21,12
2299,14
2279,0
839,11
230,8
975,2
2655,8
207,14
1717,16
2560,10
2996,11
1806,14
657,1
1712,11
841,8
2381,2
237,0
672,0
850,15
2216,3
1946,0
2991,4
1971,0
1466,16
1875,6
366,0
1736,0
1657,15
778,19
2149,4
1020,8
427,13
2685,6
517,0
2060,8
974,7
2903,4
1369,9
2409,17
639,24
1585,0
1364,0
1893,3
845,0
1862,0
1373,0
221,13
2569,13
627,13
2482,7
2004,5
7,6
630,0
1523,14
946,2
836,7
324,15
1033,26
2168,20
370,3
2681,0
1791,5
2514,9
2812,20
688,3
2453,12
362,7
117,7
875,16
628,0
464,10
1907,9
2728,9
1613,5
2238,4
1980,13
264,2
1016,13
1958,0
1698,5
44,26
2067,4
1160,0
31,4
1863,10
2241,1
24,1
2845,2
533,3
698,0
1002,1
1796,21
2666,12
1410,2
1437,10
394,12
2914,21
1685,14
2031,10
840,5
2117,20
1594,14
546,13
1892,4
351,5
1297,8
15,0
2153,12
1666,14
69,9
2680,0
2734,0
2118,0
1945,26
304,24
2014,5
2926,7
2691,8
1735,20
1288,10
2180,0
2115,9
2607,0
1257,9
828,10
50,0
2652,12
681,5
1151,0
2191,5
481,7
1445,12
194,16
2487,7
2113,7
1264,4
1949,14
135,14
2175,0
739,0
536,0
872,21
