doc_idx,category
1163,8
656,0
973,12
1184,2
347,13
537,4
520,9
1116,8
1694,11
430,6
57,7
1638,11
1801,7
1612,0
1411,10
1781,7
1071,2
73,7
952,9
240,2
455,3
896,11
1794,7
1868,4
1668,7
1054,3
1221,10
220,6
1915,6
1510,10
1237,1
693,3
679,6
1047,3
74,7
1368,12
1201,2
1337,10
1708,6
1803,4
1373,3
1669,7
1320,5
89,7
1766,0
764,5
1865,4
312,1
783,5
1137,2
901,11
52,2
708,3
203,0
1789,7
828,13
206,0
1024,9
1114,8
54,1
70,7
298,2
895,11
1925,6
1973,15
1717,6
1257,9
1080,0
1342,10
872,6
1502,10
1064,3
358,13
1325,0
1489,3
1044,3
1482,3
1523,10
1519,10
950,9
735,12
1883,1
1943,5
824,13
928,12
205,0
1894,1
1542,6
1757,12
66,7
1944,5
969,12
1162,8
762,5
1357,3
1747,10
285,2
411,10
1750,10
1166,8
538,4
898,0
583,3
324,1
447,10
1631,11
660,6
740,1
900,11
507,9
1404,10
506,3
1618,0
462,10
385,2
481,6
1531,6
1376,8
1916,2
1855,4
1213,10
566,3
440,8
469,6
262,2
801,5
1648,11
1945,5
1354,10
1674,7
1817,4
499,8
519,9
1292,4
1585,6
858,10
817,13
1364,3
494,6
834,13
664,6
51,1
195,0
1000,13
200,0
113,4
975,12
36,1
1288,3
1664,7
1525,6
1084,12
1366,3
1356,3
1509,10
137,9
1271,9
1498,10
378,2
451,8
1535,6
1583,6
330,1
126,3
1453,10
274,10
1654,7
373,2
1021,3
443,3
1308,5
1565,4
1974,0
1825,4
1889,2
535,4
1609,1
1593,6
966,3
902,11
1446,4
3,2
751,1
1702,6
1459,10
1960,0
1726,3
243,2
530,3
416,9
1576,4
1649,11
1488,3
903,11
339,13
1416,3
396,4
546,4
1204,3
224,6
1767,2
1490,10
1554,1
1081,0
345,13
1557,1
737,1
799,5
1952,5
1658,7
1539,6
293,2
1676,11
1507,6
331,1
93,7
128,3
1610,4
1491,10
1231,1
357,2
130,3
981,3
232,6
360,13
524,3
989,12
452,3
1924,6
1527,6
935,9
680,6
1272,9
1215,10
528,4
1208,3
32,1
1189,2
1154,8
1467,10
1660,7
1673,7
267,7
716,12
168,7
761,1
1511,10
1073,5
265,7
1773,3
332,1
904,11
1714,6
586,0
1955,1
1371,2
1931,6
29,2
1140,3
449,3
1247,1
723,12
1792,7
1538,6
1321,0
684,6
727,12
1395,13
1652,4
1234,1
1068,3
399,4
1311,5
1299,3
852,0
1167,8
1438,4
687,6
190,0
1712,6
498,9
1475,1
611,11
594,0
53,2
1022,12
983,4
757,1
448,10
749,1
1540,6
694,0
407,4
570,10
990,4
258,2
1587,0
908,12
1405,10
612,11
1532,6
1728,10
1046,3
531,4
1893,1
1059,3
927,12
579,10
714,12
991,13
1199,9
1553,1
219,6
1190,3
1852,1
104,4
483,6
644,11
1768,1
1878,4
24,2
1079,0
1129,2
1483,10
1573,1
1959,1
109,4
1969,1
1122,8
279,7
1398,13
1146,2
982,12
1718,6
850,1
1317,10
133,3
1721,2
525,3
1905,4
124,3
1345,10
1314,5
961,9
99,7
523,9
1639,11
1123,8
844,1
1255,9
1479,7
158,7
474,6
1506,10
1422,10
1273,9
304,2
1078,5
461,3
1922,6
1913,6
1016,13
1656,7
671,6
1850,2
1301,3
85,4
365,2
1902,2
729,0
390,4
177,0
294,2
616,11
691,3
489,6
905,12
1195,3
633,0
607,11
1278,9
1873,4
147,3
1872,4
1895,1
394,4
704,3
711,10
1433,4
1874,4
1707,6
405,4
37,1
1970,1
1374,8
1619,1
622,11
1175,8
1303,3
212,6
1733,10
432,6
1720,6
1461,10
787,5
916,12
1626,4
1168,8
1380,13
997,13
785,5
225,6
1670,4
804,5
1198,3
944,9
55,1
854,0
1575,1
1908,1
1262,9
1567,1
712,3
1949,5
1113,8
15,2
1058,3
1172,8
30,1
19,2
1095,12
1630,11
1912,6
1145,10
1891,4
393,4
707,3
185,0
1127,10
1001,13
1536,6
759,1
703,3
238,2
1050,3
466,3
202,2
569,10
207,0
1603,6
841,1
876,3
1601,6
1568,2
276,7
163,7
1835,12
1144,3
62,7
215,6
1543,5
134,9
1761,12
1148,2
988,3
1017,13
836,0
1569,1
100,7
392,6
1480,10
1439,4
1699,11
261,2
1377,10
1194,2
1060,10
1335,10
653,0
218,6
825,13
1840,1
1752,3
436,6
1796,7
264,7
1514,10
822,13
1112,8
675,6
1530,0
1634,11
554,4
1282,9
1133,3
1169,8
230,6
1275,2
585,6
1031,3
313,0
1075,12
1967,0
811,5
1002,13
152,3
25,2
958,9
111,4
77,7
700,3
1352,10
892,11
310,2
676,6
595,10
367,2
575,3
917,2
22,0
79,7
1598,6
849,0
1176,8
588,0
968,12
1681,11
1387,13
1844,2
40,0
410,0
1520,10
1407,3
496,9
389,4
667,6
541,4
626,11
874,10
725,12
617,11
1388,13
1091,12
1462,0
1323,0
1238,1
1391,13
1737,3
646,0
181,0
157,7
1417,10
467,3
669,6
603,6
857,6
1476,0
1499,3
1435,4
404,4
315,0
387,0
138,3
1118,8
1703,6
1685,11
1097,8
1,1
376,2
719,12
1481,10
34,1
731,12
470,6
1774,12
1957,7
1672,7
911,12
752,1
800,5
153,3
361,11
678,6
778,5
860,3
1183,3
1316,5
806,5
1559,1
94,7
1012,13
155,3
992,13
1126,3
1736,10
1853,1
1547,0
792,5
1807,4
78,8
402,4
1309,0
1845,0
1074,2
636,0
623,11
1343,10
654,0
775,5
227,6
379,2
1401,13
907,12
1578,1
634,0
333,13
1941,5
125,4
597,7
1562,1
259,2
1249,1
1450,4
318,0
706,10
1289,3
82,7
1678,11
1132,10
253,2
1848,2
1421,10
68,7
830,13
1549,6
591,0
582,10
1434,4
56,7
1635,11
698,0
1675,7
284,2
996,13
985,8
1305,3
951,9
370,12
108,4
1879,4
91,7
123,4
696,0
1111,8
80,7
340,13
427,6
1393,13
229,6
471,6
702,1
464,10
1636,11
567,10
846,1
1624,4
364,2
1775,12
1442,4
1180,3
1256,9
906,12
1099,8
734,12
1686,6
197,1
1754,9
453,8
1327,0
1529,5
1867,4
823,13
1544,6
12,1
1448,4
918,12
1749,10
103,4
539,4
1105,3
1886,1
268,7
890,11
739,1
256,2
1246,1
627,11
1088,0
1954,5
1739,10
500,3
1730,10
1470,7
1934,5
1501,3
807,5
802,5
1928,6
1264,9
718,12
1691,11
1087,12
1772,3
808,5
1929,6
878,6
1627,0
1834,2
247,2
1426,4
924,12
1882,3
375,2
17,1
1776,3
1332,10
1897,2
1260,9
855,6
1516,6
833,5
343,13
454,10
797,5
1023,9
695,3
234,2
1209,10
668,6
159,0
728,12
986,12
1370,3
1876,4
1212,10
1240,1
754,1
369,9
1595,6
963,0
628,11
601,6
