doc_idx,category
2682,0
3663,0
4066,4
261,5
1334,11
4191,5
3893,0
4039,3
2384,6
4128,7
541,10
2826,10
3512,3
4176,0
710,1
870,8
2497,6
3394,5
3903,4
3540,0
4243,6
2518,0
4067,9
126,14
2454,15
1615,10
3859,1
881,4
1792,1
179,9
759,4
2720,3
163,0
392,2
4000,13
328,5
2320,1
3649,0
4073,1
478,10
3033,5
4476,5
2426,4
828,1
680,10
3841,5
2025,11
495,10
1005,4
1793,8
1574,9
2622,11
2166,1
2774,14
4360,0
1418,14
551,4
2579,1
1583,12
1844,7
1080,5
2340,5
1049,4
120,3
2456,2
2124,10
1967,14
4205,8
1686,1
3269,9
1553,9
3807,5
3878,7
1995,10
2175,14
1627,8
240,6
4260,14
4438,4
1973,4
612,7
3324,6
1367,14
3879,7
2042,3
1677,0
1548,9
3175,15
2421,8
332,7
150,1
2764,6
3722,3
655,10
1879,1
3475,5
3896,1
180,8
3082,15
4406,8
3672,11
4211,7
1050,1
2520,11
2566,6
947,13
4209,10
4278,7
2306,6
3044,14
1169,1
2693,1
1869,3
2989,12
3734,14
615,9
2724,0
4044,4
2568,5
1388,1
1569,9
1475,1
365,5
212,4
2810,9
2040,11
4415,11
1862,11
668,7
2479,1
4289,5
1309,15
1680,1
4402,2
2739,1
1208,15
389,1
4393,10
1915,7
966,15
3836,3
2955,10
3001,15
3266,1
1681,10
2889,15
1501,5
2287,7
2430,1
3410,14
1594,0
3620,15
1319,5
465,6
3152,0
3963,11
298,1
181,6
4104,6
1889,0
3727,3
1691,5
2727,4
2598,1
4283,10
2561,8
3147,0
854,7
2378,3
3586,1
2483,10
1029,6
2435,7
2760,1
1282,7
3767,4
3306,1
3499,7
577,5
3327,6
3832,1
4249,1
4093,10
2352,4
2107,11
4182,10
3524,4
276,8
3824,6
3678,8
2901,5
3476,6
1172,4
2425,4
2806,5
2816,7
1402,1
1180,5
3083,6
1200,5
1310,0
1831,5
1397,4
3279,6
3985,5
2983,8
3919,3
961,1
1272,0
3570,12
3945,4
2101,6
2276,5
1435,1
190,1
664,0
1758,8
4444,1
87,8
1949,0
572,0
375,1
2630,11
3119,3
2181,1
1426,5
2137,7
2441,10
2381,5
63,8
3674,1
3064,6
2748,3
3262,6
691,5
2162,14
3160,0
4030,5
3014,3
907,5
2310,6
2732,1
4214,7
3525,11
3132,0
4071,7
2882,11
50,3
3018,13
3497,3
706,0
925,6
2651,5
2273,4
124,6
955,1
2924,0
2649,11
3597,1
4344,7
2902,14
3073,1
2913,1
3736,1
711,13
4185,7
2154,5
4391,5
4290,1
347,6
17,6
2627,13
3077,4
4010,5
2006,4
1197,7
4141,1
1666,10
3297,1
2837,10
2995,1
1571,5
3606,8
3109,1
2369,6
3356,0
531,5
2898,3
1598,11
1246,14
3810,5
2327,3
3505,11
2266,12
1248,13
4161,11
1167,1
1896,6
926,8
1278,1
3364,4
3391,0
1808,6
1795,0
2104,0
720,5
359,15
848,0
1358,1
2531,0
2744,0
538,14
1247,0
4470,8
2554,15
4343,6
201,4
200,10
4149,0
2204,10
4461,0
106,1
4341,10
3067,5
2288,7
4203,1
2076,4
1476,11
404,8
752,3
514,14
1075,1
437,10
666,1
304,3
239,12
3555,11
1979,7
1980,0
2947,7
644,0
1124,1
2213,0
1224,6
4354,3
1212,1
402,2
3983,6
145,9
1908,10
523,7
3239,1
331,10
2704,11
2623,14
2244,15
262,5
626,4
225,3
2796,0
2268,1
1377,4
64,10
2080,6
499,0
2550,1
740,9
799,4
867,1
356,1
2280,8
4017,6
2375,8
4099,4
3177,8
1687,1
2478,0
3929,6
3799,13
4404,3
1699,6
3833,11
3443,1
2039,3
3483,7
3856,5
3140,0
1460,1
2728,11
85,5
3637,4
3771,5
1331,3
1113,4
1081,7
879,10
2433,13
2569,8
1455,6
3958,15
4167,11
1923,10
218,1
1039,7
3972,10
386,1
1051,4
2742,0
3502,3
4291,5
3336,10
1352,1
1375,10
2517,14
434,8
3536,3
1028,0
3777,0
1401,10
291,8
1707,11
2570,15
51,1
1154,3
157,4
1201,15
8,1
36,14
1174,9
1618,11
3408,1
2584,6
4111,9
917,1
2529,1
4459,13
1925,1
205,6
7,5
3231,4
2285,1
3009,10
1828,14
3506,8
685,1
2360,10
483,6
1976,4
801,0
3385,3
3404,11
3299,11
2437,2
860,3
4231,15
4005,7
2102,14
2514,1
2634,12
2388,10
3207,3
2200,0
2966,5
3607,14
1340,6
1285,0
178,5
2828,1
3724,5
3150,6
2379,7
4008,5
2617,4
455,2
1678,14
405,10
2212,1
3579,10
3155,1
2136,6
526,1
2987,0
2673,4
3538,7
4308,1
4366,10
1353,6
2988,14
3788,15
2833,10
2511,5
2766,4
2045,5
3857,0
3338,11
4113,3
2544,0
2628,3
2736,11
341,4
3288,11
432,1
585,1
813,1
1361,7
2290,6
3978,1
1784,5
547,4
741,13
3932,6
3045,8
1485,7
3252,10
122,0
4269,3
546,1
4372,2
2178,0
295,2
1997,7
4338,8
1382,1
597,15
3928,1
2859,1
3004,5
2851,4
950,5
24,8
2555,1
2884,1
2129,8
2580,8
3870,4
1459,7
2631,10
1060,14
1261,7
3617,1
1818,1
1198,6
2659,4
1157,5
2866,15
1098,4
3110,4
3171,10
1087,0
507,14
2893,10
3942,3
4147,0
1150,15
3412,5
3851,11
489,0
2468,6
901,12
3871,1
702,11
657,0
2405,7
3915,4
462,10
849,1
781,0
1974,1
3413,14
3591,0
3465,6
719,1
153,10
810,4
3455,1
1610,11
34,7
3059,11
369,1
2635,3
3216,4
3444,12
659,13
1519,11
885,8
1696,1
2361,11
570,6
112,9
3168,10
424,15
3615,5
1433,1
2690,2
1906,1
4405,15
3625,0
594,8
2537,9
1807,10
3164,8
1431,0
1522,8
4420,4
2892,1
3534,1
4286,4
2255,6
3384,0
2219,14
3849,1
3487,0
1267,0
712,4
4047,15
574,1
62,6
778,11
1845,8
306,0
1216,1
821,7
4174,11
2103,3
732,12
1641,11
1530,10
1912,3
3510,5
3347,1
4299,5
569,9
1175,0
2248,7
2156,11
1593,4
141,4
785,1
1620,12
1131,14
14,5
1336,15
2922,10
135,14
1417,6
2176,1
2447,8
378,8
3588,1
1824,11
3694,1
956,6
407,2
1299,15
2757,0
2908,1
2055,4
2110,15
1674,5
1280,6
4261,7
3278,6
2944,8
1472,1
4048,10
891,2
1943,7
2086,2
2153,1
3937,6
2293,0
3797,7
3387,14
2015,8
1893,5
3542,10
4446,6
2030,6
4204,8
892,1
1156,0
4328,0
330,14
3402,10
1317,7
3227,12
2394,3
967,9
3469,1
339,0
2976,3
1097,6
3743,0
1241,6
2024,10
1505,6
2669,10
2236,13
2053,1
