doc_idx,category
605,9
2080,20
3531,5
2332,11
754,9
2559,4
775,6
256,0
3125,0
932,1
3758,2
745,13
4032,10
1479,6
3000,6
506,9
2313,18
2003,7
362,11
1837,6
458,4
2047,4
2333,9
4331,4
1349,6
3883,0
3828,0
3248,0
263,4
896,7
3408,10
3893,6
2201,16
2110,9
1704,6
3882,10
1164,18
960,6
2679,6
3097,1
439,9
4008,9
670,14
2618,14
1386,9
3561,1
1326,7
110,5
65,0
1525,4
2796,18
275,1
3334,1
155,6
2369,0
2039,0
1580,1
2982,1
4039,6
2586,1
3392,9
1661,16
2986,11
3367,0
894,9
1755,20
144,1
3789,1
2338,11
2209,9
1458,9
1678,0
1464,0
731,7
99,5
1379,6
3814,15
1742,12
3585,0
4074,11
1871,6
1586,9
2462,1
3229,9
1186,10
2907,18
2414,14
2185,4
3986,6
1722,0
1738,10
3026,13
2515,17
2203,14
3546,0
1316,5
3955,6
3650,9
2812,9
2531,6
4329,9
2188,1
3,0
1229,12
210,4
2589,2
1945,4
797,19
2331,6
540,16
1584,18
1136,15
4072,11
3290,6
3279,5
2374,0
2551,10
3744,10
2673,9
1508,10
790,7
4172,14
3913,4
1975,6
3330,9
1963,6
2830,5
1165,6
84,1
3317,10
14,9
3468,1
2340,5
130,10
4017,0
3488,6
1273,0
1066,9
2397,7
2092,10
2713,6
3761,10
3910,16
3904,1
2359,20
3812,10
1488,9
3222,3
3366,8
4063,6
3131,6
2981,1
1921,9
3058,11
3177,18
2053,6
270,2
3448,19
548,9
3103,4
3111,6
537,9
206,20
1370,0
356,0
3373,5
3224,16
4188,4
487,11
3495,0
3909,3
2137,0
372,16
2648,0
1336,18
1450,3
2574,5
902,14
3160,9
2335,6
4352,3
478,4
199,5
1854,19
3347,13
3514,16
91,17
121,6
3954,0
1490,3
4205,5
1429,19
1034,17
124,6
1918,18
3780,10
332,9
825,19
2248,18
402,20
1808,5
3336,4
3838,5
323,12
360,15
3057,18
1417,20
2773,6
3967,0
2504,0
1453,0
3159,0
771,0
122,9
4357,14
3635,9
4013,7
2017,9
1958,2
671,6
1538,0
2360,6
2987,10
3662,4
365,10
3799,9
2958,0
63,1
428,18
3247,14
2418,11
746,10
1745,20
2597,9
678,6
2075,6
848,7
235,2
466,4
3194,15
2869,6
2850,9
3284,5
610,1
4276,1
1214,4
1119,11
4213,10
61,7
2256,3
2271,0
1813,1
3484,0
11,11
2785,20
41,4
4363,14
2692,10
3405,11
3451,16
762,1
3202,5
2054,12
2884,9
367,3
2352,7
3305,6
81,19
407,19
2485,14
3323,16
2798,2
359,2
1708,19
1423,5
3480,6
207,15
2995,2
430,20
3763,6
4320,10
2319,11
1418,1
3351,11
870,7
2104,9
355,11
3712,10
423,20
453,14
3172,13
4176,9
2839,9
2578,12
1616,3
547,1
4315,6
3794,17
2298,14
3537,18
1721,9
3075,5
2507,9
313,6
2198,20
450,0
30,9
716,9
2439,5
1799,2
1017,9
2777,6
2949,17
2974,9
59,10
308,9
2391,6
625,12
1192,12
3508,7
3353,9
1054,1
3884,13
3858,9
1014,1
2881,2
3192,7
4164,11
3620,9
730,7
4177,11
3542,9
2905,10
3665,10
4182,11
3768,4
3682,4
806,4
2605,7
2361,9
174,10
1302,4
4281,1
116,5
3029,0
2696,0
4336,3
3082,7
1077,15
2638,4
2457,1
565,15
3433,0
2124,2
2656,14
2315,7
563,6
2208,1
1471,8
3568,2
1954,1
93,7
273,3
295,5
3465,6
3817,20
1272,4
1682,6
140,0
4124,18
626,1
2320,9
2350,12
2466,0
2289,2
2876,1
259,16
4152,19
2827,19
2765,19
2568,2
818,11
1636,11
3708,9
3326,0
2383,12
306,4
1938,1
2346,0
2112,5
1118,16
4343,6
1180,0
1594,0
1502,2
1253,0
2729,8
1230,4
4300,10
397,20
1882,2
1664,0
1719,2
2167,0
3692,5
2476,18
1952,12
4091,0
3661,16
676,18
1335,18
1251,5
4382,12
3043,14
3424,1
4187,2
2247,19
2048,9
611,7
662,7
1038,6
1353,9
231,9
492,6
1314,1
3387,9
3010,6
3206,9
1606,6
2367,9
737,7
3272,7
1115,4
3933,12
1706,0
1213,20
1842,7
2428,11
503,9
2427,2
3157,4
2086,15
2529,12
1726,5
1869,6
96,9
1939,1
2581,11
1128,6
2988,2
3527,1
778,9
4005,11
3491,10
1048,2
2041,1
2829,5
1189,10
4080,9
4243,13
435,3
2787,4
2275,20
2887,5
2701,12
1126,9
2503,10
2038,6
1614,14
1257,5
2142,11
4183,5
2709,15
1776,9
2804,3
1947,2
919,10
909,1
1966,5
505,3
1672,0
2599,4
1780,0
100,9
1449,1
2395,18
1413,4
4327,0
3760,12
1884,15
4181,7
798,6
509,9
1274,1
3656,6
617,1
2896,18
1006,6
3035,9
689,16
2826,19
2500,1
2278,9
262,6
3826,10
1187,11
1117,12
1617,14
1437,7
1893,19
1002,2
2162,20
691,9
3981,9
1676,2
883,4
2672,0
1850,9
2728,10
1531,9
1624,9
153,9
381,7
3460,0
1569,6
1459,18
2159,7
2214,20
178,1
1289,6
283,1
2781,11
1097,4
2199,7
1059,10
1695,5
2562,5
3252,1
114,11
1211,1
1789,9
3142,6
4370,20
3462,4
4095,17
1007,6
924,10
1851,4
1224,9
2456,15
1748,2
3519,6
3557,9
2004,3
2116,18
2892,11
118,7
3916,17
1904,2
3487,18
2537,10
3119,11
4094,0
4279,10
954,18
2168,9
2946,14
4347,18
4165,19
1240,7
721,20
2057,1
1073,6
1361,6
46,1
3073,2
4194,10
3870,10
3095,6
232,3
2156,3
3004,3
4018,7
265,15
2849,9
804,5
858,6
1420,6
2109,1
3238,0
3705,10
1778,4
4303,1
3444,0
4254,19
2860,17
3137,0
930,14
601,0
4372,18
642,5
1065,6
3309,10
3742,0
1092,6
3450,0
52,7
480,18
1444,13
1597,4
1210,9
2087,18
2055,9
4128,5
4207,0
3181,10
1694,0
3006,20
2459,18
1245,9
2975,6
177,9
3777,1
1371,5
139,9
3107,0
3570,11
2825,9
3866,18
1578,9
895,20
3005,3
2966,9
4112,9
4023,1
4222,5
1264,7
2403,9
3666,15
1248,2
2341,16
3419,16
1200,16
832,14
4160,9
3589,18
879,1
2375,2
982,3
3481,11
3786,10
796,10
1994,16
1728,6
726,15
3624,6
4377,19
2452,20
3649,6
868,2
1290,1
2155,10
3275,2
4093,9
4180,19
2127,3
462,18
769,4
1522,6
2190,4
3894,20
2307,18
2511,2
1524,1
3410,16
1063,15
3719,1
3949,9
3384,6
3414,4
4361,3
3857,2
1082,0
2433,2
2763,2
2242,2
55,10
190,18
1088,18
4001,12
1540,16
3143,0
1125,9
3927,10
1642,9
1590,7
1469,6
2393,18
2423,9
1752,11
1099,16
3022,14
341,5
1338,15
720,1
4055,6
3917,14
2831,7
4231,18
4004,16
1301,0
1848,16
892,10
3170,1
2322,7
115,0
161,1
2853,3
2813,2
2107,0
3738,6
2102,20
3169,14
2257,1
3942,17
4042,0
132,4
3878,9
842,18
1448,13
1574,7
1056,2
3316,3
845,18
2517,11
3376,5
1222,0
1004,6
1974,9
2994,0
1943,15
241,11
2571,20
2996,11
2400,1
2917,14
4263,10
2121,1
2569,18
1428,0
1585,2
3014,3
4153,9
3477,0
1410,14
2874,5
2111,0
39,10
4266,2
3957,9
286,7
3929,14
3972,3
552,1
