doc_idx,category
987,2
820,15
1528,1
957,0
273,15
3121,19
81,0
1927,0
2382,12
2141,0
2188,8
728,0
55,0
0,0
1329,9
1039,3
111,0
1502,0
663,0
1916,0
3492,3
1610,0
333,0
3475,8
2386,0
3312,19
285,6
1490,0
2181,0
2108,10
830,13
104,0
1375,14
19,0
2923,23
1826,0
1030,0
1915,0
2061,0
1033,0
1295,0
2784,6
1858,0
293,6
3327,19
3645,0
3321,0
3185,0
2559,4
3548,0
112,0
2514,19
835,15
483,1
999,4
214,4
1936,0
415,10
2425,6
1390,0
1115,0
35,0
1154,10
1052,18
3378,19
2062,0
2853,0
2217,0
3658,0
1616,0
805,0
3026,0
1253,1
2683,0
1102,0
1738,14
98,0
2586,18
2990,1
1387,14
2005,2
3437,0
802,18
2189,0
2287,6
2203,0
1272,2
443,14
634,10
44,0
3581,2
1775,4
1930,0
3287,19
1593,0
919,18
2499,19
1571,0
2285,6
1989,2
1392,14
3380,20
3360,19
362,0
2894,10
1720,14
3577,4
387,5
1876,23
449,14
1779,4
1276,8
3572,0
1735,14
744,23
779,8
2846,10
3076,0
365,0
644,0
1020,7
2858,10
3402,0
2865,0
893,15
1657,3
2056,8
383,0
1761,0
3458,0
706,4
2375,14
490,8
1999,6
584,14
3384,0
1214,0
3104,19
853,0
1092,9
639,10
1175,10
2537,19
1447,27
2543,0
3298,19
1107,9
1731,14
186,0
382,0
769,6
3288,19
834,15
319,6
379,0
2585,23
739,0
457,14
702,8
1470,8
2629,10
2811,22
2039,15
2281,20
245,15
2519,0
1338,9
2832,0
2967,0
1483,0
462,0
283,6
2383,0
132,10
2373,0
2740,6
1542,4
2092,0
2576,0
2155,0
2751,1
252,15
496,6
756,23
2910,0
556,5
2295,8
1993,2
2659,11
291,6
1469,8
1519,1
3202,2
2182,7
3262,23
262,15
939,9
2963,0
63,0
244,15
680,0
2988,0
347,0
3166,0
86,0
974,1
2378,0
763,6
2558,28
3455,3
3099,19
442,0
2758,0
2581,24
1122,8
3042,0
2461,10
3302,0
2261,0
908,0
2621,0
807,0
2464,6
440,14
995,3
3488,20
2544,19
2422,20
883,0
3222,0
2445,0
437,0
1853,0
1422,0
1834,0
1079,0
920,0
1290,0
3367,0
1473,0
1892,7
1733,14
2766,1
915,15
3028,24
393,4
860,6
3473,0
2707,6
1201,14
3481,0
773,6
1676,5
1628,15
3654,0
1037,12
618,9
774,12
3535,8
1113,0
989,0
2898,10
2833,0
775,9
2353,13
3379,19
955,0
2512,19
1764,3
3297,0
3135,19
3595,0
1608,0
3504,6
127,0
3089,19
1445,23
767,0
67,9
3254,0
2069,9
3405,0
1579,0
826,15
3250,16
887,15
2635,10
889,0
1251,0
1675,2
17,0
1174,0
225,4
3649,0
1594,0
730,0
850,0
896,15
3442,0
1902,23
2109,0
2604,0
465,14
2408,0
1010,20
1784,3
1006,19
2243,9
2772,4
2980,0
1597,0
412,0
3555,0
3128,19
3008,4
1388,14
2017,5
2029,8
575,0
1760,4
562,0
817,15
2377,12
184,0
466,14
4,5
3283,7
2667,0
3148,19
1591,0
2709,6
2342,1
306,20
947,0
99,9
2175,0
3080,19
3055,0
1629,3
1508,0
407,10
2940,0
3171,0
2276,20
1235,0
1219,14
2881,10
1577,0
1741,14
1662,4
654,0
711,0
1692,0
203,0
2172,0
750,0
3341,19
3138,19
2185,0
848,0
2234,8
906,12
642,4
1907,17
2774,3
3093,19
1686,1
1555,0
803,15
949,0
1539,1
1491,24
3067,20
2591,18
2569,0
666,4
2712,20
114,9
2050,0
2782,0
2257,8
1090,9
2292,6
327,15
3013,2
100,0
512,0
2047,0
2831,0
3204,7
2653,0
421,0
2255,0
1103,0
3066,20
2947,3
2903,0
795,0
3651,0
1773,3
2321,0
911,15
3376,19
2421,6
2228,10
3460,0
1994,4
2750,1
1919,0
2260,8
1667,3
812,13
934,0
76,0
302,0
704,0
2148,0
1423,1
673,0
3609,0
1254,0
1516,1
2650,10
1951,4
1324,9
1851,0
336,15
3613,19
1087,0
3487,6
1312,8
3223,0
324,0
521,0
2275,20
75,0
1095,9
1204,0
1906,23
2472,22
1269,0
307,20
1005,19
277,15
487,0
1493,18
2692,0
3544,0
320,18
907,15
337,0
3331,19
1503,0
3139,0
2554,0
2139,0
1935,6
1480,0
1068,0
627,9
2795,0
1526,4
459,0
1549,4
3365,19
3359,19
2796,0
3637,0
3182,0
2599,0
3604,0
2500,6
1639,3
1946,0
215,2
1116,0
3021,23
1531,0
3369,4
52,0
3244,0
2427,7
1559,0
2861,13
403,0
953,0
3228,4
693,0
2568,0
426,0
1904,23
2690,0
2107,9
2556,0
1212,14
2158,0
3406,0
1748,0
980,1
1641,3
3585,0
3159,0
3531,7
1512,0
2057,15
2919,0
2128,0
2331,0
2268,8
1118,9
1917,0
1777,4
1333,0
224,0
1171,0
3541,0
3323,4
40,9
733,0
1320,9
1359,0
3280,23
3640,0
1656,3
1891,17
1132,0
2419,20
3400,2
152,0
2388,15
3470,0
3493,0
402,0
188,0
828,0
3532,0
3646,0
2267,0
506,1
1646,4
3303,0
3130,20
2850,0
3282,0
3275,0
141,0
3337,6
1426,19
3085,0
1156,11
1143,0
1362,14
2156,5
1941,0
2286,23
389,5
2706,6
368,0
1506,15
3565,0
159,0
3260,0
2536,20
2517,0
1524,1
140,0
709,0
3227,0
2360,0
375,1
2747,4
1354,14
770,6
1642,3
1833,0
1234,0
1350,9
1827,0
2874,0
103,0
3408,0
411,10
2237,8
16,0
2817,6
1412,1
3624,2
2616,18
1914,4
1368,14
619,9
580,0
891,15
62,0
628,10
903,13
2372,9
716,4
2027,4
3266,23
463,14
3290,19
128,9
461,14
1377,14
2824,12
113,0
448,8
3430,5
2143,0
879,0
3328,19
2211,10
2487,19
2093,9
707,4
1677,0
587,14
1475,0
3218,0
1598,4
2804,20
2567,0
2028,2
3245,23
515,3
3107,0
3591,1
909,15
598,14
1957,2
3226,0
2672,0
1365,14
3368,19
3633,19
3230,0
102,0
674,0
3224,0
961,4
3178,0
1069,15
1022,19
408,0
755,23
101,0
1026,20
1988,1
2870,10
1722,0
1353,9
3419,0
698,0
2887,0
124,0
3634,0
2444,0
3301,0
3391,0
2221,0
185,19
918,15
2754,1
2594,0
727,0
1640,3
1029,19
1071,15
3308,8
2136,0
3583,1
2481,19
749,0
2852,13
2693,5
2242,8
2511,19
1416,19
3440,0
1398,0
205,2
1708,0
208,19
1356,14
434,10
2937,0
643,4
2167,0
485,6
1047,15
3412,0
2058,0
281,0
2741,6
1665,3
1063,15
234,2
2333,0
3232,0
3037,0
3444,23
1077,9
183,0
1319,0
1726,0
3000,3
3086,0
3181,0
2961,0
1544,2
1840,0
2582,0
2021,2
3005,3
1866,0
454,14
2076,0
1386,14
3403,0
2975,0
1905,0
2803,19
1437,0
1367,14
2505,0
2743,20
27,0
3628,2
3537,0
679,0
2406,6
2183,0
2324,14
2473,0
242,15
1874,0
900,0
1632,3
777,0
3462,17
1938,0
757,17
3518,0
1494,15
3456,23
2129,0
3389,19
3062,6
3307,6
109,0
1603,0
284,6
2548,19
2745,3
1588,9
2098,0
3255,0
3174,0
1145,8
309,6
405,9
312,2
3527,8
1968,1
1485,0
3627,20
595,14
592,14
3551,8
3209,0
1556,0
3459,23
3239,0
2016,2
445,14
1589,3
1768,2
3014,0
3149,0
2702,0
3526,0
2420,19
2220,0
3041,0
3313,4
1168,10
3278,4
3564,0
2116,0
2346,6
572,14
3664,0
1706,0
1091,9
3221,0
2636,11
280,20
2085,0
2600,18
917,13
213,4
3513,0
2302,6
2283,6
1997,4
2666,9
1420,0
3309,19
1411,0
535,0
430,10
2397,19
1871,23
638,9
684,0
3242,8
1781,3
77,9
615,9
2073,9
460,14
1918,0
2105,10
1807,0
1456,0
156,8
2618,0
2070,10
3621,19
3318,0
248,15
1581,0
110,11
2015,2
2249,0
1164,10
334,0
863,0
2391,0
2911,0
2932,24
2997,1
3382,-1
3258,6
1955,1
2863,10
3578,2
2723,20
1716,14
2018,3
1969,1
220,6
3655,0
2245,9
181,0
3324,27
3472,17
1822,0
1899,8
37,5
2970,0
984,3
2458,0
1402,1
3525,8
1713,0
329,0
2434,10
3478,6
2271,16
305,2
212,0
625,9
3349,19
1636,4
1663,3
444,0
3010,0
1816,0
2708,6
3019,25
3620,20
840,8
1279,8
852,0
2068,15
266,15
715,0
1244,10
1369,14
3522,8
2348,0
531,11
1612,8
2589,0
3445,24
1249,0
1189,0
597,8
1015,0
2437,0
1552,1
916,18
271,15
335,0
2595,0
2171,8
385,0
3180,0
2872,10
623,11
5,0
2270,0
573,14
892,18
1187,9
797,0
2769,0
2987,0
1498,15
1631,3
2806,19
417,0
2154,0
1497,0
1975,1
3051,2
985,4
3293,20
2839,0
3299,4
1302,0
2078,0
1224,14
130,0
3450,26
1798,0
2207,6
621,0
2496,0
2768,0
3586,0
1937,2
2282,6
73,0
1427,0
3477,0
2160,8
1728,14
50,10
2430,10
3233,0
85,11
1630,3
1383,14
1714,14
2256,8
180,0
1806,0
2531,19
2367,14
2949,5
3094,19
1067,15
1360,14
2118,15
123,0
1335,0
2402,19
2677,0
699,0
605,0
1592,0
3372,19
2845,0
532,5
578,14
2729,6
2193,0
144,0
1924,0
1038,12
1670,0
2698,0
550,0
235,4
520,2
1546,1
3394,19
2809,0
29,6
1252,0
2781,3
1222,14
3383,20
2530,0
2065,13
1405,23
1373,14
